DATE,num_of_departure_delays
2019-01-01,3771
2019-01-02,5059
2019-01-03,3706
2019-01-04,2614
2019-01-05,2646
2019-01-06,3765
2019-01-07,2813
2019-01-08,1894
2019-01-09,1819
2019-01-10,2688
2019-01-11,2859
2019-01-12,1886
2019-01-13,2729
2019-01-14,2764
2019-01-15,2483
2019-01-16,2134
2019-01-17,3352
2019-01-18,3780
2019-01-19,2321
2019-01-20,3067
2019-01-21,4801
2019-01-22,3703
2019-01-23,4501
2019-01-24,5409
2019-01-25,4270
2019-01-26,1913
2019-01-27,2932
2019-01-28,3107
2019-01-29,2400
2019-01-30,3245
2019-01-31,3874
2019-02-01,4668
2019-02-02,2293
2019-02-03,1677
2019-02-04,3121
2019-02-05,2307
2019-02-06,3043
2019-02-07,4354
2019-02-08,4115
2019-02-09,2081
2019-02-10,4131
2019-02-11,4148
2019-02-12,4834
2019-02-13,4530
2019-02-14,4391
2019-02-15,4215
2019-02-16,2355
2019-02-17,3602
2019-02-18,5365
2019-02-19,4482
2019-02-20,6309
2019-02-21,5493
2019-02-22,5435
2019-02-23,3285
2019-02-24,3821
2019-02-25,4913
2019-02-26,3409
2019-02-27,3357
2019-02-28,4928
2019-03-01,5239
2019-03-02,4009
2019-03-03,4862
2019-03-04,4672
2019-03-05,3428
2019-03-06,3238
2019-03-07,3705
2019-03-08,3893
2019-03-09,5007
2019-03-10,5644
2019-03-11,3206
2019-03-12,3013
2019-03-13,3604
2019-03-14,5025
2019-03-15,4616
2019-03-16,2918
2019-03-17,2561
2019-03-18,2074
2019-03-19,1902
2019-03-20,2408
2019-03-21,3193
2019-03-22,4098
2019-03-23,2294
2019-03-24,2693
2019-03-25,3220
2019-03-26,2465
2019-03-27,2686
2019-03-28,2533
2019-03-29,2594
2019-03-30,1973
2019-03-31,3036
2019-04-01,6612
2019-04-02,2205
2019-04-03,2317
2019-04-04,3390
2019-04-05,3190
2019-04-06,2521
2019-04-07,4075
2019-04-08,4192
2019-04-09,3593
2019-04-10,2942
2019-04-11,3389
2019-04-12,4978
2019-04-13,3301
2019-04-14,6443
2019-04-15,5720
2019-04-16,2361
2019-04-17,2323
2019-04-18,4805
2019-04-19,6160
2019-04-20,3088
2019-04-21,2418
2019-04-22,3429
2019-04-23,2278
2019-04-24,2623
2019-04-25,2381
2019-04-26,4499
2019-04-27,2424
2019-04-28,2724
2019-04-29,4387
2019-04-30,3303
2019-05-01,2820
2019-05-02,5924
2019-05-03,5175
2019-05-04,2911
2019-05-05,4319
2019-05-06,3561
2019-05-07,3059
2019-05-08,4584
2019-05-09,4592
2019-05-10,4398
2019-05-11,3335
2019-05-12,3801
2019-05-13,4561
2019-05-14,2722
2019-05-15,2571
2019-05-16,4378
2019-05-17,3890
2019-05-18,3710
2019-05-19,5836
2019-05-20,4659
2019-05-21,5127
2019-05-22,3226
2019-05-23,5851
2019-05-24,4665
2019-05-25,1721
2019-05-26,1930
2019-05-27,3103
2019-05-28,4159
2019-05-29,4594
2019-05-30,4857
2019-05-31,3504
2019-06-01,3047
2019-06-02,4437
2019-06-03,3542
2019-06-04,2570
2019-06-05,4739
2019-06-06,4089
2019-06-07,4263
2019-06-08,4389
2019-06-09,6036
2019-06-10,6218
2019-06-11,4781
2019-06-12,4535
2019-06-13,5852
2019-06-14,3932
2019-06-15,3910
2019-06-16,5859
2019-06-17,6099
2019-06-18,5829
2019-06-19,6401
2019-06-20,6579
2019-06-21,5961
2019-06-22,4241
2019-06-23,5471
2019-06-24,5776
2019-06-25,6156
2019-06-26,4291
2019-06-27,4646
2019-06-28,4730
2019-06-29,4851
2019-06-30,5270
2019-07-01,3686
2019-07-02,3298
2019-07-03,3646
2019-07-04,2393
2019-07-05,3329
2019-07-06,4377
2019-07-07,5912
2019-07-08,6170
2019-07-09,3718
2019-07-10,3360
2019-07-11,5492
2019-07-12,5144
2019-07-13,2970
2019-07-14,3597
2019-07-15,4099
2019-07-16,4060
2019-07-17,5268
2019-07-18,7181
2019-07-19,5815
2019-07-20,5240
2019-07-21,6018
2019-07-22,4871
2019-07-23,5319
2019-07-24,4050
2019-07-25,3021
2019-07-26,3134
2019-07-27,2438
2019-07-28,3084
2019-07-29,4582
2019-07-30,4712
2019-07-31,4735
2019-08-01,6533
2019-08-02,5861
2019-08-03,3568
2019-08-04,4599
2019-08-05,3679
2019-08-06,4538
2019-08-07,5170
2019-08-08,6054
2019-08-09,4411
2019-08-10,2767
2019-08-11,3661
2019-08-12,3404
2019-08-13,4647
2019-08-14,5263
2019-08-15,5000
2019-08-16,4800
2019-08-17,4179
2019-08-18,5372
2019-08-19,5247
2019-08-20,5417
2019-08-21,4607
2019-08-22,4768
2019-08-23,4547
2019-08-24,1870
2019-08-25,2663
2019-08-26,3496
2019-08-27,3457
2019-08-28,2982
2019-08-29,3032
2019-08-30,3167
2019-08-31,1929
2019-09-01,3152
2019-09-02,5612
2019-09-03,5726
2019-09-04,4550
2019-09-05,3714
2019-09-06,5154
2019-09-07,2772
2019-09-08,5348
2019-09-09,5640
2019-09-10,5880
2019-09-11,6194
2019-09-12,9784
2019-09-13,8298
2019-09-14,3106
2019-09-15,6008
2019-09-16,5282
2019-09-17,5528
2019-09-18,6374
2019-09-19,7424
2019-09-20,7378
