DATE,num_of_arrival_delays
2011-01-01,3719
2011-01-02,5562
2011-01-03,3953
2011-01-04,3203
2011-01-05,2314
2011-01-06,2509
2011-01-07,3538
2011-01-08,2193
2011-01-09,4308
2011-01-10,4009
2011-01-11,4596
2011-01-12,3213
2011-01-13,3645
2011-01-14,2949
2011-01-15,1389
2011-01-16,2162
2011-01-17,4321
2011-01-18,5080
2011-01-19,2576
2011-01-20,3095
2011-01-21,3549
2011-01-22,1657
2011-01-23,1742
2011-01-24,2962
2011-01-25,2681
2011-01-26,2694
2011-01-27,3731
2011-01-28,3045
2011-01-29,1174
2011-01-30,1912
2011-01-31,3597
2011-02-01,3309
2011-02-02,2155
2011-02-03,3482
2011-02-04,4272
2011-02-05,3254
2011-02-06,2986
2011-02-07,4224
2011-02-08,3027
2011-02-09,2512
2011-02-10,2669
2011-02-11,2354
2011-02-12,1194
2011-02-13,1635
2011-02-14,1982
2011-02-15,1578
2011-02-16,2223
2011-02-17,3511
2011-02-18,4570
2011-02-19,3252
2011-02-20,3247
2011-02-21,5500
2011-02-22,3940
2011-02-23,2330
2011-02-24,4564
2011-02-25,6167
2011-02-26,3996
2011-02-27,3513
2011-02-28,5263
2011-03-01,1965
2011-03-02,2348
2011-03-03,2486
2011-03-04,3206
2011-03-05,3241
2011-03-06,4662
2011-03-07,3338
2011-03-08,2165
2011-03-09,4116
2011-03-10,4630
2011-03-11,3081
2011-03-12,1731
2011-03-13,2352
2011-03-14,3614
2011-03-15,2626
2011-03-16,2640
2011-03-17,2351
2011-03-18,3211
2011-03-19,2388
2011-03-20,4061
2011-03-21,4165
2011-03-22,3299
2011-03-23,5480
2011-03-24,4267
2011-03-25,3236
2011-03-26,3272
2011-03-27,3833
2011-03-28,3556
2011-03-29,2039
2011-03-30,3262
2011-03-31,4921
2011-04-01,3942
2011-04-02,2261
2011-04-03,3149
2011-04-04,5402
2011-04-05,4160
2011-04-06,2422
2011-04-07,4466
2011-04-08,4357
2011-04-09,2392
2011-04-10,1880
2011-04-11,3144
2011-04-12,3029
2011-04-13,3150
2011-04-14,3141
2011-04-15,5239
2011-04-16,3361
2011-04-17,3451
2011-04-18,3831
2011-04-19,3919
2011-04-20,4713
2011-04-21,3948
2011-04-22,3780
2011-04-23,2178
2011-04-24,2921
2011-04-25,5795
2011-04-26,5906
2011-04-27,5723
2011-04-28,5987
2011-04-29,3166
2011-04-30,1715
2011-05-01,3665
2011-05-02,3157
2011-05-03,2319
2011-05-04,2634
2011-05-05,2663
2011-05-06,2287
2011-05-07,1407
2011-05-08,2046
2011-05-09,2573
2011-05-10,2022
2011-05-11,4158
2011-05-12,4918
2011-05-13,3921
2011-05-14,2933
2011-05-15,4185
2011-05-16,4110
2011-05-17,4101
2011-05-18,4603
2011-05-19,4011
2011-05-20,5124
2011-05-21,2110
2011-05-22,3739
2011-05-23,5584
2011-05-24,3656
2011-05-25,5476
2011-05-26,5491
2011-05-27,4997
2011-05-28,2035
2011-05-29,2385
2011-05-30,2209
2011-05-31,2626
2011-06-01,3304
2011-06-02,2419
2011-06-03,2089
2011-06-04,1939
2011-06-05,2162
2011-06-06,2531
2011-06-07,1983
2011-06-08,2065
2011-06-09,6452
2011-06-10,4966
2011-06-11,4037
2011-06-12,3924
2011-06-13,2876
2011-06-14,2987
2011-06-15,4333
2011-06-16,4017
2011-06-17,4997
2011-06-18,4137
2011-06-19,3827
2011-06-20,5032
2011-06-21,4343
2011-06-22,5821
2011-06-23,5229
2011-06-24,4489
2011-06-25,2657
2011-06-26,3125
2011-06-27,3347
2011-06-28,4544
2011-06-29,3197
2011-06-30,4308
2011-07-01,4475
2011-07-02,2359
2011-07-03,2327
2011-07-04,2542
2011-07-05,2662
2011-07-06,3844
2011-07-07,3741
2011-07-08,4417
2011-07-09,2700
2011-07-10,2979
2011-07-11,5184
2011-07-12,3973
2011-07-13,3666
2011-07-14,3902
2011-07-15,4334
2011-07-16,2387
2011-07-17,2653
2011-07-18,3467
2011-07-19,4088
2011-07-20,3375
2011-07-21,3186
2011-07-22,4624
2011-07-23,3219
2011-07-24,4285
2011-07-25,4985
2011-07-26,3198
2011-07-27,3057
2011-07-28,3887
2011-07-29,4716
2011-07-30,2579
2011-07-31,3667
2011-08-01,4566
2011-08-02,3370
2011-08-03,2967
2011-08-04,3524
2011-08-05,3310
2011-08-06,3291
2011-08-07,4724
2011-08-08,4369
2011-08-09,4052
2011-08-10,3109
2011-08-11,2900
2011-08-12,2263
2011-08-13,3576
2011-08-14,4510
2011-08-15,3984
2011-08-16,2635
2011-08-17,1780
2011-08-18,4015
2011-08-19,3948
2011-08-20,3107
2011-08-21,4067
2011-08-22,2520
2011-08-23,3048
2011-08-24,2130
2011-08-25,4798
2011-08-26,2547
2011-08-27,1210
2011-08-28,882
2011-08-29,2018
