DATE,num_of_arrival_and_departure_delays
2010-01-01,5472
2010-01-02,10283
2010-01-03,11639
2010-01-04,10025
2010-01-05,7375
2010-01-06,6116
2010-01-07,9400
2010-01-08,10355
2010-01-09,4122
2010-01-10,5210
2010-01-11,4944
2010-01-12,4535
2010-01-13,2867
2010-01-14,3525
2010-01-15,4497
2010-01-16,2828
2010-01-17,5166
2010-01-18,7372
2010-01-19,4290
2010-01-20,4852
2010-01-21,8298
2010-01-22,7665
2010-01-23,3539
2010-01-24,6175
2010-01-25,7438
2010-01-26,2789
2010-01-27,3890
2010-01-28,5875
2010-01-29,6359
2010-01-30,4029
2010-01-31,4711
2010-02-01,3966
2010-02-02,3722
2010-02-03,3704
2010-02-04,5125
2010-02-05,8755
2010-02-06,3370
2010-02-07,3708
2010-02-08,8839
2010-02-09,7528
2010-02-10,4610
2010-02-11,8270
2010-02-12,11356
2010-02-13,7616
2010-02-14,5322
2010-02-15,7426
2010-02-16,8060
2010-02-17,4871
2010-02-18,4978
2010-02-19,5368
2010-02-20,4035
2010-02-21,8434
2010-02-22,9428
2010-02-23,6485
2010-02-24,10950
2010-02-25,6378
2010-02-26,8089
2010-02-27,5959
2010-02-28,4379
2010-03-01,5259
2010-03-02,4748
2010-03-03,4176
2010-03-04,3546
2010-03-05,3937
2010-03-06,2438
2010-03-07,6283
2010-03-08,7001
2010-03-09,4490
2010-03-10,8589
2010-03-11,10836
2010-03-12,13276
2010-03-13,7513
2010-03-14,9147
2010-03-15,8733
2010-03-16,4024
2010-03-17,3693
2010-03-18,3699
2010-03-19,5582
2010-03-20,7726
2010-03-21,9079
2010-03-22,7807
2010-03-23,4609
2010-03-24,6946
2010-03-25,6944
2010-03-26,7243
2010-03-27,4222
2010-03-28,6303
2010-03-29,7903
2010-03-30,6200
2010-03-31,5075
2010-04-01,4053
2010-04-02,5151
2010-04-03,2970
2010-04-04,4964
2010-04-05,5201
2010-04-06,6158
2010-04-07,7948
2010-04-08,7297
2010-04-09,4461
2010-04-10,3013
2010-04-11,5560
2010-04-12,5270
2010-04-13,3666
2010-04-14,2770
2010-04-15,3283
2010-04-16,3812
2010-04-17,2130
2010-04-18,3953
2010-04-19,2660
2010-04-20,2976
2010-04-21,3932
2010-04-22,6435
2010-04-23,5280
2010-04-24,6596
2010-04-25,7349
2010-04-26,6801
2010-04-27,4178
2010-04-28,4123
2010-04-29,5319
2010-04-30,5560
2010-05-01,4143
2010-05-02,7215
2010-05-03,8502
2010-05-04,4154
2010-05-05,3307
2010-05-06,4139
2010-05-07,7282
2010-05-08,3965
2010-05-09,5528
2010-05-10,6386
2010-05-11,6502
2010-05-12,9046
2010-05-13,9925
2010-05-14,9361
2010-05-15,5498
2010-05-16,5034
2010-05-17,6860
2010-05-18,6031
2010-05-19,4770
2010-05-20,6230
2010-05-21,10207
2010-05-22,4089
2010-05-23,5743
2010-05-24,6903
2010-05-25,5318
2010-05-26,6463
2010-05-27,8025
2010-05-28,8001
2010-05-29,3577
2010-05-30,2521
2010-05-31,8539
2010-06-01,8535
2010-06-02,9398
2010-06-03,7636
2010-06-04,6616
2010-06-05,3951
2010-06-06,8068
2010-06-07,5939
2010-06-08,5739
2010-06-09,8003
2010-06-10,8038
2010-06-11,8884
2010-06-12,7710
2010-06-13,9628
2010-06-14,8192
2010-06-15,8402
2010-06-16,8184
2010-06-17,6391
2010-06-18,7994
2010-06-19,6794
2010-06-20,4969
2010-06-21,8139
2010-06-22,6226
2010-06-23,9646
2010-06-24,11791
2010-06-25,9282
2010-06-26,5222
2010-06-27,9020
2010-06-28,10156
2010-06-29,7958
2010-06-30,7344
2010-07-01,6989
2010-07-02,8463
2010-07-03,4644
2010-07-04,2739
2010-07-05,4390
2010-07-06,6583
2010-07-07,7017
2010-07-08,8868
2010-07-09,8412
2010-07-10,6728
2010-07-11,6732
2010-07-12,9071
2010-07-13,10378
2010-07-14,8636
2010-07-15,7881
2010-07-16,9463
2010-07-17,5136
2010-07-18,9495
2010-07-19,9674
2010-07-20,7459
2010-07-21,8148
2010-07-22,8722
2010-07-23,9739
2010-07-24,8713
2010-07-25,8019
2010-07-26,8283
2010-07-27,7865
2010-07-28,8606
2010-07-29,10531
2010-07-30,7459
2010-07-31,5981
2010-08-01,8091
2010-08-02,6104
2010-08-03,6670
2010-08-04,10211
2010-08-05,9902
2010-08-06,9153
2010-08-07,5625
2010-08-08,6855
2010-08-09,7212
2010-08-10,5930
2010-08-11,7656
2010-08-12,9745
2010-08-13,7975
2010-08-14,5831
2010-08-15,6573
2010-08-16,8330
2010-08-17,5223
2010-08-18,5980
2010-08-19,6126
2010-08-20,6322
2010-08-21,4669
2010-08-22,6340
2010-08-23,6390
2010-08-24,5611
2010-08-25,4438
2010-08-26,4233
2010-08-27,3506
2010-08-28,2665
2010-08-29,3211
2010-08-30,3194
2010-08-31,2803
2010-09-01,3610
2010-09-02,5684
2010-09-03,5612
2010-09-04,2563
2010-09-05,1539
2010-09-06,4102
2010-09-07,6962
2010-09-08,6053
2010-09-09,3389
2010-09-10,3116
2010-09-11,2123
2010-09-12,4168
2010-09-13,4135
2010-09-14,3041
2010-09-15,3717
2010-09-16,6565
2010-09-17,5594
2010-09-18,3937
2010-09-19,4559
2010-09-20,3677
2010-09-21,4338
2010-09-22,5499
2010-09-23,4678
2010-09-24,5854
2010-09-25,3329
2010-09-26,6418
2010-09-27,8448
2010-09-28,5510
2010-09-29,3503
2010-09-30,7112
2010-10-01,7118
2010-10-02,2723
2010-10-03,4841
2010-10-04,7716
2010-10-05,5527
2010-10-06,4045
2010-10-07,4299
2010-10-08,3628
2010-10-09,2157
2010-10-10,3085
2010-10-11,5633
2010-10-12,3954
2010-10-13,4367
2010-10-14,5877
2010-10-15,5863
2010-10-16,2712
2010-10-17,4988
2010-10-18,4339
2010-10-19,4155
2010-10-20,5101
2010-10-21,6040
2010-10-22,5545
2010-10-23,4441
2010-10-24,6066
2010-10-25,10630
2010-10-26,9188
2010-10-27,10312
2010-10-28,6400
2010-10-29,4523
2010-10-30,3427
2010-10-31,3277
2010-11-01,4319
2010-11-02,5051
2010-11-03,4124
2010-11-04,7659
2010-11-05,5842
2010-11-06,3032
2010-11-07,4472
2010-11-08,5495
2010-11-09,2944
2010-11-10,3329
2010-11-11,4125
2010-11-12,4775
2010-11-13,3156
2010-11-14,4442
2010-11-15,6502
2010-11-16,5325
2010-11-17,4928
2010-11-18,5475
2010-11-19,5618
2010-11-20,5203
2010-11-21,7533
2010-11-22,9009
2010-11-23,7484
2010-11-24,7748
2010-11-25,2435
2010-11-26,2363
2010-11-27,4242
2010-11-28,5201
2010-11-29,8449
2010-11-30,10033
2010-12-01,8798
2010-12-02,4080
2010-12-03,4384
2010-12-04,4665
2010-12-05,5942
2010-12-06,6511
2010-12-07,3409
2010-12-08,4686
2010-12-09,5944
2010-12-10,6439
2010-12-11,4067
2010-12-12,10342
2010-12-13,10340
2010-12-14,7114
2010-12-15,7771
2010-12-16,11267
2010-12-17,11182
2010-12-18,9736
2010-12-19,8597
2010-12-20,10648
2010-12-21,12418
2010-12-22,11836
