DATE,num_of_arrival_and_departure_delays
1990-01-01,7888
1990-01-02,7277
1990-01-03,7052
1990-01-04,7505
1990-01-05,4606
1990-01-06,3404
1990-01-07,3925
1990-01-08,4860
1990-01-09,6840
1990-01-10,4557
1990-01-11,5631
1990-01-12,5796
1990-01-13,2334
1990-01-14,1729
1990-01-15,2788
1990-01-16,4747
1990-01-17,7674
1990-01-18,7318
1990-01-19,8560
1990-01-20,6239
1990-01-21,4493
1990-01-22,3203
1990-01-23,2530
1990-01-24,3555
1990-01-25,9416
1990-01-26,5318
1990-01-27,2133
1990-01-28,1813
1990-01-29,5524
1990-01-30,3095
1990-01-31,3907
1990-02-01,6511
1990-02-02,12797
1990-02-03,6436
1990-02-04,5014
1990-02-05,2058
1990-02-06,2224
1990-02-07,3241
1990-02-08,3523
1990-02-09,7877
1990-02-10,5337
1990-02-11,2293
1990-02-12,2691
1990-02-13,4290
1990-02-14,6383
1990-02-15,13457
1990-02-16,14925
1990-02-17,6877
1990-02-18,3688
1990-02-19,4018
1990-02-20,4039
1990-02-21,4947
1990-02-22,11133
1990-02-23,9024
1990-02-24,7913
1990-02-25,6232
1990-02-26,3688
1990-02-27,3860
1990-02-28,4983
1990-03-01,3903
1990-03-02,6927
1990-03-03,3353
1990-03-04,2872
1990-03-05,4113
1990-03-06,6953
1990-03-07,6515
1990-03-08,8094
1990-03-09,6387
1990-03-10,7745
1990-03-11,7426
1990-03-12,5003
1990-03-13,4656
1990-03-14,7408
1990-03-15,7169
1990-03-16,6862
1990-03-17,5744
1990-03-18,4233
1990-03-19,3095
1990-03-20,3592
1990-03-21,3327
1990-03-22,3547
1990-03-23,5390
1990-03-24,5039
1990-03-25,3520
1990-03-26,2820
1990-03-27,2256
1990-03-28,4409
1990-03-29,9270
1990-03-30,11332
1990-03-31,4975
1990-04-01,5459
1990-04-02,5101
1990-04-03,4804
1990-04-04,3038
1990-04-05,4758
1990-04-06,5352
1990-04-07,3510
1990-04-08,2566
1990-04-09,2783
1990-04-10,7017
1990-04-11,3906
1990-04-12,2939
1990-04-13,2376
1990-04-14,1652
1990-04-15,2515
1990-04-16,4269
1990-04-17,4266
1990-04-18,3055
1990-04-19,4227
1990-04-20,5679
1990-04-21,2936
1990-04-22,3956
1990-04-23,3046
1990-04-24,3228
1990-04-25,4831
1990-04-26,5613
1990-04-27,4310
1990-04-28,3651
1990-04-29,4919
1990-04-30,4027
1990-05-01,4538
1990-05-02,4034
1990-05-03,5370
1990-05-04,6641
1990-05-05,3053
1990-05-06,1958
1990-05-07,1664
1990-05-08,2586
1990-05-09,4601
1990-05-10,7851
1990-05-11,6202
1990-05-12,3400
1990-05-13,2940
1990-05-14,3302
1990-05-15,5626
1990-05-16,6457
1990-05-17,8230
1990-05-18,6039
1990-05-19,2760
1990-05-20,4590
1990-05-21,3818
1990-05-22,2950
1990-05-23,2302
1990-05-24,3586
1990-05-25,5425
1990-05-26,2025
1990-05-27,2428
1990-05-28,3679
1990-05-29,5514
1990-05-30,2824
1990-05-31,3506
1990-06-01,5346
1990-06-02,3091
1990-06-03,5748
1990-06-04,2395
1990-06-05,3070
1990-06-06,5593
1990-06-07,4932
1990-06-08,5954
1990-06-09,2899
1990-06-10,2678
1990-06-11,2669
1990-06-12,2943
1990-06-13,3098
1990-06-14,6643
1990-06-15,5169
1990-06-16,3100
1990-06-17,2362
1990-06-18,6160
1990-06-19,6080
1990-06-20,3574
1990-06-21,4923
1990-06-22,7676
1990-06-23,3927
1990-06-24,4642
1990-06-25,3023
1990-06-26,4672
1990-06-27,6716
1990-06-28,6381
1990-06-29,7595
1990-06-30,3638
1990-07-01,4629
1990-07-02,3082
1990-07-03,2087
1990-07-04,1051
1990-07-05,4153
1990-07-06,1890
1990-07-07,2103
1990-07-08,3192
1990-07-09,5355
1990-07-10,4331
1990-07-11,6011
1990-07-12,7714
1990-07-13,6169
1990-07-14,4356
1990-07-15,4723
1990-07-16,2734
1990-07-17,3649
1990-07-18,5249
1990-07-19,6769
1990-07-20,7669
1990-07-21,4025
1990-07-22,5797
1990-07-23,6304
1990-07-24,4752
1990-07-25,3816
1990-07-26,4528
1990-07-27,3873
1990-07-28,2491
1990-07-29,3451
1990-07-30,4122
1990-07-31,4587
1990-08-01,5639
1990-08-02,5200
1990-08-03,5766
1990-08-04,6118
1990-08-05,4692
1990-08-06,5221
1990-08-07,3464
1990-08-08,4588
1990-08-09,6136
1990-08-10,6289
1990-08-11,4441
1990-08-12,4731
1990-08-13,4919
1990-08-14,5242
1990-08-15,4888
1990-08-16,5748
1990-08-17,5974
1990-08-18,3332
1990-08-19,5753
1990-08-20,7650
1990-08-21,6531
1990-08-22,4248
1990-08-23,7342
1990-08-24,7604
1990-08-25,3943
1990-08-26,2561
1990-08-27,3696
1990-08-28,3896
1990-08-29,4142
1990-08-30,3921
1990-08-31,3858
1990-09-01,2219
1990-09-02,976
1990-09-03,2066
1990-09-04,2346
1990-09-05,3355
1990-09-06,4023
1990-09-07,5372
1990-09-08,2563
1990-09-09,3460
1990-09-10,4802
1990-09-11,3538
1990-09-12,3582
1990-09-13,7052
1990-09-14,8406
1990-09-15,2260
1990-09-16,3221
1990-09-17,2635
1990-09-18,3158
1990-09-19,3274
1990-09-20,3620
1990-09-21,5839
1990-09-22,2883
1990-09-23,2560
1990-09-24,1662
1990-09-25,1694
1990-09-26,2300
1990-09-27,4342
1990-09-28,4021
1990-09-29,3040
1990-09-30,2788
1990-10-01,1879
1990-10-02,2571
1990-10-03,4012
1990-10-04,6731
1990-10-05,3937
1990-10-06,1565
1990-10-07,3810
1990-10-08,5966
1990-10-09,4731
1990-10-10,6177
1990-10-11,6557
1990-10-12,6451
1990-10-13,3248
1990-10-14,4380
1990-10-15,3033
1990-10-16,2114
1990-10-17,5451
1990-10-18,7549
1990-10-19,5351
1990-10-20,2420
1990-10-21,3880
1990-10-22,5037
1990-10-23,3951
1990-10-24,3034
1990-10-25,4320
1990-10-26,4219
1990-10-27,2118
1990-10-28,2605
1990-10-29,2084
1990-10-30,1693
1990-10-31,2540
1990-11-01,3338
1990-11-02,4032
1990-11-03,1938
1990-11-04,2680
1990-11-05,4095
1990-11-06,4596
1990-11-07,3123
1990-11-08,4636
1990-11-09,6359
1990-11-10,4233
1990-11-11,3108
1990-11-12,3053
1990-11-13,2768
1990-11-14,2877
1990-11-15,2520
1990-11-16,3937
1990-11-17,2313
1990-11-18,2117
1990-11-19,2632
1990-11-20,4255
1990-11-21,4306
1990-11-22,2830
1990-11-23,861
1990-11-24,1186
1990-11-25,4417
1990-11-26,5085
1990-11-27,7883
1990-11-28,4651
1990-11-29,2354
1990-11-30,2543
1990-12-01,1482
1990-12-02,4206
1990-12-03,7197
1990-12-04,4901
1990-12-05,3547
1990-12-06,2208
1990-12-07,4434
1990-12-08,1794
1990-12-09,1983
1990-12-10,2673
1990-12-11,1758
1990-12-12,2678
1990-12-13,4801
1990-12-14,5516
1990-12-15,6649
1990-12-16,3564
1990-12-17,6799
1990-12-18,8824
1990-12-19,8973
1990-12-20,13533
1990-12-21,17402
1990-12-22,16269
1990-12-23,10193
1990-12-24,3677
1990-12-25,2876
1990-12-26,7971
1990-12-27,12295
1990-12-28,15678
1990-12-29,11624
1990-12-30,11135
1990-12-31,3681
