DATE,num_of_departure_delays
1999-01-01,2947
1999-01-02,4028
1999-01-03,6852
1999-01-04,7001
1999-01-05,5361
1999-01-06,4681
1999-01-07,3815
1999-01-08,5111
1999-01-09,3256
1999-01-10,2850
1999-01-11,2808
1999-01-12,2148
1999-01-13,3172
1999-01-14,3927
1999-01-15,4906
1999-01-16,1713
1999-01-17,2575
1999-01-18,3415
1999-01-19,1460
1999-01-20,2890
1999-01-21,3626
1999-01-22,4004
1999-01-23,2651
1999-01-24,2075
1999-01-25,1408
1999-01-26,1419
1999-01-27,1381
1999-01-28,2224
1999-01-29,2446
1999-01-30,1352
1999-01-31,2307
1999-02-01,2825
1999-02-02,2068
1999-02-03,1140
1999-02-04,1829
1999-02-05,2011
1999-02-06,1472
1999-02-07,2645
1999-02-08,2433
1999-02-09,1654
1999-02-10,1679
1999-02-11,3865
1999-02-12,4711
1999-02-13,2031
1999-02-14,1501
1999-02-15,1258
1999-02-16,2020
1999-02-17,1864
1999-02-18,3028
1999-02-19,2088
1999-02-20,1521
1999-02-21,1786
1999-02-22,1602
1999-02-23,1772
1999-02-24,1785
1999-02-25,2143
1999-02-26,2403
1999-02-27,1714
1999-02-28,2940
1999-03-01,1311
1999-03-02,1063
1999-03-03,3044
1999-03-04,2381
1999-03-05,2368
1999-03-06,3223
1999-03-07,3128
1999-03-08,3978
1999-03-09,3508
1999-03-10,1893
1999-03-11,2713
1999-03-12,3905
1999-03-13,2226
1999-03-14,4421
1999-03-15,3093
1999-03-16,1886
1999-03-17,1865
1999-03-18,2903
1999-03-19,2739
1999-03-20,1433
1999-03-21,2686
1999-03-22,1625
1999-03-23,1251
1999-03-24,1773
1999-03-25,2236
1999-03-26,2343
1999-03-27,1879
1999-03-28,1788
1999-03-29,1437
1999-03-30,1401
1999-03-31,2553
1999-04-01,3271
1999-04-02,2367
1999-04-03,2489
1999-04-04,1872
1999-04-05,2821
1999-04-06,2659
1999-04-07,1912
1999-04-08,2801
1999-04-09,4611
1999-04-10,2406
1999-04-11,4323
1999-04-12,2062
1999-04-13,1371
1999-04-14,2291
1999-04-15,3219
1999-04-16,4119
1999-04-17,1526
1999-04-18,1526
1999-04-19,1034
1999-04-20,1067
1999-04-21,1406
1999-04-22,3733
1999-04-23,4675
1999-04-24,1602
1999-04-25,2262
1999-04-26,3508
1999-04-27,1863
1999-04-28,2447
1999-04-29,2592
1999-04-30,2267
1999-05-01,1192
1999-05-02,3054
1999-05-03,1843
1999-05-04,2558
1999-05-05,2832
1999-05-06,3741
1999-05-07,3874
1999-05-08,1636
1999-05-09,1570
1999-05-10,3176
1999-05-11,1411
1999-05-12,3622
1999-05-13,2888
1999-05-14,2597
1999-05-15,1370
1999-05-16,2156
1999-05-17,2936
1999-05-18,2718
1999-05-19,2779
1999-05-20,2469
1999-05-21,2157
1999-05-22,1195
1999-05-23,3212
1999-05-24,3342
1999-05-25,2271
1999-05-26,2551
1999-05-27,2303
1999-05-28,2580
1999-05-29,1630
1999-05-30,1027
1999-05-31,2074
1999-06-01,2503
1999-06-02,2518
1999-06-03,2027
1999-06-04,3213
1999-06-05,1452
1999-06-06,2803
1999-06-07,2122
1999-06-08,2192
1999-06-09,2617
1999-06-10,4408
1999-06-11,5268
1999-06-12,3845
1999-06-13,5056
1999-06-14,3660
1999-06-15,2552
1999-06-16,2797
1999-06-17,2935
1999-06-18,2588
1999-06-19,2006
1999-06-20,2565
1999-06-21,2622
1999-06-22,2969
1999-06-23,2676
1999-06-24,3679
1999-06-25,4392
1999-06-26,3044
1999-06-27,3912
1999-06-28,5177
1999-06-29,3497
1999-06-30,2972
1999-07-01,4879
1999-07-02,4558
1999-07-03,2323
1999-07-04,832
1999-07-05,2314
1999-07-06,4394
1999-07-07,3379
1999-07-08,2781
1999-07-09,3194
1999-07-10,2645
1999-07-11,3000
1999-07-12,2289
1999-07-13,1649
1999-07-14,2148
1999-07-15,2592
1999-07-16,2988
1999-07-17,2987
1999-07-18,3698
1999-07-19,3377
1999-07-20,2441
1999-07-21,3614
1999-07-22,4262
1999-07-23,4358
1999-07-24,4159
1999-07-25,3359
1999-07-26,2865
1999-07-27,2174
1999-07-28,4184
1999-07-29,3608
1999-07-30,3753
1999-07-31,3557
1999-08-01,3673
1999-08-02,2047
1999-08-03,1936
1999-08-04,2446
1999-08-05,3263
1999-08-06,3047
1999-08-07,2603
1999-08-08,3543
1999-08-09,3047
1999-08-10,2235
1999-08-11,2387
1999-08-12,3190
1999-08-13,4005
1999-08-14,3559
1999-08-15,2837
1999-08-16,1959
1999-08-17,2113
1999-08-18,2342
1999-08-19,3029
1999-08-20,3951
1999-08-21,1745
1999-08-22,2198
1999-08-23,2062
1999-08-24,3045
1999-08-25,2360
1999-08-26,2963
1999-08-27,3890
1999-08-28,1705
1999-08-29,2257
1999-08-30,1644
1999-08-31,1625
1999-09-01,1422
1999-09-02,1664
1999-09-03,2382
1999-09-04,1304
1999-09-05,1231
1999-09-06,2137
1999-09-07,2542
1999-09-08,2065
1999-09-09,2331
1999-09-10,2666
1999-09-11,1060
1999-09-12,1905
1999-09-13,1798
1999-09-14,1307
1999-09-15,2283
1999-09-16,1908
1999-09-17,3778
1999-09-18,1390
1999-09-19,2345
1999-09-20,1958
1999-09-21,2072
1999-09-22,1608
1999-09-23,2025
1999-09-24,2472
1999-09-25,1461
1999-09-26,2802
1999-09-27,2185
1999-09-28,2528
1999-09-29,2710
1999-09-30,2107
1999-10-01,2244
1999-10-02,1132
1999-10-03,2887
1999-10-04,3105
1999-10-05,1167
1999-10-06,2442
1999-10-07,1908
