DATE,num_of_arrival_and_departure_delays
1991-01-01,2946
1991-01-02,9230
1991-01-03,9286
1991-01-04,8146
1991-01-05,9727
1991-01-06,8252
1991-01-07,7787
1991-01-08,7608
1991-01-09,11720
1991-01-10,10533
1991-01-11,10353
1991-01-12,4455
1991-01-13,3690
1991-01-14,3421
1991-01-15,5884
1991-01-16,7543
1991-01-17,4390
1991-01-18,5523
1991-01-19,2676
1991-01-20,2976
1991-01-21,4058
1991-01-22,2031
1991-01-23,2670
1991-01-24,3974
1991-01-25,3198
1991-01-26,2825
1991-01-27,2653
1991-01-28,3458
1991-01-29,4400
1991-01-30,6239
1991-01-31,3740
1991-02-01,2453
1991-02-02,2999
1991-02-03,2951
1991-02-04,3178
1991-02-05,3465
1991-02-06,7297
1991-02-07,5944
1991-02-08,4695
1991-02-09,2664
1991-02-10,2266
1991-02-11,1676
1991-02-12,1871
1991-02-13,3929
1991-02-14,7955
1991-02-15,6851
1991-02-16,3223
1991-02-17,3077
1991-02-18,5484
1991-02-19,5561
1991-02-20,3239
1991-02-21,3424
1991-02-22,3952
1991-02-23,2478
1991-02-24,3244
1991-02-25,2328
1991-02-26,2972
1991-02-27,4030
1991-02-28,5525
1991-03-01,6666
1991-03-02,5653
1991-03-03,6503
1991-03-04,4667
1991-03-05,3257
1991-03-06,3350
1991-03-07,3224
1991-03-08,3113
1991-03-09,2150
1991-03-10,3960
1991-03-11,2780
1991-03-12,4623
1991-03-13,6468
1991-03-14,4907
1991-03-15,4358
1991-03-16,4311
1991-03-17,4933
1991-03-18,4022
1991-03-19,3027
1991-03-20,3457
1991-03-21,4185
1991-03-22,6241
1991-03-23,5278
1991-03-24,3798
1991-03-25,3170
1991-03-26,4120
1991-03-27,6927
1991-03-28,6736
1991-03-29,5787
1991-03-30,2049
1991-03-31,2583
1991-04-01,2901
1991-04-02,2092
1991-04-03,1742
1991-04-04,3317
1991-04-05,3086
1991-04-06,2273
1991-04-07,3221
1991-04-08,3754
1991-04-09,5243
1991-04-10,3775
1991-04-11,5014
1991-04-12,5197
1991-04-13,4727
1991-04-14,4716
1991-04-15,4451
1991-04-16,1995
1991-04-17,4422
1991-04-18,4553
1991-04-19,5188
1991-04-20,2835
1991-04-21,5041
1991-04-22,2617
1991-04-23,3459
1991-04-24,3937
1991-04-25,3870
1991-04-26,2924
1991-04-27,2510
1991-04-28,4907
1991-04-29,4224
1991-04-30,4072
1991-05-01,3737
1991-05-02,3891
1991-05-03,5144
1991-05-04,3969
1991-05-05,4061
1991-05-06,4359
1991-05-07,1834
1991-05-08,2913
1991-05-09,2900
1991-05-10,3485
1991-05-11,1694
1991-05-12,2529
1991-05-13,3404
1991-05-14,4770
1991-05-15,3655
1991-05-16,5822
1991-05-17,7883
1991-05-18,3252
1991-05-19,3709
1991-05-20,2089
1991-05-21,1758
1991-05-22,3602
1991-05-23,5247
1991-05-24,5266
1991-05-25,2369
1991-05-26,853
1991-05-27,1884
1991-05-28,3075
1991-05-29,3700
1991-05-30,4527
1991-05-31,5450
1991-06-01,3665
1991-06-02,3881
1991-06-03,3127
1991-06-04,2261
1991-06-05,3522
1991-06-06,3039
1991-06-07,3241
1991-06-08,1429
1991-06-09,2243
1991-06-10,2631
1991-06-11,2429
1991-06-12,3304
1991-06-13,3948
1991-06-14,3218
1991-06-15,3434
1991-06-16,5121
1991-06-17,2924
1991-06-18,4364
1991-06-19,4549
1991-06-20,3113
1991-06-21,4122
1991-06-22,4055
1991-06-23,3559
1991-06-24,3619
1991-06-25,3246
1991-06-26,3088
1991-06-27,3044
1991-06-28,3981
