DATE,num_of_departure_delays
2003-01-01,1780
2003-01-02,3360
2003-01-03,3726
2003-01-04,2612
2003-01-05,4099
2003-01-06,3427
2003-01-07,1650
2003-01-08,1450
2003-01-09,2311
2003-01-10,1849
2003-01-11,1060
2003-01-12,2094
2003-01-13,1269
2003-01-14,1316
2003-01-15,1389
2003-01-16,2340
2003-01-17,2418
2003-01-18,1692
2003-01-19,1649
2003-01-20,1918
2003-01-21,1800
2003-01-22,2568
2003-01-23,2566
2003-01-24,1833
2003-01-25,1183
2003-01-26,1994
2003-01-27,1694
2003-01-28,1889
2003-01-29,2581
2003-01-30,1978
2003-01-31,2721
2003-02-01,1297
2003-02-02,2255
2003-02-03,2170
2003-02-04,1398
2003-02-05,1228
2003-02-06,2842
2003-02-07,4246
2003-02-08,1228
2003-02-09,1871
2003-02-10,3511
2003-02-11,1953
2003-02-12,2678
2003-02-13,3087
2003-02-14,3595
2003-02-15,2555
2003-02-16,3052
2003-02-17,2092
2003-02-18,3614
2003-02-19,2737
2003-02-20,2444
2003-02-21,3431
2003-02-22,3211
2003-02-23,4219
2003-02-24,3151
2003-02-25,2486
2003-02-26,3366
2003-02-27,3430
2003-02-28,2598
2003-03-01,1906
2003-03-02,2842
2003-03-03,2534
2003-03-04,1584
2003-03-05,3019
2003-03-06,3701
2003-03-07,2312
2003-03-08,2275
2003-03-09,2194
2003-03-10,1284
2003-03-11,1201
2003-03-12,1270
2003-03-13,3315
2003-03-14,2793
2003-03-15,2374
2003-03-16,2466
2003-03-17,3179
2003-03-18,3041
2003-03-19,2555
2003-03-20,4335
2003-03-21,2915
2003-03-22,1432
2003-03-23,1751
2003-03-24,1252
2003-03-25,872
2003-03-26,1076
2003-03-27,2255
2003-03-28,2519
2003-03-29,1206
2003-03-30,1919
2003-03-31,1218
2003-04-01,891
2003-04-02,853
2003-04-03,1913
2003-04-04,3584
2003-04-05,1857
2003-04-06,2753
2003-04-07,3732
2003-04-08,2387
2003-04-09,1647
2003-04-10,1954
2003-04-11,1946
2003-04-12,1150
2003-04-13,1302
2003-04-14,1115
2003-04-15,1040
2003-04-16,1162
