DATE,num_of_departure_delays
2015-01-01,2893
2015-01-02,4434
2015-01-03,6154
2015-01-04,7421
2015-01-05,5560
2015-01-06,5220
2015-01-07,4108
2015-01-08,3679
2015-01-09,4157
2015-01-10,2182
2015-01-11,3479
2015-01-12,4888
2015-01-13,2471
2015-01-14,1844
2015-01-15,2560
2015-01-16,2346
2015-01-17,1112
2015-01-18,1859
2015-01-19,1820
2015-01-20,1642
2015-01-21,2296
2015-01-22,2159
2015-01-23,1960
2015-01-24,1516
2015-01-25,1840
2015-01-26,2184
2015-01-27,847
2015-01-28,1425
2015-01-29,1954
2015-01-30,3139
2015-01-31,1324
2015-02-01,2382
2015-02-02,3611
2015-02-03,3152
2015-02-04,3088
2015-02-05,3994
2015-02-06,2146
2015-02-07,1081
2015-02-08,2358
2015-02-09,2829
2015-02-10,1726
2015-02-11,1659
2015-02-12,2943
2015-02-13,3166
2015-02-14,2347
2015-02-15,2796
2015-02-16,4800
2015-02-17,4839
2015-02-18,3676
2015-02-19,3731
2015-02-20,3988
2015-02-21,2637
2015-02-22,4522
2015-02-23,3968
2015-02-24,3840
2015-02-25,3276
2015-02-26,5387
2015-02-27,3827
2015-02-28,2860
2015-03-01,4984
2015-03-02,5377
2015-03-03,4850
2015-03-04,3573
2015-03-05,4154
2015-03-06,5099
2015-03-07,2400
2015-03-08,2907
2015-03-09,2734
2015-03-10,2245
2015-03-11,2605
2015-03-12,3002
2015-03-13,2823
2015-03-14,2358
2015-03-15,2774
2015-03-16,1935
2015-03-17,2226
2015-03-18,2352
2015-03-19,2293
2015-03-20,3625
2015-03-21,2496
2015-03-22,2610
2015-03-23,3952
2015-03-24,2167
2015-03-25,2906
2015-03-26,3631
2015-03-27,3782
2015-03-28,2126
2015-03-29,2384
2015-03-30,2627
2015-03-31,1973
2015-04-01,2327
2015-04-02,3292
2015-04-03,3002
2015-04-04,1785
2015-04-05,2055
2015-04-06,2105
2015-04-07,2440
2015-04-08,3433
2015-04-09,4569
2015-04-10,5031
2015-04-11,1850
2015-04-12,2172
2015-04-13,3633
2015-04-14,2142
2015-04-15,2241
2015-04-16,3172
2015-04-17,3163
2015-04-18,1752
2015-04-19,2492
2015-04-20,3811
2015-04-21,2100
2015-04-22,2097
2015-04-23,2504
2015-04-24,3723
2015-04-25,2584
2015-04-26,2007
2015-04-27,2548
2015-04-28,1670
2015-04-29,1482
2015-04-30,2103
2015-05-01,1846
2015-05-02,1207
2015-05-03,2115
2015-05-04,2481
2015-05-05,1951
2015-05-06,2344
2015-05-07,2398
2015-05-08,3434
2015-05-09,2499
2015-05-10,3566
2015-05-11,4331
2015-05-12,2189
2015-05-13,2398
2015-05-14,2571
2015-05-15,3079
2015-05-16,1699
2015-05-17,3359
2015-05-18,4961
2015-05-19,4026
2015-05-20,3163
2015-05-21,3600
2015-05-22,2732
2015-05-23,1693
2015-05-24,1485
2015-05-25,2558
2015-05-26,4161
2015-05-27,4619
2015-05-28,3411
2015-05-29,3119
2015-05-30,2160
2015-05-31,3888
2015-06-01,4129
2015-06-02,3359
2015-06-03,2551
2015-06-04,2638
2015-06-05,3377
2015-06-06,1635
2015-06-07,3021
2015-06-08,3692
2015-06-09,4039
2015-06-10,3918
2015-06-11,4243
2015-06-12,4395
2015-06-13,3070
2015-06-14,3843
2015-06-15,4889
2015-06-16,5086
2015-06-17,5112
2015-06-18,5722
2015-06-19,4167
2015-06-20,3216
2015-06-21,3930
2015-06-22,4184
2015-06-23,4219
2015-06-24,4087
2015-06-25,4062
2015-06-26,4328
2015-06-27,4030
2015-06-28,3881
2015-06-29,3064
2015-06-30,3983
2015-07-01,4507
2015-07-02,4066
