DATE,num_of_arrival_and_departure_delays
2012-01-01,4305
2012-01-02,7106
2012-01-03,5300
2012-01-04,3594
2012-01-05,2739
2012-01-06,2255
2012-01-07,2028
2012-01-08,3452
2012-01-09,4490
2012-01-10,2530
2012-01-11,4228
2012-01-12,6240
2012-01-13,6110
2012-01-14,2330
2012-01-15,2595
2012-01-16,4021
2012-01-17,5097
2012-01-18,4095
2012-01-19,4827
2012-01-20,6615
2012-01-21,8449
2012-01-22,7530
2012-01-23,9656
2012-01-24,3838
2012-01-25,4971
2012-01-26,5431
2012-01-27,5309
2012-01-28,1674
2012-01-29,2593
2012-01-30,2595
2012-01-31,1705
2012-02-01,2591
2012-02-02,3005
2012-02-03,4379
2012-02-04,2675
2012-02-05,1938
2012-02-06,2753
2012-02-07,2373
2012-02-08,2494
2012-02-09,2292
2012-02-10,4912
2012-02-11,3769
2012-02-12,3297
2012-02-13,3862
2012-02-14,2308
2012-02-15,3864
2012-02-16,5583
2012-02-17,5089
2012-02-18,4046
2012-02-19,3227
2012-02-20,4001
2012-02-21,3967
2012-02-22,5150
2012-02-23,5044
2012-02-24,11270
2012-02-25,4250
2012-02-26,3522
2012-02-27,3522
2012-02-28,3034
2012-02-29,6268
2012-03-01,7200
2012-03-02,8004
2012-03-03,5570
2012-03-04,5195
2012-03-05,3620
2012-03-06,3373
2012-03-07,4711
2012-03-08,6886
2012-03-09,7082
2012-03-10,4264
2012-03-11,5975
2012-03-12,5982
2012-03-13,5053
2012-03-14,4700
2012-03-15,7725
2012-03-16,7046
2012-03-17,4274
2012-03-18,4749
2012-03-19,7000
2012-03-20,7250
2012-03-21,5215
2012-03-22,6056
2012-03-23,5653
2012-03-24,3942
2012-03-25,4288
2012-03-26,4230
2012-03-27,3393
2012-03-28,4046
2012-03-29,4839
2012-03-30,7395
2012-03-31,6103
2012-04-01,5249
2012-04-02,5652
2012-04-03,5797
2012-04-04,4240
2012-04-05,4537
2012-04-06,3593
2012-04-07,1957
2012-04-08,4133
2012-04-09,5061
2012-04-10,3943
2012-04-11,3234
2012-04-12,3707
2012-04-13,4493
2012-04-14,2647
2012-04-15,7161
2012-04-16,5052
2012-04-17,2972
2012-04-18,2871
2012-04-19,3690
2012-04-20,7149
2012-04-21,3001
2012-04-22,5170
2012-04-23,5444
2012-04-24,2781
2012-04-25,2779
2012-04-26,5307
2012-04-27,5228
2012-04-28,2233
2012-04-29,3377
2012-04-30,3972
2012-05-01,4061
2012-05-02,3242
2012-05-03,6575
2012-05-04,6564
2012-05-05,3108
2012-05-06,6569
2012-05-07,6461
2012-05-08,4333
2012-05-09,4647
2012-05-10,4889
2012-05-11,5593
2012-05-12,2376
2012-05-13,3742
2012-05-14,4369
2012-05-15,4946
2012-05-16,4313
2012-05-17,4775
2012-05-18,4566
2012-05-19,2679
2012-05-20,4697
2012-05-21,8331
2012-05-22,7339
2012-05-23,5537
2012-05-24,7770
2012-05-25,5856
2012-05-26,2857
2012-05-27,2179
2012-05-28,3716
2012-05-29,7797
2012-05-30,6503
2012-05-31,8080
2012-06-01,6182
2012-06-02,4135
2012-06-03,5297
2012-06-04,6418
2012-06-05,4418
2012-06-06,5098
2012-06-07,7568
2012-06-08,5615
2012-06-09,3560
2012-06-10,5891
2012-06-11,6601
2012-06-12,7761
2012-06-13,7659
2012-06-14,7953
2012-06-15,8308
2012-06-16,5064
2012-06-17,4903
2012-06-18,6571
2012-06-19,5357
2012-06-20,5679
2012-06-21,6299
2012-06-22,8310
2012-06-23,5677
2012-06-24,6349
2012-06-25,8479
2012-06-26,6631
2012-06-27,5542
2012-06-28,5405
2012-06-29,9901
2012-06-30,6389
2012-07-01,10136
2012-07-02,5538
2012-07-03,5574
2012-07-04,2168
2012-07-05,4723
2012-07-06,4009
2012-07-07,4843
2012-07-08,8452
2012-07-09,9515
2012-07-10,8138
2012-07-11,7167
2012-07-12,8418
2012-07-13,11095
2012-07-14,6916
2012-07-15,9565
2012-07-16,9080
2012-07-17,6843
2012-07-18,10366
2012-07-19,11804
2012-07-20,10714
2012-07-21,5971
2012-07-22,6175
2012-07-23,7693
2012-07-24,9701
2012-07-25,6034
2012-07-26,11183
2012-07-27,10158
2012-07-28,6279
2012-07-29,6907
2012-07-30,7217
2012-07-31,8330
2012-08-01,9354
2012-08-02,6526
2012-08-03,8120
2012-08-04,6894
2012-08-05,9534
2012-08-06,7272
2012-08-07,5056
2012-08-08,5932
2012-08-09,10203
2012-08-10,12707
2012-08-11,7236
2012-08-12,5968
2012-08-13,6620
2012-08-14,6728
2012-08-15,7332
2012-08-16,10353
2012-08-17,7186
2012-08-18,5440
2012-08-19,6552
2012-08-20,6397
2012-08-21,5734
2012-08-22,6012
2012-08-23,4901
2012-08-24,4951
2012-08-25,3642
2012-08-26,6293
2012-08-27,7292
2012-08-28,4535
2012-08-29,3111
2012-08-30,4235
2012-08-31,5494
2012-09-01,3404
2012-09-02,2158
2012-09-03,4383
2012-09-04,7245
2012-09-05,7995
2012-09-06,6564
2012-09-07,5816
2012-09-08,4183
2012-09-09,4474
2012-09-10,4219
