DATE,num_of_arrival_delays
1991-01-01,1676
1991-01-02,5005
1991-01-03,5028
1991-01-04,4434
1991-01-05,5248
1991-01-06,4524
1991-01-07,4385
1991-01-08,4428
1991-01-09,6407
1991-01-10,5851
1991-01-11,5725
1991-01-12,2569
1991-01-13,2203
1991-01-14,2132
1991-01-15,3545
1991-01-16,4325
1991-01-17,2715
1991-01-18,3290
1991-01-19,1620
1991-01-20,1832
1991-01-21,2398
1991-01-22,1240
1991-01-23,1671
1991-01-24,2462
1991-01-25,1899
1991-01-26,1629
1991-01-27,1619
1991-01-28,2131
1991-01-29,2718
1991-01-30,3748
1991-01-31,2288
1991-02-01,1383
1991-02-02,1633
1991-02-03,1627
1991-02-04,1924
1991-02-05,2055
1991-02-06,4023
1991-02-07,3359
1991-02-08,2675
1991-02-09,1379
1991-02-10,1241
1991-02-11,992
1991-02-12,1149
1991-02-13,2473
1991-02-14,4544
1991-02-15,3805
1991-02-16,1786
1991-02-17,1829
1991-02-18,3322
1991-02-19,3325
1991-02-20,1980
1991-02-21,2044
1991-02-22,2239
1991-02-23,1382
1991-02-24,1761
1991-02-25,1426
1991-02-26,1797
1991-02-27,2495
1991-02-28,3157
1991-03-01,3867
1991-03-02,3277
1991-03-03,3793
1991-03-04,2779
1991-03-05,2115
1991-03-06,2241
1991-03-07,1994
1991-03-08,1828
1991-03-09,1311
1991-03-10,2387
1991-03-11,1878
1991-03-12,2723
1991-03-13,3719
1991-03-14,2893
1991-03-15,2527
1991-03-16,2455
1991-03-17,2935
1991-03-18,2497
1991-03-19,1853
1991-03-20,2119
1991-03-21,2550
1991-03-22,3730
1991-03-23,2965
1991-03-24,2098
1991-03-25,1945
1991-03-26,2530
1991-03-27,3960
1991-03-28,3861
1991-03-29,3318
1991-03-30,1181
1991-03-31,1475
1991-04-01,1667
1991-04-02,1317
1991-04-03,1113
1991-04-04,2065
1991-04-05,1833
1991-04-06,1293
1991-04-07,1800
1991-04-08,2257
1991-04-09,3174
1991-04-10,2368
1991-04-11,3053
1991-04-12,3054
1991-04-13,2734
1991-04-14,2664
1991-04-15,2546
1991-04-16,1226
1991-04-17,2736
1991-04-18,2693
1991-04-19,3032
1991-04-20,1667
1991-04-21,2777
1991-04-22,1580
1991-04-23,2049
1991-04-24,2343
1991-04-25,2262
1991-04-26,1816
1991-04-27,1527
1991-04-28,2733
1991-04-29,2548
1991-04-30,2363
1991-05-01,2186
1991-05-02,2322
1991-05-03,3017
1991-05-04,2265
1991-05-05,2413
1991-05-06,2583
1991-05-07,1205
1991-05-08,1808
1991-05-09,1813
1991-05-10,2167
1991-05-11,1035
1991-05-12,1503
1991-05-13,2082
1991-05-14,2809
1991-05-15,2199
1991-05-16,3427
1991-05-17,4400
1991-05-18,1945
1991-05-19,2271
1991-05-20,1352
1991-05-21,1141
1991-05-22,2197
1991-05-23,3069
1991-05-24,2966
1991-05-25,1414
1991-05-26,526
1991-05-27,1126
1991-05-28,1850
1991-05-29,2351
1991-05-30,2821
1991-05-31,3083
1991-06-01,2111
1991-06-02,2246
1991-06-03,1875
1991-06-04,1512
1991-06-05,2228
1991-06-06,1933
1991-06-07,2002
1991-06-08,830
1991-06-09,1291
1991-06-10,1604
1991-06-11,1539
1991-06-12,1953
1991-06-13,2369
1991-06-14,1990
1991-06-15,2019
1991-06-16,3010
1991-06-17,1821
1991-06-18,2647
1991-06-19,2740
1991-06-20,1895
1991-06-21,2480
1991-06-22,2389
1991-06-23,2063
1991-06-24,2147
1991-06-25,1971
1991-06-26,1852
1991-06-27,1756
1991-06-28,2217
1991-06-29,1300
1991-06-30,1992
1991-07-01,1925
1991-07-02,2619
1991-07-03,3090
1991-07-04,965
1991-07-05,1013
1991-07-06,933
1991-07-07,3869
1991-07-08,3348
1991-07-09,1953
1991-07-10,1754
1991-07-11,1535
1991-07-12,1839
1991-07-13,1680
1991-07-14,1497
1991-07-15,1397
1991-07-16,1603
1991-07-17,1780
1991-07-18,1817
1991-07-19,2501
1991-07-20,1136
1991-07-21,2317
1991-07-22,2580
1991-07-23,3095
1991-07-24,2962
1991-07-25,2819
1991-07-26,3858
1991-07-27,2087
1991-07-28,1578
1991-07-29,2092
1991-07-30,1921
1991-07-31,1691
1991-08-01,2487
1991-08-02,2331
1991-08-03,1711
1991-08-04,1857
1991-08-05,1956
1991-08-06,1816
1991-08-07,2115
1991-08-08,3746
1991-08-09,4212
1991-08-10,1646
1991-08-11,1478
1991-08-12,2696
1991-08-13,2238
1991-08-14,2783
1991-08-15,3148
1991-08-16,2185
1991-08-17,2136
1991-08-18,2656
1991-08-19,3086
1991-08-20,3663
1991-08-21,2122
1991-08-22,2097
1991-08-23,2201
1991-08-24,1221
1991-08-25,1670
1991-08-26,1580
1991-08-27,1553
1991-08-28,1750
1991-08-29,2658
1991-08-30,2911
1991-08-31,1142
1991-09-01,599
1991-09-02,1658
1991-09-03,2721
1991-09-04,1348
1991-09-05,1459
1991-09-06,1205
1991-09-07,1068
1991-09-08,988
1991-09-09,1476
1991-09-10,1062
1991-09-11,1179
1991-09-12,1971
1991-09-13,1681
1991-09-14,1234
1991-09-15,1484
1991-09-16,1714
1991-09-17,2149
1991-09-18,3271
1991-09-19,3047
1991-09-20,1809
1991-09-21,606
1991-09-22,1256
1991-09-23,1324
1991-09-24,2215
1991-09-25,2986
1991-09-26,2016
1991-09-27,1141
1991-09-28,739
1991-09-29,1112
1991-09-30,1260
1991-10-01,1037
1991-10-02,1600
1991-10-03,1488
1991-10-04,2957
1991-10-05,1847
1991-10-06,1784
1991-10-07,974
1991-10-08,1055
1991-10-09,1267
1991-10-10,1454
1991-10-11,2138
1991-10-12,885
1991-10-13,882
1991-10-14,1476
1991-10-15,2512
1991-10-16,1842
1991-10-17,2448
1991-10-18,1817
1991-10-19,881
1991-10-20,1782
1991-10-21,877
1991-10-22,1359
1991-10-23,2201
1991-10-24,4022
1991-10-25,3743
1991-10-26,3279
1991-10-27,3555
1991-10-28,4520
1991-10-29,3670
1991-10-30,3552
1991-10-31,4327
1991-11-01,4043
1991-11-02,2094
1991-11-03,1916
1991-11-04,1898
1991-11-05,1916
1991-11-06,2231
1991-11-07,2891
1991-11-08,2604
1991-11-09,1441
1991-11-10,2254
1991-11-11,2012
1991-11-12,1717
1991-11-13,1470
1991-11-14,2057
1991-11-15,2401
1991-11-16,2084
1991-11-17,2650
1991-11-18,1574
1991-11-19,3163
1991-11-20,1734
1991-11-21,2078
1991-11-22,4366
1991-11-23,2305
1991-11-24,1460
1991-11-25,1037
1991-11-26,2220
1991-11-27,2754
1991-11-28,1182
1991-11-29,1201
1991-11-30,2270
1991-12-01,3695
1991-12-02,4475
1991-12-03,5796
1991-12-04,2806
1991-12-05,2070
1991-12-06,2222
1991-12-07,947
1991-12-08,1490
1991-12-09,1235
1991-12-10,1642
1991-12-11,2766
1991-12-12,3077
1991-12-13,2356
1991-12-14,1978
1991-12-15,1631
1991-12-16,1349
1991-12-17,2098
1991-12-18,3688
1991-12-19,4780
1991-12-20,5406
1991-12-21,4544
1991-12-22,3835
1991-12-23,2505
1991-12-24,655
1991-12-25,403
1991-12-26,1506
1991-12-27,2272
1991-12-28,2293
1991-12-29,3408
1991-12-30,1767
1991-12-31,1374
