DATE,num_of_arrival_delays
1994-01-01,1477
1994-01-02,3389
1994-01-03,4502
1994-01-04,3595
1994-01-05,4532
1994-01-06,4448
1994-01-07,3431
1994-01-08,2060
1994-01-09,2600
1994-01-10,2763
1994-01-11,2830
1994-01-12,4306
1994-01-13,3577
1994-01-14,3640
1994-01-15,1638
1994-01-16,3597
1994-01-17,4295
1994-01-18,3806
1994-01-19,3937
1994-01-20,4189
1994-01-21,2878
1994-01-22,1279
1994-01-23,1824
1994-01-24,2485
1994-01-25,3084
1994-01-26,4290
1994-01-27,5463
1994-01-28,4999
1994-01-29,2417
1994-01-30,3650
1994-01-31,1913
1994-02-01,1778
1994-02-02,1903
1994-02-03,2882
1994-02-04,2424
1994-02-05,1569
1994-02-06,2042
1994-02-07,3305
1994-02-08,4482
1994-02-09,5509
1994-02-10,5922
1994-02-11,3567
1994-02-12,4412
1994-02-13,3184
1994-02-14,1576
1994-02-15,1025
1994-02-16,1753
1994-02-17,2159
1994-02-18,2152
1994-02-19,1635
1994-02-20,1750
1994-02-21,4065
1994-02-22,4073
1994-02-23,4978
1994-02-24,3853
1994-02-25,3669
1994-02-26,2503
1994-02-27,2140
1994-02-28,2589
1994-03-01,3820
1994-03-02,3434
1994-03-03,2546
1994-03-04,2368
1994-03-05,1103
1994-03-06,1268
1994-03-07,2327
1994-03-08,3071
1994-03-09,3316
1994-03-10,3076
1994-03-11,1737
1994-03-12,1472
1994-03-13,2282
1994-03-14,1108
1994-03-15,1126
1994-03-16,1490
1994-03-17,2125
1994-03-18,3707
1994-03-19,1672
1994-03-20,1821
1994-03-21,1586
1994-03-22,1565
1994-03-23,1339
1994-03-24,2902
1994-03-25,2779
1994-03-26,3022
1994-03-27,3711
1994-03-28,3294
1994-03-29,2163
1994-03-30,1324
1994-03-31,1315
1994-04-01,938
1994-04-02,1100
1994-04-03,1437
1994-04-04,1727
1994-04-05,2837
1994-04-06,3435
1994-04-07,2110
1994-04-08,1871
1994-04-09,1797
1994-04-10,3062
1994-04-11,3386
1994-04-12,2786
1994-04-13,3041
1994-04-14,1442
1994-04-15,5024
1994-04-16,1748
1994-04-17,1281
1994-04-18,855
1994-04-19,1158
1994-04-20,1686
1994-04-21,1415
1994-04-22,2016
1994-04-23,999
1994-04-24,1560
1994-04-25,2678
1994-04-26,3051
1994-04-27,3670
1994-04-28,3742
1994-04-29,4477
1994-04-30,1825
1994-05-01,1790
1994-05-02,1877
1994-05-03,1902
1994-05-04,1546
1994-05-05,1579
1994-05-06,2288
1994-05-07,1144
1994-05-08,905
1994-05-09,1817
1994-05-10,1478
1994-05-11,1541
1994-05-12,2396
1994-05-13,2230
1994-05-14,1025
1994-05-15,1548
1994-05-16,1731
1994-05-17,1177
1994-05-18,1560
1994-05-19,2097
1994-05-20,1653
1994-05-21,883
1994-05-22,1035
1994-05-23,1378
1994-05-24,1505
1994-05-25,3356
1994-05-26,4262
1994-05-27,1944
1994-05-28,587
1994-05-29,1116
1994-05-30,819
1994-05-31,1484
1994-06-01,1071
1994-06-02,1504
1994-06-03,1182
1994-06-04,810
1994-06-05,1373
1994-06-06,1933
1994-06-07,1368
1994-06-08,1608
1994-06-09,2187
1994-06-10,3000
1994-06-11,2299
1994-06-12,2469
1994-06-13,2864
1994-06-14,1421
