DATE,num_of_arrival_and_departure_delays
2009-01-01,4692
2009-01-02,8864
2009-01-03,9277
2009-01-04,10930
2009-01-05,10688
2009-01-06,9228
2009-01-07,9198
2009-01-08,4975
2009-01-09,6172
2009-01-10,5504
2009-01-11,6966
2009-01-12,6153
2009-01-13,4259
2009-01-14,6446
2009-01-15,7971
2009-01-16,8173
2009-01-17,4836
2009-01-18,6104
2009-01-19,6493
2009-01-20,4187
2009-01-21,3058
2009-01-22,3885
2009-01-23,4818
2009-01-24,2821
2009-01-25,6204
2009-01-26,6279
2009-01-27,5956
2009-01-28,10562
2009-01-29,6717
2009-01-30,5569
2009-01-31,2371
2009-02-01,2395
2009-02-02,3588
2009-02-03,4638
2009-02-04,3650
2009-02-05,4394
2009-02-06,4257
2009-02-07,1869
2009-02-08,4282
2009-02-09,3255
2009-02-10,2678
2009-02-11,6396
2009-02-12,7171
2009-02-13,9061
2009-02-14,5862
2009-02-15,4836
2009-02-16,6882
2009-02-17,6521
2009-02-18,7877
2009-02-19,5912
2009-02-20,5880
2009-02-21,5283
2009-02-22,6960
2009-02-23,5254
2009-02-24,2837
2009-02-25,2875
2009-02-26,6521
2009-02-27,8548
2009-02-28,4940
2009-03-01,8098
2009-03-02,10085
2009-03-03,5914
2009-03-04,4066
2009-03-05,4115
2009-03-06,4669
2009-03-07,4013
2009-03-08,7648
2009-03-09,7802
2009-03-10,5295
2009-03-11,6817
2009-03-12,5633
2009-03-13,6837
2009-03-14,5882
2009-03-15,8363
2009-03-16,7762
2009-03-17,2963
2009-03-18,7345
2009-03-19,5398
2009-03-20,5479
2009-03-21,3560
2009-03-22,6833
2009-03-23,5193
2009-03-24,5488
2009-03-25,5312
2009-03-26,10765
2009-03-27,10224
2009-03-28,7293
2009-03-29,11284
2009-03-30,6688
2009-03-31,4718
2009-04-01,5933
2009-04-02,12719
2009-04-03,11396
2009-04-04,5304
2009-04-05,6258
2009-04-06,9139
2009-04-07,5548
2009-04-08,4657
2009-04-09,6382
2009-04-10,6607
2009-04-11,4009
2009-04-12,6052
2009-04-13,8650
2009-04-14,7533
2009-04-15,6226
2009-04-16,5296
2009-04-17,8034
2009-04-18,6117
2009-04-19,7104
2009-04-20,6883
2009-04-21,5834
2009-04-22,3911
2009-04-23,4762
2009-04-24,4725
2009-04-25,3637
2009-04-26,6199
2009-04-27,8052
2009-04-28,4068
2009-04-29,4376
2009-04-30,5960
2009-05-01,8318
2009-05-02,4552
2009-05-03,7553
2009-05-04,7351
2009-05-05,5352
2009-05-06,8008
2009-05-07,7051
2009-05-08,6325
2009-05-09,4071
2009-05-10,5020
2009-05-11,6418
2009-05-12,3770
2009-05-13,5752
2009-05-14,10138
2009-05-15,8682
2009-05-16,7083
2009-05-17,5592
2009-05-18,5315
2009-05-19,3482
2009-05-20,4072
2009-05-21,6066
2009-05-22,7724
2009-05-23,3878
2009-05-24,4431
2009-05-25,4597
2009-05-26,7956
2009-05-27,6856
2009-05-28,7191
2009-05-29,6618
2009-05-30,3285
2009-05-31,4239
2009-06-01,5055
2009-06-02,5896
2009-06-03,6338
2009-06-04,6661
2009-06-05,8069
2009-06-06,4722
2009-06-07,7117
2009-06-08,7377
2009-06-09,11395
2009-06-10,10026
2009-06-11,14484
2009-06-12,11235
2009-06-13,7185
2009-06-14,7361
2009-06-15,8434
2009-06-16,7198
2009-06-17,7443
2009-06-18,11214
2009-06-19,9396
2009-06-20,6750
2009-06-21,5874
2009-06-22,7249
2009-06-23,7075
2009-06-24,8010
2009-06-25,7718
2009-06-26,9476
2009-06-27,5234
2009-06-28,5629
2009-06-29,5732
2009-06-30,8687
2009-07-01,9325
2009-07-02,9721
2009-07-03,4409
2009-07-04,2519
2009-07-05,5387
2009-07-06,5902
2009-07-07,9513
2009-07-08,7781
2009-07-09,6411
2009-07-10,5415
2009-07-11,5442
2009-07-12,6771
2009-07-13,6431
2009-07-14,5376
2009-07-15,6180
2009-07-16,8107
2009-07-17,8513
2009-07-18,4878
2009-07-19,5882
2009-07-20,7724
2009-07-21,8791
2009-07-22,5993
2009-07-23,11148
2009-07-24,6825
2009-07-25,5332
2009-07-26,7764
2009-07-27,9463
2009-07-28,8406
2009-07-29,11115
2009-07-30,13053
2009-07-31,13487
2009-08-01,8451
2009-08-02,10578
2009-08-03,7567
2009-08-04,6652
2009-08-05,7398
2009-08-06,6661
2009-08-07,6140
2009-08-08,4916
2009-08-09,7372
2009-08-10,7413
2009-08-11,5907
2009-08-12,8590
2009-08-13,8307
2009-08-14,5658
