DATE,num_of_arrival_and_departure_delays
2002-01-01,3913
2002-01-02,8151
2002-01-03,8539
2002-01-04,5652
2002-01-05,4524
2002-01-06,8218
2002-01-07,5427
2002-01-08,2556
2002-01-09,2374
2002-01-10,2644
2002-01-11,2547
2002-01-12,1739
2002-01-13,3078
2002-01-14,2546
2002-01-15,2562
2002-01-16,4605
2002-01-17,4707
2002-01-18,6191
2002-01-19,5244
2002-01-20,3041
2002-01-21,4610
2002-01-22,2723
2002-01-23,4788
2002-01-24,6206
2002-01-25,2468
2002-01-26,1534
2002-01-27,2899
2002-01-28,3379
2002-01-29,3325
2002-01-30,5866
2002-01-31,8132
2002-02-01,6837
2002-02-02,2273
2002-02-03,2662
2002-02-04,4264
2002-02-05,3287
2002-02-06,3311
2002-02-07,4707
2002-02-08,3225
2002-02-09,1998
2002-02-10,4815
2002-02-11,2799
2002-02-12,2011
2002-02-13,2306
2002-02-14,2843
2002-02-15,4024
2002-02-16,2803
2002-02-17,2561
2002-02-18,3056
2002-02-19,6701
2002-02-20,4563
2002-02-21,5100
2002-02-22,3917
2002-02-23,2816
2002-02-24,3138
2002-02-25,3813
2002-02-26,4326
2002-02-27,3603
2002-02-28,4275
2002-03-01,5803
2002-03-02,7967
2002-03-03,8215
2002-03-04,4488
2002-03-05,2891
2002-03-06,2832
2002-03-07,4167
2002-03-08,6190
2002-03-09,7660
2002-03-10,6335
2002-03-11,2926
2002-03-12,4009
2002-03-13,5071
2002-03-14,4233
2002-03-15,5543
2002-03-16,4619
2002-03-17,7697
2002-03-18,7927
2002-03-19,4658
2002-03-20,6432
2002-03-21,5719
2002-03-22,6632
2002-03-23,4044
2002-03-24,4961
2002-03-25,5516
2002-03-26,6413
2002-03-27,3525
2002-03-28,3707
2002-03-29,3732
2002-03-30,4764
2002-03-31,4255
2002-04-01,6012
2002-04-02,6645
2002-04-03,3712
2002-04-04,2642
2002-04-05,3403
2002-04-06,3413
2002-04-07,6402
2002-04-08,7822
2002-04-09,3543
2002-04-10,2504
2002-04-11,3603
2002-04-12,6131
2002-04-13,3365
2002-04-14,4515
2002-04-15,3444
2002-04-16,3130
2002-04-17,2887
2002-04-18,5412
2002-04-19,5911
2002-04-20,2703
2002-04-21,5213
2002-04-22,2599
2002-04-23,1624
2002-04-24,4388
2002-04-25,5374
2002-04-26,3965
2002-04-27,3107
2002-04-28,7006
2002-04-29,3284
2002-04-30,3657
2002-05-01,3874
2002-05-02,7565
2002-05-03,7616
2002-05-04,2555
2002-05-05,3494
2002-05-06,3843
2002-05-07,3859
2002-05-08,3514
2002-05-09,6484
2002-05-10,4827
2002-05-11,2517
2002-05-12,6825
2002-05-13,6365
2002-05-14,2469
2002-05-15,2829
2002-05-16,4038
2002-05-17,8859
2002-05-18,3146
2002-05-19,4948
2002-05-20,3451
2002-05-21,2086
2002-05-22,2280
2002-05-23,3614
2002-05-24,3672
2002-05-25,2054
2002-05-26,1491
2002-05-27,4548
2002-05-28,4688
2002-05-29,3379
2002-05-30,4471
2002-05-31,4840
2002-06-01,3115
2002-06-02,3847
2002-06-03,4924
2002-06-04,6100
2002-06-05,5932
2002-06-06,5967
2002-06-07,4488
2002-06-08,2125
2002-06-09,4223
2002-06-10,4463
2002-06-11,4829
2002-06-12,3897
2002-06-13,6053
2002-06-14,7936
2002-06-15,4024
2002-06-16,4049
2002-06-17,4964
2002-06-18,3271
2002-06-19,5247
2002-06-20,4969
2002-06-21,7429
2002-06-22,3883
2002-06-23,5458
2002-06-24,6238
2002-06-25,7858
2002-06-26,10007
2002-06-27,9180
2002-06-28,7600
2002-06-29,4560
2002-06-30,4917
2002-07-01,4572
2002-07-02,6535
2002-07-03,7650
2002-07-04,1934
2002-07-05,1735
2002-07-06,2965
2002-07-07,4960
2002-07-08,6257
2002-07-09,6439
2002-07-10,7767
2002-07-11,5113
2002-07-12,6149
2002-07-13,3936
2002-07-14,5453
2002-07-15,5485
2002-07-16,3304
2002-07-17,4127
2002-07-18,6794
2002-07-19,6933
2002-07-20,4209
2002-07-21,5441
2002-07-22,6627
2002-07-23,5338
2002-07-24,4973
2002-07-25,4898
2002-07-26,8434
2002-07-27,4394
2002-07-28,7527
2002-07-29,6540
2002-07-30,3450
2002-07-31,3202
2002-08-01,4332
2002-08-02,5883
2002-08-03,4978
2002-08-04,4762
2002-08-05,5700
2002-08-06,2975
2002-08-07,2858
2002-08-08,3099
2002-08-09,3106
2002-08-10,4868
2002-08-11,3830
2002-08-12,4891
2002-08-13,6372
2002-08-14,5344
2002-08-15,6552
2002-08-16,8435
2002-08-17,3645
2002-08-18,5304
2002-08-19,7927
2002-08-20,3015
2002-08-21,3046
2002-08-22,5477
2002-08-23,6220
2002-08-24,3348
2002-08-25,3081
2002-08-26,3545
2002-08-27,3101
2002-08-28,2814
2002-08-29,5054
2002-08-30,4258
2002-08-31,1554
2002-09-01,1700
2002-09-02,4660
2002-09-03,2760
2002-09-04,1644
2002-09-05,2128
2002-09-06,2665
2002-09-07,1623
2002-09-08,2846
2002-09-09,1815
2002-09-10,2440
2002-09-11,1674
2002-09-12,2206
2002-09-13,3335
2002-09-14,2318
2002-09-15,3956
2002-09-16,2161
2002-09-17,2505
2002-09-18,2646
2002-09-19,8382
2002-09-20,5356
2002-09-21,1705
2002-09-22,2700
2002-09-23,2162
2002-09-24,2644
2002-09-25,3147
2002-09-26,4008
2002-09-27,5487
2002-09-28,1476
2002-09-29,2842
2002-09-30,1843
2002-10-01,1879
2002-10-02,2981
2002-10-03,2646
2002-10-04,6426
2002-10-05,1924
2002-10-06,3776
2002-10-07,2740
2002-10-08,2760
2002-10-09,2950
2002-10-10,4620
2002-10-11,7258
2002-10-12,2054
2002-10-13,3427
2002-10-14,2926
2002-10-15,4233
2002-10-16,3986
2002-10-17,3415
2002-10-18,6113
2002-10-19,2449
2002-10-20,3314
2002-10-21,4066
2002-10-22,3300
2002-10-23,4505
2002-10-24,5757
2002-10-25,5750
2002-10-26,3085
2002-10-27,4279
2002-10-28,4827
2002-10-29,3723
2002-10-30,2935
2002-10-31,2357
2002-11-01,3596
2002-11-02,1972
2002-11-03,4174
2002-11-04,3119
2002-11-05,4797
2002-11-06,3294
2002-11-07,3507
2002-11-08,5815
2002-11-09,2434
2002-11-10,5936
2002-11-11,5234
2002-11-12,3360
2002-11-13,1989
2002-11-14,2259
2002-11-15,3121
2002-11-16,3095
2002-11-17,4431
2002-11-18,2496
2002-11-19,1684
2002-11-20,2333
2002-11-21,4278
2002-11-22,4364
2002-11-23,2134
2002-11-24,2524
2002-11-25,2037
2002-11-26,6344
2002-11-27,4605
2002-11-28,1164
2002-11-29,1379
2002-11-30,4037
2002-12-01,4365
2002-12-02,7922
2002-12-03,8455
2002-12-04,5541
2002-12-05,6842
2002-12-06,5643
2002-12-07,1766
2002-12-08,2676
2002-12-09,2527
2002-12-10,3275
2002-12-11,4976
2002-12-12,4294
2002-12-13,5932
2002-12-14,3012
2002-12-15,2380
2002-12-16,3491
2002-12-17,3550
2002-12-18,6937
2002-12-19,7758
2002-12-20,9987
2002-12-21,4561
2002-12-22,3931
2002-12-23,7016
2002-12-24,3625
2002-12-25,4458
2002-12-26,7743
2002-12-27,5219
2002-12-28,4144
2002-12-29,3826
2002-12-30,8087
2002-12-31,3348
