DATE,num_of_departure_delays
2018-01-01,5648
2018-01-02,5582
2018-01-03,4444
2018-01-04,2623
2018-01-05,4354
2018-01-06,3399
2018-01-07,4704
2018-01-08,5271
2018-01-09,3640
2018-01-10,2515
2018-01-11,3397
2018-01-12,6122
2018-01-13,2408
2018-01-14,2023
2018-01-15,4650
2018-01-16,3341
2018-01-17,5199
2018-01-18,3853
2018-01-19,2271
2018-01-20,1225
2018-01-21,2704
2018-01-22,2249
2018-01-23,2567
2018-01-24,2074
2018-01-25,1760
2018-01-26,1515
2018-01-27,957
2018-01-28,1805
2018-01-29,2713
2018-01-30,2239
2018-01-31,1314
2018-02-01,2108
2018-02-02,3119
2018-02-03,1246
2018-02-04,3469
2018-02-05,3919
2018-02-06,2105
2018-02-07,5314
2018-02-08,2595
2018-02-09,3995
2018-02-10,2874
2018-02-11,4950
2018-02-12,3178
2018-02-13,1674
2018-02-14,1850
2018-02-15,4175
2018-02-16,3920
2018-02-17,2469
2018-02-18,2609
2018-02-19,4386
2018-02-20,4864
2018-02-21,4043
2018-02-22,5116
2018-02-23,4412
2018-02-24,2993
2018-02-25,3574
2018-02-26,2628
2018-02-27,2082
2018-02-28,2593
2018-03-01,4160
2018-03-02,3839
2018-03-03,2922
2018-03-04,3215
2018-03-05,3924
2018-03-06,2536
2018-03-07,2087
2018-03-08,3338
2018-03-09,3112
2018-03-10,2572
2018-03-11,3438
2018-03-12,3052
2018-03-13,2892
2018-03-14,3513
2018-03-15,3452
2018-03-16,3837
2018-03-17,2139
2018-03-18,2721
2018-03-19,2938
2018-03-20,4299
2018-03-21,3309
2018-03-22,5065
2018-03-23,3356
2018-03-24,2395
2018-03-25,2426
2018-03-26,2509
2018-03-27,2814
2018-03-28,3130
2018-03-29,3732
2018-03-30,3132
2018-03-31,2077
2018-04-01,2137
2018-04-02,4433
2018-04-03,5161
2018-04-04,4511
2018-04-05,3072
2018-04-06,4556
2018-04-07,2690
2018-04-08,3083
2018-04-09,3752
2018-04-10,2952
2018-04-11,2027
2018-04-12,2600
2018-04-13,3467
2018-04-14,2459
2018-04-15,5948
2018-04-16,6835
2018-04-17,3217
2018-04-18,2653
2018-04-19,3612
2018-04-20,2995
2018-04-21,2088
2018-04-22,2934
2018-04-23,2925
2018-04-24,2300
2018-04-25,3548
2018-04-26,3008
2018-04-27,3653
2018-04-28,1699
2018-04-29,2399
2018-04-30,2476
2018-05-01,1917
2018-05-02,2776
2018-05-03,5981
2018-05-04,3600
2018-05-05,1538
2018-05-06,2925
2018-05-07,2190
2018-05-08,2155
2018-05-09,3932
2018-05-10,4507
2018-05-11,3448
2018-05-12,2223
2018-05-13,3111
2018-05-14,5626
2018-05-15,4667
2018-05-16,5441
2018-05-17,5483
2018-05-18,4446
2018-05-19,2951
2018-05-20,5819
2018-05-21,5101
2018-05-22,4428
2018-05-23,3713
2018-05-24,3492
2018-05-25,4069
2018-05-26,2235
2018-05-27,2571
2018-05-28,2917
2018-05-29,3340
2018-05-30,4246
2018-05-31,4903
2018-06-01,5107
2018-06-02,2991
2018-06-03,3686
2018-06-04,3861
