DATE,num_of_departure_delays
2012-01-01,2199
2012-01-02,3448
2012-01-03,2709
2012-01-04,1903
2012-01-05,1419
2012-01-06,1184
2012-01-07,1059
2012-01-08,1738
2012-01-09,2147
2012-01-10,1275
2012-01-11,2002
2012-01-12,2912
2012-01-13,2995
2012-01-14,1162
2012-01-15,1327
2012-01-16,1931
2012-01-17,2338
2012-01-18,1922
2012-01-19,2340
2012-01-20,3148
2012-01-21,3875
2012-01-22,3478
2012-01-23,4548
2012-01-24,1833
2012-01-25,2385
2012-01-26,2570
2012-01-27,2596
2012-01-28,853
2012-01-29,1295
2012-01-30,1350
2012-01-31,859
2012-02-01,1274
2012-02-02,1440
2012-02-03,2014
2012-02-04,1320
2012-02-05,996
2012-02-06,1389
2012-02-07,1150
2012-02-08,1191
2012-02-09,1180
2012-02-10,2360
2012-02-11,1827
2012-02-12,1705
2012-02-13,1805
2012-02-14,1112
2012-02-15,1857
2012-02-16,2679
2012-02-17,2522
2012-02-18,1964
2012-02-19,1581
2012-02-20,1961
2012-02-21,1912
2012-02-22,2517
2012-02-23,2486
2012-02-24,5379
2012-02-25,2146
2012-02-26,1799
2012-02-27,1707
2012-02-28,1397
2012-02-29,2828
2012-03-01,3473
2012-03-02,3730
2012-03-03,2750
2012-03-04,2572
2012-03-05,1824
2012-03-06,1639
2012-03-07,2327
2012-03-08,3344
2012-03-09,3459
2012-03-10,2227
2012-03-11,3087
2012-03-12,3047
2012-03-13,2461
2012-03-14,2421
2012-03-15,3718
2012-03-16,3529
2012-03-17,2160
2012-03-18,2377
2012-03-19,3307
2012-03-20,3505
2012-03-21,2488
2012-03-22,2989
2012-03-23,2779
2012-03-24,1983
2012-03-25,2141
2012-03-26,2138
2012-03-27,1773
2012-03-28,2011
2012-03-29,2465
2012-03-30,3638
2012-03-31,2981
2012-04-01,2596
2012-04-02,2739
2012-04-03,2752
2012-04-04,2120
2012-04-05,2277
2012-04-06,1835
2012-04-07,1039
2012-04-08,2087
2012-04-09,2599
