DATE,num_of_departure_delays
2011-01-01,3823
2011-01-02,5706
2011-01-03,4142
2011-01-04,3539
2011-01-05,2455
2011-01-06,2420
2011-01-07,3149
2011-01-08,2166
2011-01-09,3773
2011-01-10,3624
2011-01-11,4030
2011-01-12,3087
2011-01-13,3485
2011-01-14,2905
2011-01-15,1460
2011-01-16,2101
2011-01-17,3873
2011-01-18,4596
2011-01-19,2254
2011-01-20,2570
2011-01-21,3173
2011-01-22,1652
2011-01-23,1763
2011-01-24,2644
2011-01-25,2143
2011-01-26,2240
2011-01-27,3608
2011-01-28,2916
2011-01-29,1171
2011-01-30,1803
2011-01-31,2854
2011-02-01,2513
2011-02-02,1982
2011-02-03,3274
2011-02-04,3972
2011-02-05,2848
2011-02-06,2680
2011-02-07,3551
2011-02-08,2673
2011-02-09,2208
2011-02-10,2460
2011-02-11,2342
2011-02-12,1171
2011-02-13,1588
2011-02-14,1945
2011-02-15,1641
2011-02-16,2042
2011-02-17,3309
2011-02-18,4004
2011-02-19,2980
2011-02-20,2907
2011-02-21,5052
2011-02-22,3898
2011-02-23,2125
2011-02-24,3919
2011-02-25,5626
2011-02-26,3479
2011-02-27,3319
2011-02-28,4834
2011-03-01,2049
2011-03-02,2309
2011-03-03,2455
2011-03-04,2930
2011-03-05,2899
2011-03-06,4126
2011-03-07,3216
2011-03-08,1873
2011-03-09,3572
2011-03-10,4119
2011-03-11,3063
2011-03-12,1795
2011-03-13,2414
2011-03-14,3503
2011-03-15,2437
2011-03-16,2567
2011-03-17,2431
2011-03-18,3100
2011-03-19,2288
2011-03-20,3622
2011-03-21,3992
2011-03-22,2881
2011-03-23,4655
2011-03-24,3977
2011-03-25,3095
2011-03-26,3017
2011-03-27,3545
2011-03-28,3221
2011-03-29,1803
2011-03-30,2668
2011-03-31,4329
2011-04-01,3755
2011-04-02,2368
2011-04-03,3033
2011-04-04,4616
2011-04-05,3721
2011-04-06,2179
2011-04-07,3963
2011-04-08,3928
2011-04-09,2240
2011-04-10,1818
2011-04-11,2847
2011-04-12,2554
2011-04-13,2822
2011-04-14,2787
2011-04-15,4459
2011-04-16,3034
2011-04-17,3454
2011-04-18,3553
2011-04-19,3212
2011-04-20,4164
2011-04-21,3343
2011-04-22,3260
2011-04-23,1950
2011-04-24,2429
2011-04-25,5024
2011-04-26,4940
2011-04-27,4778
2011-04-28,5630
2011-04-29,3053
2011-04-30,1745
2011-05-01,3283
2011-05-02,3023
2011-05-03,1963
2011-05-04,2532
2011-05-05,2536
2011-05-06,2238
2011-05-07,1474
2011-05-08,2047
2011-05-09,2403
2011-05-10,1731
2011-05-11,3516
2011-05-12,4621
2011-05-13,3745
2011-05-14,2723
2011-05-15,3918
2011-05-16,3841
2011-05-17,3788
2011-05-18,4153
2011-05-19,3827
2011-05-20,4662
2011-05-21,2208
2011-05-22,3195
2011-05-23,5017
2011-05-24,3392
2011-05-25,5122
2011-05-26,5296
2011-05-27,4791
2011-05-28,1893
2011-05-29,2332
2011-05-30,2139
2011-05-31,2584
2011-06-01,3038
2011-06-02,2511
2011-06-03,2103
2011-06-04,1921
2011-06-05,2092
2011-06-06,2522
2011-06-07,2006
2011-06-08,1984
2011-06-09,5958
2011-06-10,4762
2011-06-11,3794
2011-06-12,3717
2011-06-13,2830
2011-06-14,2639
2011-06-15,3718
2011-06-16,3748
2011-06-17,4556
2011-06-18,3898
2011-06-19,3708
2011-06-20,4610
2011-06-21,3687
2011-06-22,5419
2011-06-23,5048
2011-06-24,4086
2011-06-25,2857
2011-06-26,3163
2011-06-27,3348
2011-06-28,4043
2011-06-29,3191
2011-06-30,3926
2011-07-01,4437
2011-07-02,2471
2011-07-03,2138
2011-07-04,2430
2011-07-05,2646
2011-07-06,3430
2011-07-07,3368
2011-07-08,4009
2011-07-09,2788
2011-07-10,2951
2011-07-11,4876
2011-07-12,3781
2011-07-13,3411
2011-07-14,3771
2011-07-15,4176
2011-07-16,2585
2011-07-17,2727
2011-07-18,3145
2011-07-19,3680
2011-07-20,3335
2011-07-21,3126
2011-07-22,4408
2011-07-23,3417
2011-07-24,4041
2011-07-25,4645
2011-07-26,3102
2011-07-27,3025
2011-07-28,3786
2011-07-29,4488
2011-07-30,2696
2011-07-31,3666
2011-08-01,4235
2011-08-02,3371
2011-08-03,2862
2011-08-04,3498
2011-08-05,3321
2011-08-06,3197
2011-08-07,4466
2011-08-08,4070
2011-08-09,3775
2011-08-10,3204
2011-08-11,2867
2011-08-12,2329
2011-08-13,3271
2011-08-14,4245
2011-08-15,3872
