DATE,num_of_arrival_delays
1990-01-01,4035
1990-01-02,3854
1990-01-03,3875
1990-01-04,4296
1990-01-05,2770
1990-01-06,1919
1990-01-07,2334
1990-01-08,3034
1990-01-09,3833
1990-01-10,2691
1990-01-11,3287
1990-01-12,3301
1990-01-13,1345
1990-01-14,1004
1990-01-15,1681
1990-01-16,2715
1990-01-17,4386
1990-01-18,4266
1990-01-19,4741
1990-01-20,3623
1990-01-21,2520
1990-01-22,1911
1990-01-23,1673
1990-01-24,2241
1990-01-25,5317
1990-01-26,3119
1990-01-27,1251
1990-01-28,1135
1990-01-29,3396
1990-01-30,1880
1990-01-31,2363
1990-02-01,3875
1990-02-02,6859
1990-02-03,3672
1990-02-04,2905
1990-02-05,1293
1990-02-06,1431
1990-02-07,2047
1990-02-08,2191
1990-02-09,4686
1990-02-10,2949
1990-02-11,1425
1990-02-12,1752
1990-02-13,2599
1990-02-14,3790
1990-02-15,7252
1990-02-16,7997
1990-02-17,3826
1990-02-18,2257
1990-02-19,2408
1990-02-20,2429
1990-02-21,2999
1990-02-22,6221
1990-02-23,5096
1990-02-24,4254
1990-02-25,3359
1990-02-26,2075
1990-02-27,2347
1990-02-28,2945
1990-03-01,2393
1990-03-02,3990
1990-03-03,1921
1990-03-04,1693
1990-03-05,2518
1990-03-06,3990
1990-03-07,3891
1990-03-08,4579
1990-03-09,3519
1990-03-10,4167
1990-03-11,4024
1990-03-12,2940
1990-03-13,2770
1990-03-14,4247
1990-03-15,4116
1990-03-16,3988
1990-03-17,3239
1990-03-18,2346
1990-03-19,1966
1990-03-20,2144
1990-03-21,1959
1990-03-22,2268
1990-03-23,3049
1990-03-24,2768
1990-03-25,2029
1990-03-26,1822
1990-03-27,1490
1990-03-28,2712
1990-03-29,5397
1990-03-30,6358
1990-03-31,2772
1990-04-01,3201
1990-04-02,3033
1990-04-03,2944
1990-04-04,1986
1990-04-05,2969
1990-04-06,3263
1990-04-07,2032
1990-04-08,1567
1990-04-09,1913
1990-04-10,4325
1990-04-11,2541
1990-04-12,1843
1990-04-13,1611
1990-04-14,1014
1990-04-15,1572
1990-04-16,2546
1990-04-17,2698
1990-04-18,1965
1990-04-19,2733
1990-04-20,3399
1990-04-21,1814
1990-04-22,2289
1990-04-23,2013
1990-04-24,2231
1990-04-25,3080
1990-04-26,3302
1990-04-27,2693
1990-04-28,2259
1990-04-29,2909
1990-04-30,2536
1990-05-01,3012
1990-05-02,2667
1990-05-03,3342
1990-05-04,4101
1990-05-05,1990
1990-05-06,1248
1990-05-07,1175
1990-05-08,1773
1990-05-09,3098
1990-05-10,4645
1990-05-11,3744
1990-05-12,2290
1990-05-13,1878
1990-05-14,2188
1990-05-15,3540
1990-05-16,4018
1990-05-17,4839
1990-05-18,3767
1990-05-19,1729
1990-05-20,2825
1990-05-21,2444
1990-05-22,2002
1990-05-23,1574
1990-05-24,2354
1990-05-25,3263
1990-05-26,1268
1990-05-27,1491
1990-05-28,2283
1990-05-29,3405
1990-05-30,1834
1990-05-31,2261
1990-06-01,3257
1990-06-02,2005
1990-06-03,3449
