DATE,num_of_arrival_and_departure_delays
2011-01-01,7542
2011-01-02,11268
2011-01-03,8095
2011-01-04,6742
2011-01-05,4769
2011-01-06,4929
2011-01-07,6687
2011-01-08,4359
2011-01-09,8081
2011-01-10,7633
2011-01-11,8626
2011-01-12,6300
2011-01-13,7130
2011-01-14,5854
2011-01-15,2849
2011-01-16,4263
2011-01-17,8194
2011-01-18,9676
2011-01-19,4830
2011-01-20,5665
2011-01-21,6722
2011-01-22,3309
2011-01-23,3505
2011-01-24,5606
2011-01-25,4824
2011-01-26,4934
2011-01-27,7339
2011-01-28,5961
2011-01-29,2345
2011-01-30,3715
2011-01-31,6451
2011-02-01,5822
2011-02-02,4137
2011-02-03,6756
2011-02-04,8244
2011-02-05,6102
2011-02-06,5666
2011-02-07,7775
2011-02-08,5700
2011-02-09,4720
2011-02-10,5129
2011-02-11,4696
2011-02-12,2365
2011-02-13,3223
2011-02-14,3927
2011-02-15,3219
2011-02-16,4265
2011-02-17,6820
2011-02-18,8574
2011-02-19,6232
2011-02-20,6154
2011-02-21,10552
2011-02-22,7838
2011-02-23,4455
2011-02-24,8483
2011-02-25,11793
2011-02-26,7475
2011-02-27,6832
2011-02-28,10097
2011-03-01,4014
2011-03-02,4657
2011-03-03,4941
2011-03-04,6136
2011-03-05,6140
2011-03-06,8788
2011-03-07,6554
2011-03-08,4038
2011-03-09,7688
2011-03-10,8749
2011-03-11,6144
2011-03-12,3526
2011-03-13,4766
2011-03-14,7117
2011-03-15,5063
2011-03-16,5207
2011-03-17,4782
2011-03-18,6311
2011-03-19,4676
2011-03-20,7683
2011-03-21,8157
2011-03-22,6180
2011-03-23,10135
2011-03-24,8244
2011-03-25,6331
2011-03-26,6289
2011-03-27,7378
2011-03-28,6777
2011-03-29,3842
2011-03-30,5930
2011-03-31,9250
2011-04-01,7697
2011-04-02,4629
2011-04-03,6182
2011-04-04,10018
2011-04-05,7881
2011-04-06,4601
2011-04-07,8429
2011-04-08,8285
2011-04-09,4632
2011-04-10,3698
2011-04-11,5991
2011-04-12,5583
2011-04-13,5972
2011-04-14,5928
2011-04-15,9698
2011-04-16,6395
2011-04-17,6905
2011-04-18,7384
