DATE,num_of_arrival_delays
2015-01-01,2987
2015-01-02,4568
2015-01-03,6805
2015-01-04,7833
2015-01-05,5634
2015-01-06,5515
2015-01-07,4355
2015-01-08,3787
2015-01-09,4269
2015-01-10,2002
2015-01-11,3678
2015-01-12,5440
2015-01-13,2736
2015-01-14,1911
2015-01-15,2650
2015-01-16,2312
2015-01-17,1009
2015-01-18,1832
2015-01-19,1756
2015-01-20,1773
2015-01-21,2680
2015-01-22,2432
2015-01-23,2348
2015-01-24,1749
2015-01-25,2159
2015-01-26,2570
2015-01-27,874
2015-01-28,1430
2015-01-29,2132
2015-01-30,3444
2015-01-31,1281
2015-02-01,2478
2015-02-02,3784
2015-02-03,3275
2015-02-04,3484
2015-02-05,4467
2015-02-06,2112
2015-02-07,1040
2015-02-08,2504
2015-02-09,2998
2015-02-10,1863
2015-02-11,1787
2015-02-12,3068
2015-02-13,3171
2015-02-14,2504
2015-02-15,2920
2015-02-16,5175
2015-02-17,4974
2015-02-18,3841
2015-02-19,3726
2015-02-20,3946
2015-02-21,3076
2015-02-22,4776
2015-02-23,4022
2015-02-24,3856
2015-02-25,3637
2015-02-26,5790
2015-02-27,4011
2015-02-28,2894
2015-03-01,5582
2015-03-02,5523
2015-03-03,5587
2015-03-04,3822
2015-03-05,4261
2015-03-06,4704
2015-03-07,2066
2015-03-08,2738
2015-03-09,2560
2015-03-10,2256
2015-03-11,2672
2015-03-12,3087
2015-03-13,2985
2015-03-14,2295
2015-03-15,2842
2015-03-16,1765
2015-03-17,2231
2015-03-18,2293
2015-03-19,2273
2015-03-20,3929
2015-03-21,2297
2015-03-22,2642
2015-03-23,3906
2015-03-24,1949
2015-03-25,2988
2015-03-26,3941
2015-03-27,4013
2015-03-28,1862
2015-03-29,2089
2015-03-30,2425
2015-03-31,1869
2015-04-01,2337
2015-04-02,3662
2015-04-03,3113
2015-04-04,1811
2015-04-05,2025
2015-04-06,2090
2015-04-07,2601
2015-04-08,3774
2015-04-09,4982
2015-04-10,5207
2015-04-11,1543
2015-04-12,2134
2015-04-13,3749
2015-04-14,2223
2015-04-15,2289
2015-04-16,3671
2015-04-17,3210
2015-04-18,1644
2015-04-19,2635
2015-04-20,4013
2015-04-21,2069
2015-04-22,2100
2015-04-23,2617
2015-04-24,4123
2015-04-25,2641
2015-04-26,2192
2015-04-27,2819
2015-04-28,1701
2015-04-29,1343
2015-04-30,1929
2015-05-01,1614
2015-05-02,1017
2015-05-03,2058
2015-05-04,2378
2015-05-05,2020
2015-05-06,2338
2015-05-07,2507
2015-05-08,3689
2015-05-09,2610
2015-05-10,3684
2015-05-11,4445
2015-05-12,2229
2015-05-13,2413
2015-05-14,2460
2015-05-15,3115
2015-05-16,1688
2015-05-17,3272
2015-05-18,5327
2015-05-19,3907
2015-05-20,3088
2015-05-21,3488
2015-05-22,2561
2015-05-23,1698
2015-05-24,1460
2015-05-25,2824
2015-05-26,4265
2015-05-27,4680
2015-05-28,3543
2015-05-29,3163
2015-05-30,2138
2015-05-31,3966
2015-06-01,4260
2015-06-02,3218
2015-06-03,2395
2015-06-04,2472
2015-06-05,3309
2015-06-06,1400
2015-06-07,3136
2015-06-08,3772
2015-06-09,4079
2015-06-10,3914
2015-06-11,4396
2015-06-12,4611
2015-06-13,2991
2015-06-14,4033
2015-06-15,5147
2015-06-16,5049
2015-06-17,5024
2015-06-18,6067
2015-06-19,3969
2015-06-20,3235
2015-06-21,3688
2015-06-22,3977
2015-06-23,4055
2015-06-24,3971
2015-06-25,4121
2015-06-26,4632
2015-06-27,4007
2015-06-28,3640
2015-06-29,2978
2015-06-30,4196
2015-07-01,4514
2015-07-02,4083
2015-07-03,2423
2015-07-04,985
2015-07-05,2571
2015-07-06,4294
2015-07-07,4190
2015-07-08,5258
2015-07-09,3883
2015-07-10,2778
2015-07-11,1729
2015-07-12,2453
2015-07-13,4907
2015-07-14,5138
2015-07-15,4924
2015-07-16,3027
2015-07-17,3169
