DATE,num_of_departure_delays
1992-01-01,1049
1992-01-02,1412
1992-01-03,2099
1992-01-04,2118
1992-01-05,1742
1992-01-06,2006
1992-01-07,1378
1992-01-08,1538
1992-01-09,858
1992-01-10,1122
1992-01-11,504
1992-01-12,1439
1992-01-13,2058
1992-01-14,2633
1992-01-15,2845
1992-01-16,1952
1992-01-17,2434
1992-01-18,2152
1992-01-19,1142
1992-01-20,956
1992-01-21,1014
1992-01-22,783
1992-01-23,2570
1992-01-24,1559
1992-01-25,1555
1992-01-26,902
1992-01-27,1546
1992-01-28,1544
1992-01-29,1014
1992-01-30,871
1992-01-31,1087
1992-02-01,667
1992-02-02,703
1992-02-03,636
1992-02-04,616
1992-02-05,1289
1992-02-06,1262
1992-02-07,1298
1992-02-08,1044
1992-02-09,1333
1992-02-10,1215
1992-02-11,1101
1992-02-12,2079
1992-02-13,2941
1992-02-14,3531
1992-02-15,2414
1992-02-16,1168
1992-02-17,1264
1992-02-18,2486
1992-02-19,1805
1992-02-20,781
1992-02-21,1154
1992-02-22,1363
1992-02-23,1773
1992-02-24,1545
1992-02-25,1628
1992-02-26,1110
1992-02-27,808
1992-02-28,896
1992-02-29,883
1992-03-01,1193
1992-03-02,1111
1992-03-03,2041
1992-03-04,1746
1992-03-05,1774
1992-03-06,3236
1992-03-07,2363
1992-03-08,1608
1992-03-09,1613
1992-03-10,2540
1992-03-11,1915
1992-03-12,1255
1992-03-13,1286
1992-03-14,1323
1992-03-15,1140
1992-03-16,706
1992-03-17,1054
1992-03-18,1771
1992-03-19,3008
1992-03-20,2016
1992-03-21,1860
1992-03-22,3743
1992-03-23,1445
1992-03-24,1361
1992-03-25,1243
1992-03-26,1659
1992-03-27,1577
1992-03-28,1336
1992-03-29,1522
1992-03-30,1291
1992-03-31,974
1992-04-01,1058
1992-04-02,846
1992-04-03,976
1992-04-04,599
1992-04-05,953
1992-04-06,562
1992-04-07,1154
1992-04-08,789
1992-04-09,720
1992-04-10,1162
1992-04-11,1162
1992-04-12,1380
1992-04-13,579
1992-04-14,617
1992-04-15,1719
1992-04-16,2297
1992-04-17,1976
1992-04-18,971
1992-04-19,1334
1992-04-20,1610
1992-04-21,1781
1992-04-22,991
1992-04-23,1110
1992-04-24,1731
