DATE,num_of_arrival_delays
2012-01-01,2106
2012-01-02,3658
2012-01-03,2591
2012-01-04,1691
2012-01-05,1320
2012-01-06,1071
2012-01-07,969
2012-01-08,1714
2012-01-09,2343
2012-01-10,1255
2012-01-11,2226
2012-01-12,3328
2012-01-13,3115
2012-01-14,1168
2012-01-15,1268
2012-01-16,2090
2012-01-17,2759
2012-01-18,2173
2012-01-19,2487
2012-01-20,3467
2012-01-21,4574
2012-01-22,4052
2012-01-23,5108
2012-01-24,2005
2012-01-25,2586
2012-01-26,2861
2012-01-27,2713
2012-01-28,821
2012-01-29,1298
2012-01-30,1245
2012-01-31,846
2012-02-01,1317
2012-02-02,1565
2012-02-03,2365
2012-02-04,1355
2012-02-05,942
2012-02-06,1364
2012-02-07,1223
2012-02-08,1303
2012-02-09,1112
2012-02-10,2552
2012-02-11,1942
2012-02-12,1592
2012-02-13,2057
2012-02-14,1196
2012-02-15,2007
2012-02-16,2904
2012-02-17,2567
2012-02-18,2082
2012-02-19,1646
2012-02-20,2040
2012-02-21,2055
2012-02-22,2633
2012-02-23,2558
2012-02-24,5891
2012-02-25,2104
2012-02-26,1723
2012-02-27,1815
2012-02-28,1637
2012-02-29,3440
2012-03-01,3727
2012-03-02,4274
2012-03-03,2820
2012-03-04,2623
2012-03-05,1796
2012-03-06,1734
2012-03-07,2384
2012-03-08,3542
2012-03-09,3623
2012-03-10,2037
2012-03-11,2888
2012-03-12,2935
2012-03-13,2592
2012-03-14,2279
2012-03-15,4007
2012-03-16,3517
2012-03-17,2114
2012-03-18,2372
2012-03-19,3693
2012-03-20,3745
2012-03-21,2727
2012-03-22,3067
2012-03-23,2874
2012-03-24,1959
2012-03-25,2147
2012-03-26,2092
2012-03-27,1620
2012-03-28,2035
2012-03-29,2374
2012-03-30,3757
2012-03-31,3122
2012-04-01,2653
2012-04-02,2913
2012-04-03,3045
2012-04-04,2120
2012-04-05,2260
2012-04-06,1758
2012-04-07,918
2012-04-08,2046
2012-04-09,2462
2012-04-10,1895
2012-04-11,1595
2012-04-12,1891
2012-04-13,2239
2012-04-14,1320
2012-04-15,3665
2012-04-16,2490
2012-04-17,1464
2012-04-18,1430
2012-04-19,1835
2012-04-20,3763
2012-04-21,1526
2012-04-22,2704
2012-04-23,2709
2012-04-24,1361
2012-04-25,1369
2012-04-26,2779
2012-04-27,2676
2012-04-28,1089
2012-04-29,1667
2012-04-30,1997
2012-05-01,2046
2012-05-02,1633
2012-05-03,3427
2012-05-04,3331
2012-05-05,1537
2012-05-06,3352
2012-05-07,3375
2012-05-08,2252
2012-05-09,2472
2012-05-10,2418
2012-05-11,2892
2012-05-12,1094
2012-05-13,1858
2012-05-14,2157
2012-05-15,2600
2012-05-16,2154
2012-05-17,2411
2012-05-18,2285
2012-05-19,1296
2012-05-20,2421
2012-05-21,4230
2012-05-22,3737
2012-05-23,2914
2012-05-24,4076
2012-05-25,2878
2012-05-26,1415
2012-05-27,1069
2012-05-28,1852
2012-05-29,3981
2012-05-30,3192
2012-05-31,4098
2012-06-01,3187
2012-06-02,2023
2012-06-03,2725
2012-06-04,3286
2012-06-05,2210
2012-06-06,2670
2012-06-07,3890
2012-06-08,2820
2012-06-09,1669
2012-06-10,3015
2012-06-11,3322
2012-06-12,4050
2012-06-13,3882
2012-06-14,4154
2012-06-15,4210
2012-06-16,2571
2012-06-17,2441
2012-06-18,3338
2012-06-19,2612
2012-06-20,2890
2012-06-21,3042
2012-06-22,4187
2012-06-23,2671
2012-06-24,3107
2012-06-25,4241
2012-06-26,3259
2012-06-27,2657
2012-06-28,2632
2012-06-29,4905
2012-06-30,3018
2012-07-01,5233
2012-07-02,2659
2012-07-03,2788
2012-07-04,1007
2012-07-05,2413
2012-07-06,1983
2012-07-07,2417
2012-07-08,4323
2012-07-09,4899
2012-07-10,4144
2012-07-11,3575
2012-07-12,4245
2012-07-13,5764
2012-07-14,3489
2012-07-15,4904
2012-07-16,4535
2012-07-17,3355
2012-07-18,5345
2012-07-19,5937
2012-07-20,5388
2012-07-21,2946
2012-07-22,3066
2012-07-23,3910
2012-07-24,4859
2012-07-25,2947
2012-07-26,5780
2012-07-27,5113
