DATE,num_of_arrival_delays
2010-01-01,2682
2010-01-02,5146
2010-01-03,5857
2010-01-04,4975
2010-01-05,3701
2010-01-06,3250
2010-01-07,5090
2010-01-08,5489
2010-01-09,2084
2010-01-10,2582
2010-01-11,2685
2010-01-12,2420
2010-01-13,1463
2010-01-14,1863
2010-01-15,2338
2010-01-16,1493
2010-01-17,2750
2010-01-18,3745
2010-01-19,2198
2010-01-20,2655
2010-01-21,4613
2010-01-22,4058
2010-01-23,1900
2010-01-24,3292
2010-01-25,3914
2010-01-26,1465
2010-01-27,2080
2010-01-28,3258
2010-01-29,3424
2010-01-30,2148
2010-01-31,2310
2010-02-01,2110
2010-02-02,2110
2010-02-03,2006
2010-02-04,2871
2010-02-05,4754
2010-02-06,1773
2010-02-07,1936
2010-02-08,4711
2010-02-09,4123
2010-02-10,2433
2010-02-11,4292
2010-02-12,5925
2010-02-13,3802
2010-02-14,2686
2010-02-15,3946
2010-02-16,4284
2010-02-17,2464
2010-02-18,2529
2010-02-19,2770
2010-02-20,2070
2010-02-21,4434
2010-02-22,4965
2010-02-23,3469
2010-02-24,5828
2010-02-25,3338
2010-02-26,4182
2010-02-27,2985
2010-02-28,2225
2010-03-01,2713
2010-03-02,2504
2010-03-03,2151
2010-03-04,1794
2010-03-05,1976
2010-03-06,1197
2010-03-07,3157
2010-03-08,3664
2010-03-09,2226
2010-03-10,4515
2010-03-11,5719
2010-03-12,6901
2010-03-13,3836
2010-03-14,4545
2010-03-15,4372
2010-03-16,1969
2010-03-17,1812
2010-03-18,1768
2010-03-19,2854
2010-03-20,3983
2010-03-21,4750
2010-03-22,3972
2010-03-23,2359
2010-03-24,3506
2010-03-25,3525
2010-03-26,3607
2010-03-27,2061
2010-03-28,3306
2010-03-29,4067
2010-03-30,3141
2010-03-31,2584
2010-04-01,1956
2010-04-02,2608
2010-04-03,1447
2010-04-04,2523
2010-04-05,2632
2010-04-06,3155
2010-04-07,4221
2010-04-08,3770
2010-04-09,2187
2010-04-10,1459
2010-04-11,2730
2010-04-12,2640
2010-04-13,1964
2010-04-14,1382
2010-04-15,1619
2010-04-16,1886
2010-04-17,1030
2010-04-18,2031
2010-04-19,1308
2010-04-20,1540
2010-04-21,2039
2010-04-22,3407
2010-04-23,2744
2010-04-24,3516
2010-04-25,3872
2010-04-26,3418
2010-04-27,2152
2010-04-28,2145
2010-04-29,2830
2010-04-30,2973
2010-05-01,2177
2010-05-02,3875
2010-05-03,4457
2010-05-04,2191
2010-05-05,1716
2010-05-06,2090
2010-05-07,3770
2010-05-08,2086
2010-05-09,2884
2010-05-10,3459
2010-05-11,3495
2010-05-12,4853
2010-05-13,5086
2010-05-14,5040
2010-05-15,2651
2010-05-16,2548
2010-05-17,3618
2010-05-18,3206
2010-05-19,2426
2010-05-20,3229
2010-05-21,5279
2010-05-22,2021
2010-05-23,2930
2010-05-24,3570
2010-05-25,2737
2010-05-26,3334
2010-05-27,4193
2010-05-28,4245
2010-05-29,1735
2010-05-30,1261
2010-05-31,4521
2010-06-01,4399
2010-06-02,4939
2010-06-03,4040
2010-06-04,3525
2010-06-05,1983
2010-06-06,4195
2010-06-07,2964
2010-06-08,2898
2010-06-09,4207
2010-06-10,4263
2010-06-11,4590
2010-06-12,3947
2010-06-13,4951
2010-06-14,4194
2010-06-15,4430
2010-06-16,4234
2010-06-17,3214
2010-06-18,4094
2010-06-19,3290
2010-06-20,2402
2010-06-21,4085
2010-06-22,3222
2010-06-23,4942
2010-06-24,6099
2010-06-25,4643
2010-06-26,2540
2010-06-27,4630
2010-06-28,5205
2010-06-29,4083
2010-06-30,3799
2010-07-01,3564
2010-07-02,4337
2010-07-03,2296
2010-07-04,1323
2010-07-05,2146
2010-07-06,3383
2010-07-07,3623
2010-07-08,4681
2010-07-09,4455
2010-07-10,3367
2010-07-11,3494
2010-07-12,4692
2010-07-13,5290
2010-07-14,4344
2010-07-15,4057
2010-07-16,4757
2010-07-17,2550
2010-07-18,4851
2010-07-19,5017
2010-07-20,3805
2010-07-21,4231
2010-07-22,4562
2010-07-23,5024
2010-07-24,4288
2010-07-25,4050
2010-07-26,4211
2010-07-27,4067
2010-07-28,4420
2010-07-29,5426
2010-07-30,3667
2010-07-31,2922
2010-08-01,4102
2010-08-02,3032
2010-08-03,3242
2010-08-04,5304
2010-08-05,5057
2010-08-06,4608
2010-08-07,2661
2010-08-08,3402
2010-08-09,3619
2010-08-10,2987
2010-08-11,3970
2010-08-12,4947
2010-08-13,4171
2010-08-14,2871
2010-08-15,3307
2010-08-16,4347
2010-08-17,2640
2010-08-18,3107
2010-08-19,3115
2010-08-20,3259
2010-08-21,2349
2010-08-22,3264
2010-08-23,3178
2010-08-24,2889
2010-08-25,2218
2010-08-26,2169
2010-08-27,1757
2010-08-28,1300
2010-08-29,1605
2010-08-30,1627
2010-08-31,1493
2010-09-01,1872
2010-09-02,2965
2010-09-03,2861
2010-09-04,1236
2010-09-05,744
2010-09-06,2141
2010-09-07,3655
2010-09-08,3199
2010-09-09,1797
2010-09-10,1609
2010-09-11,1085
2010-09-12,2191
2010-09-13,2192
2010-09-14,1631
2010-09-15,1966
2010-09-16,3566
2010-09-17,2824
2010-09-18,1949
2010-09-19,2305
2010-09-20,1898
2010-09-21,2351
2010-09-22,3091
2010-09-23,2415
2010-09-24,3058
2010-09-25,1660
2010-09-26,3420
2010-09-27,4559
2010-09-28,2949
2010-09-29,1854
2010-09-30,3695
2010-10-01,3511
2010-10-02,1343
2010-10-03,2530
2010-10-04,4085
2010-10-05,2895
2010-10-06,2060
2010-10-07,2115
2010-10-08,1746
2010-10-09,975
2010-10-10,1474
2010-10-11,2895
2010-10-12,1920
2010-10-13,2177
2010-10-14,2928
2010-10-15,2933
2010-10-16,1274
2010-10-17,2466
2010-10-18,2063
2010-10-19,2084
2010-10-20,2599
2010-10-21,3035
2010-10-22,2813
2010-10-23,2275
2010-10-24,3194
2010-10-25,5576
2010-10-26,5011
2010-10-27,5484
2010-10-28,3265
2010-10-29,2311
2010-10-30,1760
2010-10-31,1594
2010-11-01,2135
2010-11-02,2687
2010-11-03,2217
2010-11-04,4086
2010-11-05,3087
2010-11-06,1535
2010-11-07,2199
2010-11-08,2788
2010-11-09,1599
2010-11-10,1653
2010-11-11,2079
2010-11-12,2501
2010-11-13,1621
2010-11-14,2258
2010-11-15,3427
2010-11-16,2921
2010-11-17,2541
2010-11-18,2707
2010-11-19,2795
2010-11-20,2619
2010-11-21,3942
2010-11-22,4783
2010-11-23,3986
2010-11-24,4199
2010-11-25,1254
2010-11-26,1176
2010-11-27,2052
2010-11-28,2614
2010-11-29,4392
2010-11-30,5285
2010-12-01,4492
2010-12-02,2045
