DATE,num_of_departure_delays
1991-01-01,1270
1991-01-02,4225
1991-01-03,4258
1991-01-04,3712
1991-01-05,4479
1991-01-06,3728
1991-01-07,3402
1991-01-08,3180
1991-01-09,5313
1991-01-10,4682
1991-01-11,4628
1991-01-12,1886
1991-01-13,1487
1991-01-14,1289
1991-01-15,2339
1991-01-16,3218
1991-01-17,1675
1991-01-18,2233
1991-01-19,1056
1991-01-20,1144
1991-01-21,1660
1991-01-22,791
1991-01-23,999
1991-01-24,1512
1991-01-25,1299
1991-01-26,1196
1991-01-27,1034
1991-01-28,1327
1991-01-29,1682
1991-01-30,2491
1991-01-31,1452
1991-02-01,1070
1991-02-02,1366
1991-02-03,1324
1991-02-04,1254
1991-02-05,1410
1991-02-06,3274
1991-02-07,2585
1991-02-08,2020
1991-02-09,1285
1991-02-10,1025
1991-02-11,684
1991-02-12,722
1991-02-13,1456
1991-02-14,3411
1991-02-15,3046
1991-02-16,1437
1991-02-17,1248
1991-02-18,2162
1991-02-19,2236
1991-02-20,1259
1991-02-21,1380
1991-02-22,1713
1991-02-23,1096
1991-02-24,1483
1991-02-25,902
1991-02-26,1175
1991-02-27,1535
1991-02-28,2368
1991-03-01,2799
1991-03-02,2376
1991-03-03,2710
1991-03-04,1888
1991-03-05,1142
1991-03-06,1109
1991-03-07,1230
1991-03-08,1285
1991-03-09,839
1991-03-10,1573
1991-03-11,902
1991-03-12,1900
1991-03-13,2749
1991-03-14,2014
1991-03-15,1831
1991-03-16,1856
1991-03-17,1998
1991-03-18,1525
1991-03-19,1174
1991-03-20,1338
1991-03-21,1635
1991-03-22,2511
1991-03-23,2313
1991-03-24,1700
1991-03-25,1225
1991-03-26,1590
1991-03-27,2967
1991-03-28,2875
1991-03-29,2469
1991-03-30,868
1991-03-31,1108
1991-04-01,1234
1991-04-02,775
1991-04-03,629
1991-04-04,1252
1991-04-05,1253
1991-04-06,980
1991-04-07,1421
1991-04-08,1497
1991-04-09,2069
1991-04-10,1407
1991-04-11,1961
1991-04-12,2143
1991-04-13,1993
1991-04-14,2052
1991-04-15,1905
1991-04-16,769
1991-04-17,1686
1991-04-18,1860
1991-04-19,2156
1991-04-20,1168
1991-04-21,2264
1991-04-22,1037
1991-04-23,1410
1991-04-24,1594
1991-04-25,1608
1991-04-26,1108
1991-04-27,983
1991-04-28,2174
1991-04-29,1676
1991-04-30,1709
1991-05-01,1551
1991-05-02,1569
1991-05-03,2127
1991-05-04,1704
1991-05-05,1648
1991-05-06,1776
1991-05-07,629
1991-05-08,1105
1991-05-09,1087
1991-05-10,1318
1991-05-11,659
1991-05-12,1026
1991-05-13,1322
1991-05-14,1961
1991-05-15,1456
1991-05-16,2395
1991-05-17,3483
1991-05-18,1307
1991-05-19,1438
1991-05-20,737
1991-05-21,617
1991-05-22,1405
1991-05-23,2178
1991-05-24,2300
1991-05-25,955
1991-05-26,327
1991-05-27,758
1991-05-28,1225
1991-05-29,1349
1991-05-30,1706
1991-05-31,2367
1991-06-01,1554
1991-06-02,1635
1991-06-03,1252
1991-06-04,749
1991-06-05,1294
1991-06-06,1106
1991-06-07,1239
1991-06-08,599
1991-06-09,952
1991-06-10,1027
1991-06-11,890
1991-06-12,1351
1991-06-13,1579
1991-06-14,1228
1991-06-15,1415
1991-06-16,2111
1991-06-17,1103
1991-06-18,1717
1991-06-19,1809
1991-06-20,1218
1991-06-21,1642
1991-06-22,1666
1991-06-23,1496
1991-06-24,1472
1991-06-25,1275
1991-06-26,1236
1991-06-27,1288
1991-06-28,1764
1991-06-29,996
1991-06-30,1457
1991-07-01,1228
1991-07-02,1707
1991-07-03,2218
1991-07-04,661
1991-07-05,701
1991-07-06,667
1991-07-07,3132
1991-07-08,2620
1991-07-09,1297
1991-07-10,944
1991-07-11,840
1991-07-12,1120
1991-07-13,1320
1991-07-14,1063
1991-07-15,860
1991-07-16,962
1991-07-17,1076
1991-07-18,1083
1991-07-19,1551
1991-07-20,755
1991-07-21,1704
1991-07-22,1676
1991-07-23,2316
1991-07-24,2001
1991-07-25,2069
1991-07-26,2819
1991-07-27,1583
1991-07-28,1123
1991-07-29,1301
1991-07-30,1129
1991-07-31,1181
1991-08-01,1763
1991-08-02,1555
1991-08-03,1404
1991-08-04,1364
1991-08-05,1348
1991-08-06,1068
1991-08-07,1185
1991-08-08,2757
1991-08-09,2805
1991-08-10,1182
1991-08-11,1029
1991-08-12,1767
1991-08-13,1290
1991-08-14,1710
1991-08-15,2079
1991-08-16,1507
1991-08-17,1461
1991-08-18,1923
1991-08-19,2118
1991-08-20,2793
1991-08-21,1602
1991-08-22,1296
1991-08-23,1389
1991-08-24,809
1991-08-25,1100
1991-08-26,882
1991-08-27,834
1991-08-28,873
1991-08-29,1517
1991-08-30,1887
1991-08-31,816
1991-09-01,383
1991-09-02,1053
1991-09-03,1723
1991-09-04,716
1991-09-05,777
1991-09-06,656
1991-09-07,679
1991-09-08,515
1991-09-09,710
1991-09-10,511
1991-09-11,592
1991-09-12,1188
1991-09-13,986
1991-09-14,720
1991-09-15,913
1991-09-16,967
1991-09-17,1376
1991-09-18,2045
1991-09-19,1970
1991-09-20,1191
1991-09-21,446
1991-09-22,852
1991-09-23,686
1991-09-24,1095
1991-09-25,2003
1991-09-26,1298
1991-09-27,725
1991-09-28,488
1991-09-29,778
1991-09-30,770
1991-10-01,606
1991-10-02,736
1991-10-03,706
1991-10-04,1844
1991-10-05,1161
1991-10-06,1091
1991-10-07,554
1991-10-08,580
1991-10-09,785
1991-10-10,747
1991-10-11,1469
1991-10-12,576
1991-10-13,601
1991-10-14,829
1991-10-15,1431
1991-10-16,976
1991-10-17,1584
1991-10-18,1289
1991-10-19,637
1991-10-20,1349
1991-10-21,436
1991-10-22,760
1991-10-23,1192
1991-10-24,2481
1991-10-25,2460
1991-10-26,2378
1991-10-27,2494
1991-10-28,3223
1991-10-29,2439
1991-10-30,2264
1991-10-31,3080
1991-11-01,2995
1991-11-02,1534
1991-11-03,1228
1991-11-04,1040
1991-11-05,1135
1991-11-06,1378
1991-11-07,1797
1991-11-08,1638
1991-11-09,956
1991-11-10,1498
1991-11-11,1321
1991-11-12,887
1991-11-13,853
1991-11-14,1201
1991-11-15,1608
1991-11-16,1500
1991-11-17,1868
1991-11-18,865
1991-11-19,1838
1991-11-20,835
1991-11-21,1070
1991-11-22,3340
1991-11-23,1579
1991-11-24,876
1991-11-25,567
1991-11-26,1334
1991-11-27,1792
1991-11-28,910
1991-11-29,667
1991-11-30,1620
1991-12-01,2606
1991-12-02,3150
1991-12-03,4613
1991-12-04,1918
1991-12-05,1286
1991-12-06,1649
1991-12-07,651
1991-12-08,933
1991-12-09,602
1991-12-10,1076
1991-12-11,1957
1991-12-12,2069
1991-12-13,1413
1991-12-14,1161
1991-12-15,1081
1991-12-16,872
1991-12-17,1357
1991-12-18,3020
1991-12-19,3987
1991-12-20,4736
1991-12-21,4335
1991-12-22,3503
1991-12-23,1970
1991-12-24,535
1991-12-25,360
1991-12-26,1190
1991-12-27,1675
1991-12-28,1712
1991-12-29,2820
1991-12-30,1458
1991-12-31,1110
