DATE,num_of_arrival_and_departure_delays
1995-01-01,4527
1995-01-02,6454
1995-01-03,9041
1995-01-04,10868
1995-01-05,6754
1995-01-06,10691
1995-01-07,7138
1995-01-08,6077
1995-01-09,5388
1995-01-10,6035
1995-01-11,6407
1995-01-12,11454
1995-01-13,7948
1995-01-14,5868
1995-01-15,5780
1995-01-16,5141
1995-01-17,3673
1995-01-18,6098
1995-01-19,8048
1995-01-20,7189
1995-01-21,3626
1995-01-22,7810
1995-01-23,4944
1995-01-24,3151
1995-01-25,3227
1995-01-26,6691
1995-01-27,6450
1995-01-28,4231
1995-01-29,4220
1995-01-30,4160
1995-01-31,2493
1995-02-01,2291
1995-02-02,2309
1995-02-03,4626
1995-02-04,4317
1995-02-05,5044
1995-02-06,3882
1995-02-07,3943
1995-02-08,3259
1995-02-09,2971
1995-02-10,7158
1995-02-11,6444
1995-02-12,5514
1995-02-13,6384
1995-02-14,6830
1995-02-15,12271
1995-02-16,7195
1995-02-17,6128
1995-02-18,3085
1995-02-19,3707
1995-02-20,3619
1995-02-21,3920
1995-02-22,2588
1995-02-23,3612
1995-02-24,5100
1995-02-25,3110
1995-02-26,5140
1995-02-27,6921
1995-02-28,7611
1995-03-01,5932
1995-03-02,6178
1995-03-03,6954
1995-03-04,4973
1995-03-05,9511
1995-03-06,7619
1995-03-07,8711
1995-03-08,7761
1995-03-09,5546
1995-03-10,6130
1995-03-11,4972
1995-03-12,4417
1995-03-13,5172
1995-03-14,4110
1995-03-15,4235
1995-03-16,4113
1995-03-17,5252
1995-03-18,3611
1995-03-19,3804
1995-03-20,4722
1995-03-21,3006
1995-03-22,3918
1995-03-23,4554
1995-03-24,4195
1995-03-25,4194
1995-03-26,5283
1995-03-27,3929
1995-03-28,3221
1995-03-29,3668
1995-03-30,2803
1995-03-31,3563
1995-04-01,2900
1995-04-02,3156
1995-04-03,2250
1995-04-04,4217
1995-04-05,4858
1995-04-06,4401
1995-04-07,4682
1995-04-08,3858
1995-04-09,6822
1995-04-10,8274
1995-04-11,5584
1995-04-12,5563
1995-04-13,4318
1995-04-14,2909
1995-04-15,1639
1995-04-16,2933
1995-04-17,4454
1995-04-18,6560
1995-04-19,6569
1995-04-20,6267
1995-04-21,5656
1995-04-22,5748
1995-04-23,5059
1995-04-24,3360
1995-04-25,2166
1995-04-26,3587
1995-04-27,3290
1995-04-28,3165
1995-04-29,2931
1995-04-30,5141
1995-05-01,4531
1995-05-02,2324
1995-05-03,2452
1995-05-04,4487
1995-05-05,4775
1995-05-06,2986
1995-05-07,5971
1995-05-08,4831
1995-05-09,3133
1995-05-10,6903
1995-05-11,5013
1995-05-12,4733
1995-05-13,4151
1995-05-14,3447
1995-05-15,4342
1995-05-16,4244
1995-05-17,6905
1995-05-18,7124
1995-05-19,5908
1995-05-20,2452
1995-05-21,3336
1995-05-22,2777
1995-05-23,4446
1995-05-24,5350
1995-05-25,9568
1995-05-26,5950
1995-05-27,2930
1995-05-28,1512
1995-05-29,3367
1995-05-30,3861
1995-05-31,3569
1995-06-01,4216
1995-06-02,7650
1995-06-03,3917
1995-06-04,3973
1995-06-05,3650
1995-06-06,4707
1995-06-07,5135
1995-06-08,5934
1995-06-09,5161
1995-06-10,5112
1995-06-11,5983
1995-06-12,4462
1995-06-13,3013
1995-06-14,4709
1995-06-15,4967
1995-06-16,6115
1995-06-17,3967
1995-06-18,3612
1995-06-19,3572
1995-06-20,3875
1995-06-21,6345
1995-06-22,6202
1995-06-23,7227
1995-06-24,6066
1995-06-25,8606
1995-06-26,9413
1995-06-27,8297
1995-06-28,8846
1995-06-29,9222
1995-06-30,9317
1995-07-01,6336
1995-07-02,2490
1995-07-03,1584
1995-07-04,4184
1995-07-05,7912
1995-07-06,4983
1995-07-07,3800
1995-07-08,3751
1995-07-09,4563
1995-07-10,3141
1995-07-11,3924
1995-07-12,3704
1995-07-13,3977
1995-07-14,5013
1995-07-15,5524
1995-07-16,6021
1995-07-17,6008
1995-07-18,3623
1995-07-19,3304
1995-07-20,5717
1995-07-21,6360
1995-07-22,5034
1995-07-23,6886
1995-07-24,5229
1995-07-25,4018
1995-07-26,5981
1995-07-27,5556
1995-07-28,6369
1995-07-29,4542
1995-07-30,4951
1995-07-31,5197
1995-08-01,5099
1995-08-02,5833
1995-08-03,7817
1995-08-04,7596
1995-08-05,5009
1995-08-06,6086
1995-08-07,4985
1995-08-08,5777
1995-08-09,7424
1995-08-10,5518
1995-08-11,5547
1995-08-12,4109
1995-08-13,4957
1995-08-14,4671
1995-08-15,6076
1995-08-16,6048
1995-08-17,5860
1995-08-18,4486
1995-08-19,5117
1995-08-20,5177
1995-08-21,3575
1995-08-22,3028
1995-08-23,3452
1995-08-24,3459
1995-08-25,3721
1995-08-26,2783
1995-08-27,4505
1995-08-28,4827
1995-08-29,2293
1995-08-30,3489
1995-08-31,3527
1995-09-01,5415
1995-09-02,1670
1995-09-03,1015
1995-09-04,1899
1995-09-05,2143
1995-09-06,1966
1995-09-07,4379
1995-09-08,4494
1995-09-09,2225
1995-09-10,2968
1995-09-11,2153
1995-09-12,2827
1995-09-13,2947
1995-09-14,3808
1995-09-15,3425
1995-09-16,2507
1995-09-17,5066
1995-09-18,2444
1995-09-19,3302
1995-09-20,4218
1995-09-21,6875
1995-09-22,6904
1995-09-23,3071
1995-09-24,3371
1995-09-25,3257
1995-09-26,2480
1995-09-27,2654
1995-09-28,3276
1995-09-29,3757
1995-09-30,1970
1995-10-01,2772
1995-10-02,4262
1995-10-03,3069
1995-10-04,4829
1995-10-05,9431
1995-10-06,5829
1995-10-07,2972
1995-10-08,3261
1995-10-09,2525
1995-10-10,2398
1995-10-11,3194
1995-10-12,3172
1995-10-13,5157
1995-10-14,4164
1995-10-15,5357
1995-10-16,2996
1995-10-17,4002
1995-10-18,3435
1995-10-19,3772
1995-10-20,9182
1995-10-21,4496
1995-10-22,5295
1995-10-23,3587
1995-10-24,2333
1995-10-25,2730
1995-10-26,3347
1995-10-27,8499
1995-10-28,3089
1995-10-29,4602
1995-10-30,4266
1995-10-31,4515
1995-11-01,9576
1995-11-02,8420
1995-11-03,5507
1995-11-04,2547
1995-11-05,4191
1995-11-06,5261
1995-11-07,6266
1995-11-08,3648
1995-11-09,5695
1995-11-10,7894
1995-11-11,6744
1995-11-12,6006
1995-11-13,4294
1995-11-14,5928
1995-11-15,4816
1995-11-16,5667
1995-11-17,7849
1995-11-18,4856
1995-11-19,4628
1995-11-20,4069
1995-11-21,6114
1995-11-22,4606
1995-11-23,1419
1995-11-24,1653
1995-11-25,2689
1995-11-26,4057
1995-11-27,9448
1995-11-28,7460
1995-11-29,5622
1995-11-30,3078
1995-12-01,5134
1995-12-02,2096
1995-12-03,3010
1995-12-04,3225
1995-12-05,3983
1995-12-06,4958
1995-12-07,4991
1995-12-08,8482
1995-12-09,8105
1995-12-10,6487
1995-12-11,6040
1995-12-12,6723
1995-12-13,8774
1995-12-14,9982
1995-12-15,10065
1995-12-16,7241
1995-12-17,7384
1995-12-18,9855
1995-12-19,11342
1995-12-20,14629
1995-12-21,17308
1995-12-22,15830
1995-12-23,11251
1995-12-24,3620
1995-12-25,3966
1995-12-26,8981
1995-12-27,9088
1995-12-28,7130
1995-12-29,5888
1995-12-30,8132
1995-12-31,7416
