DATE,num_of_arrival_and_departure_delays
1992-11-14,1581
1992-11-15,2706
1992-11-16,1303
1992-11-17,1712
1992-11-18,2398
1992-11-19,4715
1992-11-20,6345
1992-11-21,6036
1992-11-22,6553
1992-11-23,3201
1992-11-24,7395
1992-11-25,8393
1992-11-26,1855
1992-11-27,990
1992-11-28,1677
1992-11-29,3413
1992-11-30,4064
1992-12-01,3039
1992-12-02,3803
1992-12-03,4085
1992-12-04,4403
1992-12-05,3259
1992-12-06,4545
1992-12-07,4693
1992-12-08,3902
1992-12-09,4282
1992-12-10,9997
1992-12-11,5501
1992-12-12,4019
1992-12-13,5811
1992-12-14,3712
1992-12-15,6180
1992-12-16,5154
1992-12-17,8264
1992-12-18,6757
1992-12-19,8709
1992-12-20,5738
1992-12-21,3975
1992-12-22,6678
1992-12-23,8840
1992-12-24,4335
1992-12-25,1873
1992-12-26,2447
1992-12-27,4986
1992-12-28,11195
1992-12-29,10002
1992-12-30,10420
1992-12-31,5760
