DATE,num_of_departure_delays
2016-01-01,1947
2016-01-02,2792
2016-01-03,3792
2016-01-04,3433
2016-01-05,3120
2016-01-06,2677
2016-01-07,2295
2016-01-08,2889
2016-01-09,1899
2016-01-10,3423
2016-01-11,2488
2016-01-12,1784
2016-01-13,2129
2016-01-14,2121
2016-01-15,2993
2016-01-16,1832
2016-01-17,2164
2016-01-18,3114
2016-01-19,2244
2016-01-20,1883
2016-01-21,2465
2016-01-22,3002
2016-01-23,1441
2016-01-24,1594
2016-01-25,2201
2016-01-26,1523
2016-01-27,1302
2016-01-28,1641
2016-01-29,1865
2016-01-30,978
2016-01-31,1711
2016-02-01,1316
2016-02-02,2286
2016-02-03,2315
2016-02-04,1666
2016-02-05,3018
2016-02-06,1032
2016-02-07,998
2016-02-08,2299
2016-02-09,2299
2016-02-10,1461
2016-02-11,2001
2016-02-12,2309
2016-02-13,1771
2016-02-14,2806
2016-02-15,4484
2016-02-16,4286
2016-02-17,2078
2016-02-18,2559
2016-02-19,2812
2016-02-20,1057
2016-02-21,1394
2016-02-22,1737
2016-02-23,1706
2016-02-24,3289
2016-02-25,2592
2016-02-26,1967
2016-02-27,1111
2016-02-28,1303
2016-02-29,1468
2016-03-01,2430
2016-03-02,1839
2016-03-03,2445
2016-03-04,3079
2016-03-05,1557
2016-03-06,1858
2016-03-07,2012
2016-03-08,2336
2016-03-09,3034
2016-03-10,3081
2016-03-11,3025
2016-03-12,2039
2016-03-13,2782
2016-03-14,3083
2016-03-15,1907
2016-03-16,2098
2016-03-17,3237
2016-03-18,3077
2016-03-19,2626
2016-03-20,2315
2016-03-21,2987
2016-03-22,1760
2016-03-23,1852
2016-03-24,4184
2016-03-25,3427
2016-03-26,2912
2016-03-27,2193
2016-03-28,2889
2016-03-29,2188
2016-03-30,2552
2016-03-31,3249
2016-04-01,3628
2016-04-02,3468
2016-04-03,2916
2016-04-04,2701
2016-04-05,1936
2016-04-06,1545
2016-04-07,3292
2016-04-08,3094
2016-04-09,2115
2016-04-10,2513
2016-04-11,2335
2016-04-12,1398
2016-04-13,1337
2016-04-14,1566
2016-04-15,2137
2016-04-16,1154
2016-04-17,2854
2016-04-18,2084
2016-04-19,1354
2016-04-20,1327
2016-04-21,2322
2016-04-22,2250
2016-04-23,1063
2016-04-24,1393
2016-04-25,1510
2016-04-26,2332
2016-04-27,2386
2016-04-28,2246
2016-04-29,3013
2016-04-30,2366
2016-05-01,3422
2016-05-02,2983
2016-05-03,2127
2016-05-04,2881
2016-05-05,2721
2016-05-06,3366
2016-05-07,1583
2016-05-08,1875
2016-05-09,2216
2016-05-10,1864
2016-05-11,2572
2016-05-12,2833
2016-05-13,2492
2016-05-14,1732
2016-05-15,2274
2016-05-16,2318
2016-05-17,2047
2016-05-18,1867
2016-05-19,2841
2016-05-20,2741
2016-05-21,1485
2016-05-22,1642
2016-05-23,2579
2016-05-24,2423
2016-05-25,2356
2016-05-26,4044
2016-05-27,3614
2016-05-28,1688
2016-05-29,1251
2016-05-30,1634
2016-05-31,2891
2016-06-01,2655
2016-06-02,3614
2016-06-03,2980
2016-06-04,1779
2016-06-05,3440
2016-06-06,2563
2016-06-07,2570
2016-06-08,2792
2016-06-09,3039
2016-06-10,2981
2016-06-11,2593
2016-06-12,3328
2016-06-13,3869
2016-06-14,4256
2016-06-15,3410
2016-06-16,3926
2016-06-17,3703
2016-06-18,2745
2016-06-19,2380
2016-06-20,2767
2016-06-21,3641
2016-06-22,3486
