DATE,num_of_arrival_delays
2017-01-01,2871
2017-01-02,6464
2017-01-03,4598
2017-01-04,3924
2017-01-05,4877
2017-01-06,4638
2017-01-07,5007
2017-01-08,4983
2017-01-09,4867
2017-01-10,3926
2017-01-11,2925
2017-01-12,3937
2017-01-13,2835
2017-01-14,1407
2017-01-15,1747
2017-01-16,2773
2017-01-17,1691
2017-01-18,2463
2017-01-19,2478
2017-01-20,3183
2017-01-21,2410
2017-01-22,5277
2017-01-23,4556
2017-01-24,1926
2017-01-25,1494
2017-01-26,1900
2017-01-27,2101
2017-01-28,874
2017-01-29,2214
2017-01-30,1667
2017-01-31,1686
2017-02-01,2118
2017-02-02,2417
2017-02-03,2463
2017-02-04,921
2017-02-05,1231
2017-02-06,3332
2017-02-07,2718
2017-02-08,3201
2017-02-09,2960
2017-02-10,3096
2017-02-11,1434
2017-02-12,2170
2017-02-13,1929
2017-02-14,1178
2017-02-15,2044
2017-02-16,2623
2017-02-17,3114
2017-02-18,2578
2017-02-19,1568
2017-02-20,3006
2017-02-21,1625
2017-02-22,1884
2017-02-23,2462
2017-02-24,3191
2017-02-25,2341
2017-02-26,1825
2017-02-27,2454
2017-02-28,2381
2017-03-01,4171
2017-03-02,3316
2017-03-03,2832
2017-03-04,1336
2017-03-05,2708
2017-03-06,3192
2017-03-07,2795
2017-03-08,2322
2017-03-09,2686
2017-03-10,4050
2017-03-11,2372
2017-03-12,3940
2017-03-13,4926
2017-03-14,2958
2017-03-15,3015
2017-03-16,2602
2017-03-17,2587
2017-03-18,2099
2017-03-19,2309
2017-03-20,2117
2017-03-21,1566
2017-03-22,2148
2017-03-23,2365
2017-03-24,3554
2017-03-25,1705
2017-03-26,2349
2017-03-27,2900
2017-03-28,2975
2017-03-29,2502
2017-03-30,3972
2017-03-31,4269
2017-04-01,1987
2017-04-02,3555
2017-04-03,4290
2017-04-04,4009
2017-04-05,4265
2017-04-06,6376
2017-04-07,5184
2017-04-08,2698
2017-04-09,3007
2017-04-10,3331
2017-04-11,2240
2017-04-12,1745
2017-04-13,2188
2017-04-14,1349
2017-04-15,912
2017-04-16,1329
2017-04-17,3135
