DATE,num_of_arrival_and_departure_delays
2003-01-01,3746
2003-01-02,7547
2003-01-03,8266
2003-01-04,5290
2003-01-05,8881
2003-01-06,7913
2003-01-07,3946
2003-01-08,3276
2003-01-09,4998
2003-01-10,4369
2003-01-11,2168
2003-01-12,4634
2003-01-13,2771
2003-01-14,3016
2003-01-15,3209
2003-01-16,5446
2003-01-17,5409
2003-01-18,3537
2003-01-19,3721
2003-01-20,4281
2003-01-21,4198
2003-01-22,6028
2003-01-23,5855
2003-01-24,4015
2003-01-25,2488
2003-01-26,4894
2003-01-27,3964
2003-01-28,4424
2003-01-29,6081
2003-01-30,4615
2003-01-31,6130
2003-02-01,2780
2003-02-02,5118
2003-02-03,4848
2003-02-04,3398
2003-02-05,3096
2003-02-06,6766
2003-02-07,9401
2003-02-08,2532
2003-02-09,4334
2003-02-10,8441
2003-02-11,4952
2003-02-12,6302
2003-02-13,7058
2003-02-14,7811
2003-02-15,5628
2003-02-16,6764
2003-02-17,4721
2003-02-18,7683
2003-02-19,5872
2003-02-20,5582
2003-02-21,7744
2003-02-22,7271
2003-02-23,9078
2003-02-24,7545
2003-02-25,5731
2003-02-26,7693
2003-02-27,7923
2003-02-28,5817
2003-03-01,4511
2003-03-02,6430
2003-03-03,6133
2003-03-04,4118
2003-03-05,7551
2003-03-06,8769
2003-03-07,5197
2003-03-08,4928
2003-03-09,4920
2003-03-10,2811
2003-03-11,2738
2003-03-12,2918
2003-03-13,7826
2003-03-14,5884
2003-03-15,5067
2003-03-16,5233
2003-03-17,6864
2003-03-18,6961
2003-03-19,5982
2003-03-20,9671
2003-03-21,6503
2003-03-22,2911
2003-03-23,3731
2003-03-24,2630
2003-03-25,1967
2003-03-26,2496
2003-03-27,5100
2003-03-28,5592
2003-03-29,2816
2003-03-30,4493
2003-03-31,2810
2003-04-01,2018
2003-04-02,1781
2003-04-03,4301
2003-04-04,8169
2003-04-05,4046
2003-04-06,6297
2003-04-07,8650
2003-04-08,5744
2003-04-09,4105
2003-04-10,4470
2003-04-11,4261
2003-04-12,2242
2003-04-13,2579
2003-04-14,2253
2003-04-15,2298
2003-04-16,2558
2003-04-17,3675
2003-04-18,3226
2003-04-19,2162
2003-04-20,3064
2003-04-21,4685
2003-04-22,2812
2003-04-23,3624
2003-04-24,4297
2003-04-25,4377
2003-04-26,2526
2003-04-27,2403
2003-04-28,3126
2003-04-29,2178
2003-04-30,5179
2003-05-01,8195
2003-05-02,5413
2003-05-03,2444
2003-05-04,5261
2003-05-05,5819
2003-05-06,5611
2003-05-07,5855
2003-05-08,5566
2003-05-09,5913
2003-05-10,5187
2003-05-11,6676
2003-05-12,4053
2003-05-13,2107
2003-05-14,3642
2003-05-15,4402
2003-05-16,5081
2003-05-17,2622
2003-05-18,4516
2003-05-19,5135
2003-05-20,3724
2003-05-21,3251
2003-05-22,4306
2003-05-23,4226
2003-05-24,2067
2003-05-25,1982
2003-05-26,2556
2003-05-27,3076
2003-05-28,4933
2003-05-29,2826
2003-05-30,3580
2003-05-31,3036
2003-06-01,3592
2003-06-02,2907
2003-06-03,3010
2003-06-04,4483
2003-06-05,5905
2003-06-06,4825
2003-06-07,3294
2003-06-08,6948
2003-06-09,4031
2003-06-10,3849
2003-06-11,5877
2003-06-12,9893
2003-06-13,11006
2003-06-14,5288
2003-06-15,4166
2003-06-16,6744
2003-06-17,4156
2003-06-18,6833
2003-06-19,7319
2003-06-20,6503
2003-06-21,4516
2003-06-22,5132
2003-06-23,4525
2003-06-24,3653
2003-06-25,5968
2003-06-26,6407
2003-06-27,5367
2003-06-28,5132
2003-06-29,4437
2003-06-30,4895
2003-07-01,5166
2003-07-02,4946
2003-07-03,5072
2003-07-04,2958
2003-07-05,3297
2003-07-06,6964
2003-07-07,10588
2003-07-08,8702
2003-07-09,8540
2003-07-10,8077
2003-07-11,8312
2003-07-12,3631
2003-07-13,4582
2003-07-14,5107
2003-07-15,6865
2003-07-16,5321
2003-07-17,4949
2003-07-18,8491
2003-07-19,3891
2003-07-20,4154
2003-07-21,9586
2003-07-22,9149
2003-07-23,7664
2003-07-24,5972
2003-07-25,5028
2003-07-26,3348
2003-07-27,7237
2003-07-28,4735
2003-07-29,4247
2003-07-30,4229
2003-07-31,7973
2003-08-01,9943
2003-08-02,7470
2003-08-03,10144
2003-08-04,10075
2003-08-05,6748
2003-08-06,6314
2003-08-07,5521
2003-08-08,6682
2003-08-09,6413
2003-08-10,5871
2003-08-11,9666
2003-08-12,5577
2003-08-13,6569
2003-08-14,4913
2003-08-15,6447
2003-08-16,6903
2003-08-17,5965
2003-08-18,4702
2003-08-19,4197
2003-08-20,4163
2003-08-21,4817
2003-08-22,7327
2003-08-23,3103
2003-08-24,3025
2003-08-25,3451
2003-08-26,7462
2003-08-27,6358
2003-08-28,6287
2003-08-29,8915
2003-08-30,3531
2003-08-31,1883
2003-09-01,4918
2003-09-02,4333
2003-09-03,3986
2003-09-04,6857
2003-09-05,3347
2003-09-06,1651
2003-09-07,3012
2003-09-08,2627
2003-09-09,2902
2003-09-10,4006
2003-09-11,5246
2003-09-12,6539
2003-09-13,2025
2003-09-14,5964
2003-09-15,5578
2003-09-16,2800
2003-09-17,2915
2003-09-18,5679
2003-09-19,3592
2003-09-20,1589
2003-09-21,4553
2003-09-22,5105
2003-09-23,3900
2003-09-24,4198
2003-09-25,3383
2003-09-26,5084
2003-09-27,3062
2003-09-28,3724
2003-09-29,2418
2003-09-30,3110
2003-10-01,3703
2003-10-02,3003
2003-10-03,3945
2003-10-04,1710
2003-10-05,3311
2003-10-06,2957
2003-10-07,2880
2003-10-08,3603
2003-10-09,5510
2003-10-10,6456
2003-10-11,2965
2003-10-12,2905
2003-10-13,2469
2003-10-14,6924
2003-10-15,4383
2003-10-16,3480
2003-10-17,4375
2003-10-18,2252
2003-10-19,3726
2003-10-20,2586
2003-10-21,3073
2003-10-22,3221
2003-10-23,2932
2003-10-24,3898
2003-10-25,2736
2003-10-26,7763
2003-10-27,8830
2003-10-28,3400
2003-10-29,4437
2003-10-30,5057
2003-10-31,4088
2003-11-01,2635
2003-11-02,5054
2003-11-03,5917
2003-11-04,6542
2003-11-05,8514
2003-11-06,6793
2003-11-07,5905
2003-11-08,3196
2003-11-09,4096
2003-11-10,3428
2003-11-11,4874
2003-11-12,9057
2003-11-13,7837
2003-11-14,5329
2003-11-15,2756
2003-11-16,8322
2003-11-17,9871
2003-11-18,6605
2003-11-19,6855
2003-11-20,5801
2003-11-21,5317
2003-11-22,4792
2003-11-23,5626
2003-11-24,6396
2003-11-25,5501
2003-11-26,4466
2003-11-27,1810
2003-11-28,3940
2003-11-29,4623
2003-11-30,6027
2003-12-01,8506
2003-12-02,6393
2003-12-03,4730
2003-12-04,6763
2003-12-05,12343
2003-12-06,4624
2003-12-07,5160
2003-12-08,5340
2003-12-09,7357
2003-12-10,8480
2003-12-11,6686
2003-12-12,5935
2003-12-13,5162
2003-12-14,10196
2003-12-15,8417
2003-12-16,4963
2003-12-17,9089
2003-12-18,8190
2003-12-19,11194
2003-12-20,7664
2003-12-21,6269
2003-12-22,5311
2003-12-23,8085
2003-12-24,5672
2003-12-25,4754
2003-12-26,6890
2003-12-27,6731
2003-12-28,7160
2003-12-29,8940
2003-12-30,7882
2003-12-31,3172
