DATE,num_of_departure_delays
2009-11-15,2009
2009-11-16,1573
2009-11-17,1288
2009-11-18,1682
2009-11-19,3956
2009-11-20,2772
2009-11-21,1065
2009-11-22,2214
2009-11-23,2265
2009-11-24,2429
2009-11-25,2326
2009-11-26,796
2009-11-27,787
2009-11-28,1079
2009-11-29,1977
2009-11-30,3182
2009-12-01,2242
2009-12-02,3847
2009-12-03,2253
2009-12-04,2624
2009-12-05,2331
2009-12-06,2650
2009-12-07,3591
2009-12-08,5060
2009-12-09,4611
2009-12-10,4060
2009-12-11,3847
2009-12-12,2019
2009-12-13,4475
2009-12-14,4885
2009-12-15,2152
2009-12-16,2490
2009-12-17,3050
2009-12-18,5115
2009-12-19,3734
2009-12-20,4923
2009-12-21,5857
2009-12-22,5922
2009-12-23,5148
2009-12-24,3427
2009-12-25,3304
2009-12-26,5452
2009-12-27,4998
2009-12-28,4234
2009-12-29,4273
2009-12-30,4715
2009-12-31,4303
