DATE,num_of_arrival_and_departure_delays
2007-01-01,12492
2007-01-02,10992
2007-01-03,9069
2007-01-04,10864
2007-01-05,14314
2007-01-06,7466
2007-01-07,9913
2007-01-08,7308
2007-01-09,6375
2007-01-10,5124
2007-01-11,7312
2007-01-12,10322
2007-01-13,5993
2007-01-14,10607
2007-01-15,16416
2007-01-16,9953
2007-01-17,7714
2007-01-18,12724
2007-01-19,11937
2007-01-20,5043
2007-01-21,14549
2007-01-22,10736
2007-01-23,4664
2007-01-24,4671
2007-01-25,7079
2007-01-26,9047
2007-01-27,4962
2007-01-28,8483
2007-01-29,8038
2007-01-30,5770
2007-01-31,8045
2007-02-01,11782
2007-02-02,12867
2007-02-03,8265
2007-02-04,8456
2007-02-05,11063
2007-02-06,9445
2007-02-07,9311
2007-02-08,8334
2007-02-09,9452
2007-02-10,4984
2007-02-11,6837
2007-02-12,10562
2007-02-13,9356
2007-02-14,12687
2007-02-15,19279
2007-02-16,17587
2007-02-17,11780
2007-02-18,9096
2007-02-19,10729
2007-02-20,7056
2007-02-21,9533
2007-02-22,11536
2007-02-23,10764
2007-02-24,8176
2007-02-25,14648
2007-02-26,14864
2007-02-27,9336
2007-02-28,7985
2007-03-01,15224
2007-03-02,16511
2007-03-03,9429
2007-03-04,8136
2007-03-05,7378
2007-03-06,7157
2007-03-07,11634
2007-03-08,7470
2007-03-09,7684
2007-03-10,6072
2007-03-11,9152
2007-03-12,8127
2007-03-13,7185
2007-03-14,8080
2007-03-15,10765
2007-03-16,8492
2007-03-17,11768
2007-03-18,10352
2007-03-19,9470
2007-03-20,7268
2007-03-21,7795
2007-03-22,14207
2007-03-23,10969
2007-03-24,8121
2007-03-25,7023
2007-03-26,7929
2007-03-27,6484
2007-03-28,9362
2007-03-29,10634
2007-03-30,10398
2007-03-31,9327
2007-04-01,9539
2007-04-02,8771
2007-04-03,10376
2007-04-04,12626
2007-04-05,10720
2007-04-06,9837
2007-04-07,6626
2007-04-08,6092
2007-04-09,6695
2007-04-10,6923
2007-04-11,12016
2007-04-12,14095
2007-04-13,11394
2007-04-14,7574
2007-04-15,11657
2007-04-16,11152
2007-04-17,8475
2007-04-18,7966
2007-04-19,6286
2007-04-20,6425
2007-04-21,4142
2007-04-22,6179
2007-04-23,5297
2007-04-24,6272
2007-04-25,11078
2007-04-26,10059
2007-04-27,10553
2007-04-28,4023
2007-04-29,5444
2007-04-30,6983
2007-05-01,6381
2007-05-02,7279
2007-05-03,8515
2007-05-04,9027
2007-05-05,6318
2007-05-06,11541
2007-05-07,8120
2007-05-08,4269
2007-05-09,6974
2007-05-10,10592
2007-05-11,9656
2007-05-12,5176
2007-05-13,5868
2007-05-14,6819
2007-05-15,9959
2007-05-16,9629
2007-05-17,7393
2007-05-18,8863
2007-05-19,4230
2007-05-20,7187
2007-05-21,6169
2007-05-22,8022
2007-05-23,8611
2007-05-24,11576
2007-05-25,10856
2007-05-26,6511
2007-05-27,4729
2007-05-28,5922
2007-05-29,7175
2007-05-30,8837
2007-05-31,8640
2007-06-01,10366
2007-06-02,6764
2007-06-03,13219
2007-06-04,12340
2007-06-05,9218
2007-06-06,8695
2007-06-07,9438
2007-06-08,15181
2007-06-09,8466
2007-06-10,8316
2007-06-11,10711
2007-06-12,11273
2007-06-13,12079
2007-06-14,12266
2007-06-15,10800
2007-06-16,11467
2007-06-17,12446
2007-06-18,12646
2007-06-19,13545
2007-06-20,14005
2007-06-21,10190
2007-06-22,10647
2007-06-23,6331
2007-06-24,8166
2007-06-25,14046
2007-06-26,13286
2007-06-27,14687
2007-06-28,17184
2007-06-29,14921
2007-06-30,9887
2007-07-01,11450
2007-07-02,9744
2007-07-03,6382
2007-07-04,3724
2007-07-05,8241
2007-07-06,8453
2007-07-07,6506
2007-07-08,11234
2007-07-09,13007
2007-07-10,15210
2007-07-11,14213
2007-07-12,9938
2007-07-13,8974
2007-07-14,8223
2007-07-15,11342
2007-07-16,10589
2007-07-17,12229
2007-07-18,13617
2007-07-19,18120
2007-07-20,13913
2007-07-21,7630
2007-07-22,9657
2007-07-23,12067
2007-07-24,7163
2007-07-25,9119
2007-07-26,14527
2007-07-27,13760
2007-07-28,10137
2007-07-29,14079
2007-07-30,15541
2007-07-31,11905
2007-08-01,11609
2007-08-02,10132
2007-08-03,10473
2007-08-04,7690
2007-08-05,13021
