DATE,num_of_departure_delays
2007-01-01,6227
2007-01-02,5463
2007-01-03,4454
2007-01-04,5051
2007-01-05,6668
2007-01-06,3658
2007-01-07,4635
2007-01-08,3451
2007-01-09,2972
2007-01-10,2251
2007-01-11,3177
2007-01-12,4770
2007-01-13,2826
2007-01-14,4846
2007-01-15,7668
2007-01-16,4556
2007-01-17,3594
2007-01-18,5584
2007-01-19,5445
2007-01-20,2308
2007-01-21,6460
2007-01-22,4839
2007-01-23,1978
2007-01-24,1858
2007-01-25,3119
2007-01-26,4212
2007-01-27,2327
2007-01-28,3855
2007-01-29,3594
2007-01-30,2437
2007-01-31,3555
2007-02-01,4846
2007-02-02,5588
2007-02-03,3642
2007-02-04,3945
2007-02-05,5229
2007-02-06,4288
2007-02-07,4252
2007-02-08,3791
2007-02-09,4407
2007-02-10,2443
2007-02-11,3273
2007-02-12,4716
2007-02-13,4066
2007-02-14,5972
2007-02-15,9227
2007-02-16,8530
2007-02-17,5700
2007-02-18,4341
2007-02-19,5157
2007-02-20,3231
2007-02-21,4506
2007-02-22,5363
2007-02-23,5026
2007-02-24,3858
2007-02-25,6997
2007-02-26,7129
2007-02-27,4343
2007-02-28,3469
2007-03-01,6925
2007-03-02,7708
2007-03-03,4529
2007-03-04,3976
2007-03-05,3448
2007-03-06,3302
2007-03-07,5340
2007-03-08,3541
2007-03-09,3712
2007-03-10,2978
2007-03-11,4428
2007-03-12,3916
2007-03-13,3302
2007-03-14,3656
2007-03-15,5014
2007-03-16,3940
2007-03-17,5953
2007-03-18,5283
2007-03-19,4511
2007-03-20,3380
2007-03-21,3566
2007-03-22,6703
2007-03-23,5248
2007-03-24,4072
2007-03-25,3414
2007-03-26,3717
2007-03-27,2958
2007-03-28,4116
2007-03-29,4831
2007-03-30,4931
2007-03-31,4516
2007-04-01,4616
2007-04-02,4251
2007-04-03,4599
2007-04-04,5864
2007-04-05,5079
2007-04-06,4560
2007-04-07,3100
2007-04-08,2917
2007-04-09,3229
2007-04-10,3016
2007-04-11,5309
2007-04-12,6578
2007-04-13,5231
2007-04-14,3600
2007-04-15,5463
2007-04-16,5456
2007-04-17,3804
2007-04-18,3601
2007-04-19,2909
2007-04-20,3023
2007-04-21,1998
2007-04-22,2836
2007-04-23,2434
2007-04-24,2613
2007-04-25,5003
2007-04-26,4534
2007-04-27,4971
2007-04-28,1967
2007-04-29,2588
2007-04-30,3135
2007-05-01,2648
2007-05-02,3110
2007-05-03,3731
2007-05-04,4053
2007-05-05,2853
2007-05-06,5165
2007-05-07,3581
2007-05-08,1868
2007-05-09,3036
2007-05-10,4829
2007-05-11,4550
2007-05-12,2422
2007-05-13,2707
2007-05-14,3136
2007-05-15,4439
2007-05-16,4472
2007-05-17,3389
2007-05-18,4096
2007-05-19,2077
2007-05-20,3411
2007-05-21,2851
2007-05-22,3652
2007-05-23,3907
2007-05-24,5265
2007-05-25,5113
2007-05-26,3112
2007-05-27,2078
2007-05-28,2745
2007-05-29,3253
2007-05-30,4101
2007-05-31,3896
2007-06-01,4612
2007-06-02,3268
2007-06-03,6111
2007-06-04,5794
2007-06-05,4300
2007-06-06,3847
2007-06-07,4305
2007-06-08,6972
2007-06-09,4193
2007-06-10,3862
2007-06-11,4850
2007-06-12,5122
2007-06-13,5515
2007-06-14,5593
