DATE,num_of_arrival_and_departure_delays
2004-01-01,4375
2004-01-02,10368
2004-01-03,11101
2004-01-04,13821
2004-01-05,16469
2004-01-06,10879
2004-01-07,6526
2004-01-08,4849
2004-01-09,7815
2004-01-10,4873
2004-01-11,4978
2004-01-12,5645
2004-01-13,3301
2004-01-14,6625
2004-01-15,7601
2004-01-16,8552
2004-01-17,6475
2004-01-18,7666
2004-01-19,4790
2004-01-20,3239
2004-01-21,4197
2004-01-22,4868
2004-01-23,7717
2004-01-24,5263
2004-01-25,8584
2004-01-26,12368
2004-01-27,10328
2004-01-28,5913
2004-01-29,8199
2004-01-30,6934
2004-01-31,4636
2004-02-01,5334
2004-02-02,9844
2004-02-03,7472
2004-02-04,5967
2004-02-05,9864
2004-02-06,12942
2004-02-07,6787
2004-02-08,5612
2004-02-09,5323
2004-02-10,6240
2004-02-11,5632
2004-02-12,8803
2004-02-13,7382
2004-02-14,7047
2004-02-15,6830
2004-02-16,6899
2004-02-17,6352
2004-02-18,4338
2004-02-19,4247
2004-02-20,7388
2004-02-21,5201
2004-02-22,6627
2004-02-23,8584
2004-02-24,10316
2004-02-25,7776
2004-02-26,8465
2004-02-27,7154
2004-02-28,3825
2004-02-29,6245
2004-03-01,5726
2004-03-02,4493
2004-03-03,4427
2004-03-04,9499
2004-03-05,11477
2004-03-06,5659
2004-03-07,6499
2004-03-08,5293
2004-03-09,4002
2004-03-10,4286
2004-03-11,6326
2004-03-12,7333
2004-03-13,3685
2004-03-14,7554
2004-03-15,4109
2004-03-16,9443
2004-03-17,9479
2004-03-18,8880
2004-03-19,6419
2004-03-20,5696
2004-03-21,6665
2004-03-22,4850
2004-03-23,3048
2004-03-24,4828
2004-03-25,6231
2004-03-26,6131
2004-03-27,4961
2004-03-28,6336
2004-03-29,3781
2004-03-30,4055
2004-03-31,6847
2004-04-01,7890
2004-04-02,8526
2004-04-03,5073
2004-04-04,7153
2004-04-05,4838
2004-04-06,3303
2004-04-07,3441
2004-04-08,7287
2004-04-09,3785
2004-04-10,3037
2004-04-11,4737
2004-04-12,9577
2004-04-13,9931
2004-04-14,6171
2004-04-15,4571
2004-04-16,3890
2004-04-17,3423
2004-04-18,6596
2004-04-19,6479
2004-04-20,4567
2004-04-21,5135
2004-04-22,4458
2004-04-23,6317
2004-04-24,4584
2004-04-25,6353
2004-04-26,6964
2004-04-27,3187
2004-04-28,4880
2004-04-29,5843
2004-04-30,7942
2004-05-01,6197
2004-05-02,7369
2004-05-03,6153
2004-05-04,3288
2004-05-05,3021
2004-05-06,3840
2004-05-07,8562
2004-05-08,2637
2004-05-09,5741
2004-05-10,6600
2004-05-11,7017
2004-05-12,8876
2004-05-13,11278
2004-05-14,11182
2004-05-15,3645
2004-05-16,5351
2004-05-17,9280
2004-05-18,10976
2004-05-19,6008
2004-05-20,5648
2004-05-21,11316
2004-05-22,6794
2004-05-23,7752
2004-05-24,7778
2004-05-25,5619
2004-05-26,9338
2004-05-27,8036
2004-05-28,9082
2004-05-29,4248
2004-05-30,5851
2004-05-31,10237
2004-06-01,7768
2004-06-02,6724
2004-06-03,4790
2004-06-04,5629
2004-06-05,4054
2004-06-06,5532
2004-06-07,7644
2004-06-08,7756
2004-06-09,10927
2004-06-10,11971
2004-06-11,9493
2004-06-12,5746
2004-06-13,9795
2004-06-14,12097
2004-06-15,12108
2004-06-16,10410
2004-06-17,13176
2004-06-18,11803
2004-06-19,7322
2004-06-20,6767
2004-06-21,12737
2004-06-22,10517
2004-06-23,8066
2004-06-24,9940
2004-06-25,13661
2004-06-26,8490
2004-06-27,9514
2004-06-28,11190
2004-06-29,8062
2004-06-30,9033
2004-07-01,10167
2004-07-02,8554
2004-07-03,6455
2004-07-04,2794
2004-07-05,6435
2004-07-06,7916
2004-07-07,9776
2004-07-08,6099
2004-07-09,9827
2004-07-10,4969
2004-07-11,8537
2004-07-12,11769
2004-07-13,8096
2004-07-14,12229
2004-07-15,7889
2004-07-16,10113
2004-07-17,6196
2004-07-18,8981
2004-07-19,6809
2004-07-20,4641
2004-07-21,6874
2004-07-22,11415
2004-07-23,11131
2004-07-24,5879
2004-07-25,7908
2004-07-26,7310
2004-07-27,7704
2004-07-28,8762
2004-07-29,10385
2004-07-30,9595
2004-07-31,8702
2004-08-01,16200
2004-08-02,12527
2004-08-03,6300
2004-08-04,10913
2004-08-05,8502
2004-08-06,5436
2004-08-07,3935
2004-08-08,5006
2004-08-09,5106
2004-08-10,6598
2004-08-11,9421
2004-08-12,11130
2004-08-13,6459
2004-08-14,4857
2004-08-15,6842
2004-08-16,7173
2004-08-17,4870
2004-08-18,7012
2004-08-19,10660
2004-08-20,9266
2004-08-21,7329
2004-08-22,7372
2004-08-23,5978
2004-08-24,7586
2004-08-25,8179
2004-08-26,5672
2004-08-27,4960
2004-08-28,8264
2004-08-29,6429
2004-08-30,6215
2004-08-31,3473
2004-09-01,4093
2004-09-02,6835
2004-09-03,5742
2004-09-04,2909
2004-09-05,1763
2004-09-06,4867
2004-09-07,7099
2004-09-08,6563
2004-09-09,5647
2004-09-10,4254
2004-09-11,1841
2004-09-12,3125
2004-09-13,3639
2004-09-14,5255
2004-09-15,7028
2004-09-16,4929
2004-09-17,7614
2004-09-18,5524
2004-09-19,6479
2004-09-20,4254
2004-09-21,2136
2004-09-22,2949
2004-09-23,4009
2004-09-24,4320
2004-09-25,2165
2004-09-26,2796
2004-09-27,4692
2004-09-28,7474
2004-09-29,4191
2004-09-30,5562
2004-10-01,6550
2004-10-02,3262
2004-10-03,4928
2004-10-04,7822
2004-10-05,3180
2004-10-06,3576
2004-10-07,6093
2004-10-08,8362
2004-10-09,3574
2004-10-10,3705
2004-10-11,3834
2004-10-12,3619
2004-10-13,3939
2004-10-14,6796
2004-10-15,8849
2004-10-16,3690
2004-10-17,7183
2004-10-18,10152
2004-10-19,11080
2004-10-20,9185
2004-10-21,9850
2004-10-22,9353
2004-10-23,5143
2004-10-24,7169
2004-10-25,6007
2004-10-26,4061
2004-10-27,6647
2004-10-28,9079
2004-10-29,9219
2004-10-30,5175
2004-10-31,5572
2004-11-01,14776
2004-11-02,10792
2004-11-03,9124
2004-11-04,17222
2004-11-05,13258
2004-11-06,4220
2004-11-07,12252
2004-11-08,9268
2004-11-09,5180
2004-11-10,7360
2004-11-11,15178
2004-11-12,17724
2004-11-13,8712
2004-11-14,12596
2004-11-15,9330
2004-11-16,7566
2004-11-17,10654
2004-11-18,10384
2004-11-19,17874
2004-11-20,10768
2004-11-21,16810
2004-11-22,24056
2004-11-23,26010
2004-11-24,32754
2004-11-25,10076
2004-11-26,4786
2004-11-27,16034
2004-11-28,23156
2004-11-29,21980
2004-11-30,21218
