DATE,num_of_arrival_delays
1992-01-01,1460
1992-01-02,2091
1992-01-03,3091
1992-01-04,2731
1992-01-05,2222
1992-01-06,2384
1992-01-07,1963
1992-01-08,2553
1992-01-09,1854
1992-01-10,2025
1992-01-11,767
1992-01-12,2051
1992-01-13,3387
1992-01-14,3753
1992-01-15,4107
1992-01-16,2829
1992-01-17,3596
1992-01-18,2772
1992-01-19,1653
1992-01-20,1613
1992-01-21,1595
1992-01-22,1344
1992-01-23,3805
1992-01-24,2378
1992-01-25,2113
1992-01-26,1461
1992-01-27,2296
1992-01-28,2415
1992-01-29,1710
1992-01-30,1652
1992-01-31,1934
1992-02-01,1066
1992-02-02,1087
1992-02-03,1198
1992-02-04,1259
1992-02-05,2136
1992-02-06,1877
1992-02-07,2002
1992-02-08,1462
1992-02-09,1790
1992-02-10,1781
1992-02-11,1875
1992-02-12,3130
1992-02-13,4108
1992-02-14,4335
1992-02-15,3137
1992-02-16,1611
1992-02-17,1977
1992-02-18,3875
1992-02-19,2620
1992-02-20,1519
1992-02-21,1730
1992-02-22,1675
1992-02-23,2625
1992-02-24,2850
1992-02-25,2765
1992-02-26,2066
1992-02-27,1528
1992-02-28,1491
1992-02-29,1167
1992-03-01,1453
1992-03-02,1689
1992-03-03,2847
1992-03-04,2559
1992-03-05,2673
1992-03-06,4376
1992-03-07,2984
1992-03-08,2369
1992-03-09,2531
1992-03-10,3797
1992-03-11,2775
1992-03-12,2107
1992-03-13,1807
1992-03-14,1528
1992-03-15,1556
1992-03-16,1212
1992-03-17,2021
1992-03-18,2857
1992-03-19,3811
1992-03-20,2745
1992-03-21,2448
1992-03-22,4517
1992-03-23,1986
1992-03-24,2155
1992-03-25,2059
1992-03-26,2659
1992-03-27,2259
1992-03-28,1660
1992-03-29,1822
1992-03-30,1917
1992-03-31,1618
1992-04-01,1869
1992-04-02,1678
1992-04-03,1658
1992-04-04,942
1992-04-05,1488
1992-04-06,1120
1992-04-07,1804
1992-04-08,1349
1992-04-09,1297
1992-04-10,1837
1992-04-11,1734
1992-04-12,2045
1992-04-13,1011
1992-04-14,1158
1992-04-15,2355
1992-04-16,3193
1992-04-17,2824
1992-04-18,1369
1992-04-19,2184
1992-04-20,2734
1992-04-21,2862
1992-04-22,1540
1992-04-23,1681
1992-04-24,2577
1992-04-25,1049
1992-04-26,1240
1992-04-27,1166
1992-04-28,1254
1992-04-29,1414
1992-04-30,2391
1992-05-01,2512
1992-05-02,1388
1992-05-03,1212
1992-05-04,1029
1992-05-05,1494
1992-05-06,1942
1992-05-07,2169
1992-05-08,3376
1992-05-09,1190
1992-05-10,1172
1992-05-11,1113
1992-05-12,1233
1992-05-13,1889
1992-05-14,2377
1992-05-15,1953
1992-05-16,1689
1992-05-17,2409
1992-05-18,1531
1992-05-19,1600
1992-05-20,1965
1992-05-21,2778
1992-05-22,2845
1992-05-23,998
1992-05-24,480
1992-05-25,1416
1992-05-26,1680
1992-05-27,1474
1992-05-28,2260
