DATE,num_of_departure_delays
2008-01-01,6099
2008-01-02,8128
2008-01-03,6396
2008-01-04,4834
2008-01-05,5046
2008-01-06,5773
2008-01-07,3972
2008-01-08,3775
2008-01-09,2594
2008-01-10,3300
2008-01-11,3643
2008-01-12,1414
2008-01-13,2776
2008-01-14,2641
2008-01-15,2245
2008-01-16,1868
2008-01-17,5504
2008-01-18,4781
2008-01-19,3027
2008-01-20,2956
2008-01-21,5877
2008-01-22,5154
2008-01-23,3754
2008-01-24,3736
2008-01-25,4476
2008-01-26,2519
2008-01-27,5194
2008-01-28,3910
2008-01-29,3399
2008-01-30,3154
2008-01-31,5663
2008-02-01,6895
2008-02-02,2705
2008-02-03,3985
2008-02-04,5697
2008-02-05,4763
2008-02-06,4648
2008-02-07,4187
2008-02-08,4575
2008-02-09,1932
2008-02-10,4434
2008-02-11,4178
2008-02-12,5351
2008-02-13,5996
2008-02-14,4901
2008-02-15,4980
2008-02-16,3138
2008-02-17,4880
2008-02-18,6224
2008-02-19,4087
2008-02-20,3985
2008-02-21,5531
2008-02-22,7672
2008-02-23,3987
2008-02-24,4426
2008-02-25,4029
2008-02-26,5872
2008-02-27,3331
2008-02-28,2746
2008-02-29,4758
2008-03-01,2736
2008-03-02,3786
2008-03-03,4676
2008-03-04,4508
2008-03-05,4092
2008-03-06,3410
2008-03-07,6869
2008-03-08,5789
2008-03-09,5690
2008-03-10,4251
2008-03-11,2662
2008-03-12,3264
2008-03-13,3174
2008-03-14,4686
2008-03-15,5065
2008-03-16,4796
2008-03-17,4200
2008-03-18,4798
2008-03-19,7081
2008-03-20,5431
2008-03-21,5191
2008-03-22,3564
2008-03-23,2824
2008-03-24,3139
2008-03-25,4140
2008-03-26,2870
2008-03-27,4338
2008-03-28,5212
2008-03-29,3073
2008-03-30,5793
2008-03-31,7219
2008-04-01,5308
2008-04-02,2923
2008-04-03,4214
2008-04-04,7519
2008-04-05,3482
2008-04-06,4874
2008-04-07,3495
2008-04-08,2742
2008-04-09,3578
2008-04-10,6004
2008-04-11,5492
2008-04-12,3218
2008-04-13,3247
2008-04-14,2575
2008-04-15,2059
2008-04-16,2230
2008-04-17,2375
2008-04-18,3201
2008-04-19,2195
2008-04-20,3501
2008-04-21,2725
2008-04-22,2043
2008-04-23,2543
2008-04-24,2853
2008-04-25,3978
2008-04-26,2591
2008-04-27,2772
2008-04-28,4608
2008-04-29,2352
2008-04-30,1997
2008-05-01,2822
2008-05-02,6464
2008-05-03,2519
2008-05-04,2563
2008-05-05,2880
2008-05-06,2365
2008-05-07,3616
2008-05-08,2982
2008-05-09,3900
2008-05-10,2025
2008-05-11,3725
2008-05-12,4154
2008-05-13,2492
2008-05-14,3795
2008-05-15,3579
2008-05-16,4706
2008-05-17,1746
2008-05-18,3005
2008-05-19,3294
2008-05-20,3627
2008-05-21,2956
2008-05-22,5165
2008-05-23,4450
2008-05-24,2218
2008-05-25,1203
2008-05-26,2244
2008-05-27,3877
2008-05-28,2617
2008-05-29,2358
2008-05-30,3722
2008-05-31,3270
2008-06-01,3256
2008-06-02,2187
2008-06-03,3812
2008-06-04,5734
2008-06-05,5592
2008-06-06,5350
2008-06-07,3358
2008-06-08,4921
2008-06-09,5819
2008-06-10,4781
2008-06-11,4319
2008-06-12,4502
2008-06-13,5868
2008-06-14,3675
2008-06-15,5520
2008-06-16,5638
2008-06-17,4340
2008-06-18,3500
2008-06-19,5268
2008-06-20,4283
2008-06-21,3714
2008-06-22,5544
2008-06-23,5777
2008-06-24,4038
2008-06-25,4373
2008-06-26,6005
2008-06-27,6138
2008-06-28,4156
2008-06-29,5720
2008-06-30,3918
2008-07-01,2753
2008-07-02,3678
2008-07-03,3190
2008-07-04,1397
2008-07-05,2342
2008-07-06,4978
2008-07-07,6245
2008-07-08,5655
2008-07-09,4693
2008-07-10,4538
2008-07-11,4128
2008-07-12,4132
2008-07-13,5602
2008-07-14,4806
2008-07-15,3280
2008-07-16,2874
2008-07-17,3419
2008-07-18,4023
2008-07-19,3464
2008-07-20,4431
2008-07-21,4217
2008-07-22,4087
2008-07-23,4722
2008-07-24,5922
2008-07-25,4398
2008-07-26,3124
2008-07-27,4945
2008-07-28,4149
2008-07-29,3190
2008-07-30,3763
2008-07-31,5423
2008-08-01,4908
2008-08-02,4394
2008-08-03,4004
2008-08-04,5039
2008-08-05,4691
2008-08-06,3710
2008-08-07,5209
2008-08-08,4280
2008-08-09,3255
2008-08-10,4353
2008-08-11,4734
2008-08-12,3409
2008-08-13,2759
2008-08-14,3825
2008-08-15,5812
2008-08-16,3883
2008-08-17,3137
2008-08-18,3191
2008-08-19,2203
2008-08-20,3563
2008-08-21,3578
2008-08-22,3269
2008-08-23,2157
2008-08-24,2676
2008-08-25,3351
2008-08-26,3428
2008-08-27,2178
2008-08-28,2620
2008-08-29,3517
2008-08-30,1670
2008-08-31,1050
2008-09-01,1575
2008-09-02,1577
2008-09-03,1299
2008-09-04,2022
2008-09-05,1666
2008-09-06,1466
2008-09-07,1763
2008-09-08,2923
2008-09-09,3009
2008-09-10,1473
2008-09-11,2229
2008-09-12,3966
2008-09-13,2057
2008-09-14,3219
2008-09-15,2735
2008-09-16,1584
2008-09-17,1465
2008-09-18,1780
2008-09-19,1998
2008-09-20,1093
2008-09-21,2344
2008-09-22,1874
2008-09-23,1189
2008-09-24,1683
2008-09-25,2567
2008-09-26,3359
2008-09-27,1430
2008-09-28,2319
2008-09-29,1996
2008-09-30,1451
2008-10-01,1334
2008-10-02,1760
2008-10-03,2185
2008-10-04,1044
2008-10-05,2266
2008-10-06,1583
2008-10-07,1729
2008-10-08,2392
2008-10-09,2395
2008-10-10,2369
2008-10-11,1458
2008-10-12,2111
2008-10-13,1935
2008-10-14,1374
2008-10-15,2450
2008-10-16,2742
2008-10-17,2498
2008-10-18,1025
2008-10-19,1985
2008-10-20,1826
2008-10-21,1427
2008-10-22,2228
2008-10-23,2001
2008-10-24,3823
2008-10-25,1586
2008-10-26,2716
2008-10-27,3076
2008-10-28,2429
2008-10-29,1536
2008-10-30,1902
2008-10-31,1727
2008-11-01,1362
2008-11-02,2390
2008-11-03,1743
2008-11-04,1431
2008-11-05,1510
2008-11-06,2905
2008-11-07,3353
2008-11-08,1507
2008-11-09,2489
2008-11-10,1790
2008-11-11,2252
2008-11-12,2420
2008-11-13,3530
2008-11-14,4595
2008-11-15,1781
2008-11-16,2290
2008-11-17,1752
2008-11-18,1289
2008-11-19,1715
2008-11-20,2419
2008-11-21,3068
2008-11-22,1858
2008-11-23,1400
2008-11-24,1768
2008-11-25,2057
2008-11-26,1940
2008-11-27,868
2008-11-28,936
2008-11-29,2804
2008-11-30,7763
2008-12-01,8186
2008-12-02,3105
2008-12-03,2383
2008-12-04,2750
2008-12-05,2158
2008-12-06,1548
2008-12-07,2747
2008-12-08,2026
2008-12-09,2651
2008-12-10,4180
2008-12-11,4057
2008-12-12,3350
2008-12-13,1852
2008-12-14,3438
2008-12-15,5513
2008-12-16,5215
2008-12-17,6586
2008-12-18,6751
2008-12-19,7792
2008-12-20,7124
2008-12-21,8122
2008-12-22,8187
2008-12-23,8100
2008-12-24,6336
2008-12-25,3299
2008-12-26,6646
2008-12-27,7399
2008-12-28,5014
2008-12-29,3130
2008-12-30,3671
2008-12-31,3444
