DATE,num_of_arrival_and_departure_delays
2006-01-01,9410
2006-01-02,19374
2006-01-03,16986
2006-01-04,8183
2006-01-05,6682
2006-01-06,4653
2006-01-07,3991
2006-01-08,5211
2006-01-09,3653
2006-01-10,2955
2006-01-11,7103
2006-01-12,4317
2006-01-13,12797
2006-01-14,5736
2006-01-15,6950
2006-01-16,6737
2006-01-17,7396
2006-01-18,8090
2006-01-19,5318
2006-01-20,5346
2006-01-21,4408
2006-01-22,10235
2006-01-23,10017
2006-01-24,4415
2006-01-25,3817
2006-01-26,3798
2006-01-27,4247
2006-01-28,3605
2006-01-29,6723
2006-01-30,6503
2006-01-31,3947
2006-02-01,3582
2006-02-02,5462
2006-02-03,10917
2006-02-04,7005
2006-02-05,5667
2006-02-06,6671
2006-02-07,2917
2006-02-08,4650
2006-02-09,4516
2006-02-10,7137
2006-02-11,6474
2006-02-12,5181
2006-02-13,6590
2006-02-14,4071
2006-02-15,5318
2006-02-16,11632
2006-02-17,16365
2006-02-18,13522
2006-02-19,13811
2006-02-20,12443
2006-02-21,8890
2006-02-22,9873
2006-02-23,10551
2006-02-24,9062
2006-02-25,7063
2006-02-26,8437
2006-02-27,7821
2006-02-28,5641
2006-03-01,4649
2006-03-02,10798
2006-03-03,7592
2006-03-04,4009
2006-03-05,8464
2006-03-06,7272
2006-03-07,5786
2006-03-08,5942
2006-03-09,12074
2006-03-10,10241
2006-03-11,7990
2006-03-12,11682
2006-03-13,13421
2006-03-14,7986
2006-03-15,8460
2006-03-16,9842
2006-03-17,7195
2006-03-18,7140
2006-03-19,11724
2006-03-20,15035
2006-03-21,9551
2006-03-22,5909
2006-03-23,8290
2006-03-24,9038
2006-03-25,4786
2006-03-26,6602
2006-03-27,4877
2006-03-28,10653
2006-03-29,5847
2006-03-30,6096
2006-03-31,8722
2006-04-01,5689
2006-04-02,10824
2006-04-03,12454
2006-04-04,9226
2006-04-05,8741
2006-04-06,10160
2006-04-07,14370
2006-04-08,7939
2006-04-09,6236
2006-04-10,4337
2006-04-11,4486
2006-04-12,5406
2006-04-13,7743
