DATE,num_of_departure_delays
2005-01-01,5922
2005-01-02,12332
2005-01-03,14410
2005-01-04,11214
2005-01-05,12110
2005-01-06,12630
2005-01-07,8778
2005-01-08,7346
2005-01-09,7500
2005-01-10,5572
2005-01-11,5928
2005-01-12,8200
2005-01-13,10864
2005-01-14,11542
2005-01-15,4826
2005-01-16,6060
2005-01-17,7578
2005-01-18,4694
2005-01-19,8062
2005-01-20,8160
2005-01-21,7762
2005-01-22,7608
2005-01-23,6218
2005-01-24,8186
2005-01-25,3664
2005-01-26,6496
2005-01-27,5890
2005-01-28,5874
2005-01-29,4604
2005-01-30,8276
2005-01-31,5614
2005-03-01,4250
2005-03-02,2952
2005-03-03,2346
2005-03-04,2975
2005-03-05,1783
2005-03-06,2449
2005-03-07,2964
2005-03-08,3550
2005-03-09,4292
2005-03-10,4035
2005-03-11,5217
2005-03-12,3418
2005-03-13,2546
2005-03-14,2367
2005-03-15,1730
2005-03-16,4167
2005-03-17,5262
2005-03-18,4384
2005-03-19,3408
2005-03-20,3913
2005-03-21,3819
2005-03-22,3463
2005-03-23,4785
2005-03-24,4177
2005-03-25,5408
2005-03-26,4060
2005-03-27,3991
2005-03-28,6203
2005-03-29,3234
2005-03-30,2444
2005-03-31,4859
2005-04-01,4225
2005-04-02,4459
2005-04-03,5060
2005-04-04,2472
2005-04-05,1814
2005-04-06,1917
2005-04-07,3061
2005-04-08,3122
2005-04-09,1272
2005-04-10,1718
2005-04-11,3489
2005-04-12,1525
2005-04-13,1428
2005-04-14,1833
2005-04-15,2218
2005-04-16,1214
2005-04-17,1718
2005-04-18,1414
2005-04-19,1081
2005-04-20,2338
2005-04-21,2091
2005-04-22,4660
2005-04-23,2937
2005-04-24,3221
2005-04-25,2548
2005-04-26,2161
2005-04-27,2397
2005-04-28,2774
2005-04-29,2212
2005-04-30,3734
2005-05-01,2515
2005-05-02,1922
2005-05-03,1404
2005-05-04,1892
2005-05-05,3147
2005-05-06,2744
2005-05-07,1249
2005-05-08,2858
2005-05-09,2210
2005-05-10,1484
2005-05-11,3440
2005-05-12,2848
2005-05-13,3201
2005-05-14,1876
2005-05-15,3124
2005-05-16,1851
2005-05-17,1392
2005-05-18,2484
2005-05-19,4359
2005-05-20,5498
2005-05-21,1863
2005-05-22,2703
2005-05-23,2599
2005-05-24,2469
2005-05-25,4317
2005-05-26,3920
2005-05-27,2897
2005-05-28,2283
2005-05-29,1657
2005-05-30,2003
2005-05-31,2833
2005-06-01,3434
2005-06-02,3122
2005-06-03,4536
2005-06-04,2622
2005-06-05,4657
2005-06-06,4878
2005-06-07,3825
2005-06-08,3864
2005-06-09,4644
2005-06-10,6134
2005-06-11,4220
2005-06-12,4578
2005-06-13,3541
2005-06-14,3807
2005-06-15,2909
2005-06-16,4059
2005-06-17,3929
2005-06-18,2372
2005-06-19,2815
2005-06-20,3272
2005-06-21,2996
2005-06-22,3704
2005-06-23,3839
2005-06-24,3645
2005-06-25,2722
2005-06-26,4414
2005-06-27,5606
2005-06-28,5710
2005-06-29,5323
2005-06-30,8070
2005-07-01,7872
2005-07-02,3945
2005-07-03,2092
2005-07-04,2449
2005-07-05,5211
2005-07-06,3772
2005-07-07,4928
2005-07-08,4812
2005-07-09,3767
2005-07-10,3798
2005-07-11,4717
2005-07-12,3922
2005-07-13,5980
2005-07-14,6840
2005-07-15,7105
2005-07-16,5762
2005-07-17,6649
2005-07-18,6044
2005-07-19,5174
2005-07-20,5014
2005-07-21,5408
2005-07-22,4700
2005-07-23,3181
2005-07-24,3587
2005-07-25,6328
2005-07-26,4545
2005-07-27,5097
2005-07-28,4670
2005-07-29,4317
2005-07-30,3574
2005-07-31,4159
2005-08-01,4096
2005-08-02,3184
2005-08-03,3223
2005-08-04,5258
2005-08-05,5825
2005-08-06,3271
2005-08-07,5165
2005-08-08,6711
2005-08-09,5843
2005-08-10,4175
2005-08-11,4571
2005-08-12,4590
2005-08-13,3909
2005-08-14,5218
2005-08-15,5391
2005-08-16,5528
2005-08-17,3599
2005-08-18,4930
2005-08-19,5045
2005-08-20,3705
2005-08-21,3884
2005-08-22,3262
2005-08-23,2948
2005-08-24,2781
2005-08-25,3223
2005-08-26,3173
2005-08-27,1872
2005-08-28,2721
2005-08-29,3006
2005-08-30,2441
2005-08-31,2808
2005-09-01,2583
2005-09-02,3174
2005-09-03,1530
2005-09-04,1142
2005-09-05,1807
2005-09-06,2305
2005-09-07,1391
2005-09-08,1877
2005-09-09,2555
2005-09-10,1205
2005-09-11,2107
2005-09-12,1761
2005-09-13,1986
2005-09-14,2730
2005-09-15,4565
2005-09-16,4619
2005-09-17,1402
2005-09-18,2225
2005-09-19,3406
2005-09-20,2448
2005-09-21,2379
2005-09-22,5088
2005-09-23,3238
2005-09-24,1388
2005-09-25,2901
2005-09-26,3235
2005-09-27,1553
2005-09-28,2312
2005-09-29,3516
2005-09-30,2518
2005-10-01,1553
2005-10-02,3144
2005-10-03,2126
2005-10-04,1971
2005-10-05,2769
2005-10-06,3694
2005-10-07,4807
2005-10-08,2302
2005-10-09,3820
2005-10-10,4758
2005-10-11,2779
2005-10-12,3207
2005-10-13,3935
2005-10-14,4814
2005-10-15,1791
2005-10-16,3543
2005-10-17,3087
2005-10-18,2327
2005-10-19,1910
2005-10-20,2521
2005-10-21,3717
2005-10-22,2044
2005-10-23,3138
2005-10-24,2508
2005-10-25,2675
2005-10-26,2136
2005-10-27,2516
2005-10-28,2832
2005-10-29,1299
2005-10-30,1478
2005-10-31,2838
2005-11-01,1797
2005-11-02,1318
2005-11-03,2163
2005-11-04,2190
2005-11-05,1484
2005-11-06,3619
2005-11-07,2403
2005-11-08,1480
2005-11-09,3307
2005-11-10,2749
2005-11-11,2649
2005-11-12,1007
2005-11-13,2931
2005-11-14,2455
2005-11-15,4353
2005-11-16,4516
2005-11-17,3220
2005-11-18,3430
2005-11-19,1831
2005-11-20,2723
2005-11-21,3947
2005-11-22,4630
2005-11-23,4337
2005-11-24,1751
2005-11-25,1803
2005-11-26,2251
2005-11-27,5260
2005-11-28,7499
2005-11-29,5331
2005-11-30,2598
2005-12-01,3910
2005-12-02,3513
2005-12-03,1808
2005-12-04,5713
2005-12-05,4450
2005-12-06,2768
2005-12-07,2930
2005-12-08,4827
2005-12-09,7361
2005-12-10,2267
2005-12-11,3367
2005-12-12,2265
2005-12-13,1619
2005-12-14,3873
2005-12-15,6924
2005-12-16,7643
2005-12-17,4873
2005-12-18,4277
2005-12-19,4107
2005-12-20,4877
2005-12-21,5203
2005-12-22,5917
2005-12-23,4876
2005-12-24,2734
2005-12-25,3337
2005-12-26,5429
2005-12-27,4943
2005-12-28,6444
2005-12-29,5311
2005-12-30,5023
2005-12-31,3640
