DATE,num_of_arrival_delays
2019-01-01,3844
2019-01-02,5203
2019-01-03,3601
2019-01-04,2474
2019-01-05,2676
2019-01-06,3790
2019-01-07,3009
2019-01-08,1888
2019-01-09,1969
2019-01-10,2830
2019-01-11,3184
2019-01-12,2250
2019-01-13,2883
2019-01-14,2978
2019-01-15,2848
2019-01-16,2422
2019-01-17,3947
2019-01-18,4278
2019-01-19,2691
2019-01-20,3290
2019-01-21,5073
2019-01-22,3929
2019-01-23,5037
2019-01-24,6084
2019-01-25,4494
2019-01-26,2025
2019-01-27,3447
2019-01-28,3290
2019-01-29,2550
2019-01-30,3451
2019-01-31,3787
2019-02-01,4884
2019-02-02,2215
2019-02-03,1696
2019-02-04,3129
2019-02-05,2484
2019-02-06,3523
2019-02-07,4725
2019-02-08,4472
2019-02-09,2147
2019-02-10,4759
2019-02-11,4530
2019-02-12,5603
2019-02-13,4945
2019-02-14,4693
2019-02-15,4463
2019-02-16,2566
2019-02-17,4248
2019-02-18,5819
2019-02-19,5153
2019-02-20,7151
2019-02-21,5580
2019-02-22,5611
2019-02-23,3552
2019-02-24,3921
2019-02-25,4881
2019-02-26,3792
2019-02-27,3771
2019-02-28,5164
2019-03-01,5698
2019-03-02,4505
2019-03-03,5738
2019-03-04,4801
2019-03-05,3765
2019-03-06,3542
2019-03-07,3813
2019-03-08,4061
2019-03-09,5451
2019-03-10,5655
2019-03-11,3034
2019-03-12,3312
2019-03-13,3644
2019-03-14,4889
2019-03-15,4590
2019-03-16,2550
2019-03-17,2321
2019-03-18,1817
2019-03-19,1688
2019-03-20,2239
2019-03-21,3166
2019-03-22,4019
2019-03-23,1980
2019-03-24,2402
2019-03-25,3228
2019-03-26,2325
2019-03-27,2492
2019-03-28,2278
2019-03-29,2485
2019-03-30,1815
2019-03-31,2974
2019-04-01,5980
2019-04-02,2048
2019-04-03,2281
2019-04-04,3526
2019-04-05,3089
2019-04-06,2638
2019-04-07,4423
2019-04-08,4230
2019-04-09,3830
2019-04-10,3058
2019-04-11,3513
2019-04-12,5282
2019-04-13,3473
2019-04-14,7025
2019-04-15,5362
2019-04-16,2062
2019-04-17,2290
2019-04-18,4987
