DATE,num_of_arrival_and_departure_delays
1994-01-01,2709
1994-01-02,6366
1994-01-03,7934
1994-01-04,6505
1994-01-05,8296
1994-01-06,8008
1994-01-07,5960
1994-01-08,3928
1994-01-09,4898
1994-01-10,4836
1994-01-11,4615
1994-01-12,7767
1994-01-13,6175
1994-01-14,6570
1994-01-15,3043
1994-01-16,6510
1994-01-17,7811
1994-01-18,7095
1994-01-19,7367
1994-01-20,7707
1994-01-21,5259
1994-01-22,2225
1994-01-23,3215
1994-01-24,4480
1994-01-25,5256
1994-01-26,7824
1994-01-27,9886
1994-01-28,9227
1994-01-29,4290
1994-01-30,6548
1994-01-31,3116
1994-02-01,2704
1994-02-02,2882
1994-02-03,4611
1994-02-04,4016
1994-02-05,2566
1994-02-06,3477
1994-02-07,5496
1994-02-08,8008
1994-02-09,10172
1994-02-10,10796
1994-02-11,6509
1994-02-12,8387
1994-02-13,5939
1994-02-14,2724
1994-02-15,1706
1994-02-16,3039
1994-02-17,3812
1994-02-18,3941
1994-02-19,3061
1994-02-20,3066
1994-02-21,7427
1994-02-22,7148
1994-02-23,8960
1994-02-24,7051
1994-02-25,6666
1994-02-26,4791
1994-02-27,3891
1994-02-28,4298
1994-03-01,6672
1994-03-02,5876
1994-03-03,4643
1994-03-04,4503
1994-03-05,2091
1994-03-06,2266
1994-03-07,3987
1994-03-08,5419
1994-03-09,5521
1994-03-10,5677
1994-03-11,3280
1994-03-12,2768
1994-03-13,4036
1994-03-14,1888
1994-03-15,1801
1994-03-16,2551
1994-03-17,3771
1994-03-18,6648
1994-03-19,3183
1994-03-20,3438
1994-03-21,2652
1994-03-22,2697
1994-03-23,2209
1994-03-24,4935
1994-03-25,5074
1994-03-26,5521
1994-03-27,6796
1994-03-28,5645
1994-03-29,3786
1994-03-30,2288
1994-03-31,2403
1994-04-01,1716
1994-04-02,1961
1994-04-03,2523
1994-04-04,2910
1994-04-05,4643
1994-04-06,5778
1994-04-07,3548
1994-04-08,3184
1994-04-09,3088
1994-04-10,5417
1994-04-11,5957
1994-04-12,4662
1994-04-13,5415
1994-04-14,2464
1994-04-15,8906
1994-04-16,3136
1994-04-17,2292
1994-04-18,1481
1994-04-19,1782
1994-04-20,2715
1994-04-21,2336
1994-04-22,3381
1994-04-23,1766
1994-04-24,2737
1994-04-25,4330
1994-04-26,4946
1994-04-27,6262
1994-04-28,6650
1994-04-29,8063
1994-04-30,3100
1994-05-01,3149
1994-05-02,3057
1994-05-03,3007
1994-05-04,2348
1994-05-05,2635
1994-05-06,3729
1994-05-07,1812
1994-05-08,1583
1994-05-09,3131
1994-05-10,2426
1994-05-11,2373
1994-05-12,4009
1994-05-13,3784
1994-05-14,1704
1994-05-15,2778
1994-05-16,2851
1994-05-17,1869
1994-05-18,2528
1994-05-19,3269
1994-05-20,2632
1994-05-21,1502
1994-05-22,1845
1994-05-23,2229
1994-05-24,2374
1994-05-25,5623
1994-05-26,7390
1994-05-27,3497
1994-05-28,1036
1994-05-29,1899
1994-05-30,1411
1994-05-31,2409
1994-06-01,1713
1994-06-02,2397
1994-06-03,1968
1994-06-04,1469
1994-06-05,2452
1994-06-06,3034
1994-06-07,2243
1994-06-08,2597
1994-06-09,3501
1994-06-10,5322
1994-06-11,4066
1994-06-12,4244
1994-06-13,4778
1994-06-14,2313
1994-06-15,5045
1994-06-16,5848
1994-06-17,5445
1994-06-18,4319
1994-06-19,4485
1994-06-20,6120
1994-06-21,3560
1994-06-22,3196
1994-06-23,6582
1994-06-24,7198
1994-06-25,3873
1994-06-26,4240
1994-06-27,5803
1994-06-28,2702
1994-06-29,8283
1994-06-30,7802
1994-07-01,5884
1994-07-02,3207
1994-07-03,1976
1994-07-04,1862
1994-07-05,4535
1994-07-06,4496
1994-07-07,5636
1994-07-08,5639
1994-07-09,6537
1994-07-10,4594
1994-07-11,3989
1994-07-12,4492
1994-07-13,5069
1994-07-14,6713
1994-07-15,5991
1994-07-16,3146
1994-07-17,3128
1994-07-18,4648
1994-07-19,3617
1994-07-20,5943
1994-07-21,6402
1994-07-22,8272
1994-07-23,4819
1994-07-24,4096
1994-07-25,4894
1994-07-26,5271
1994-07-27,5461
1994-07-28,6325
1994-07-29,5197
1994-07-30,4231
1994-07-31,4040
1994-08-01,4544
1994-08-02,4218
1994-08-03,4500
1994-08-04,5718
1994-08-05,5848
1994-08-06,3494
1994-08-07,4495
1994-08-08,3591
1994-08-09,2117
1994-08-10,2566
1994-08-11,3637
1994-08-12,4659
1994-08-13,5735
1994-08-14,5841
1994-08-15,3872
1994-08-16,3704
1994-08-17,4151
1994-08-18,3624
1994-08-19,5165
1994-08-20,4442
1994-08-21,5710
1994-08-22,4623
1994-08-23,2020
1994-08-24,2394
1994-08-25,2701
1994-08-26,2423
1994-08-27,2923
1994-08-28,4202
1994-08-29,1290
1994-08-30,2444
1994-08-31,3734
1994-09-01,4645
1994-09-02,5108
1994-09-03,1355
1994-09-04,651
1994-09-05,1599
1994-09-06,2023
1994-09-07,1769
1994-09-08,3522
1994-09-09,3661
1994-09-10,1703
1994-09-11,2213
1994-09-12,1850
1994-09-13,2396
1994-09-14,4235
1994-09-15,3180
1994-09-16,3049
1994-09-17,1822
1994-09-18,2253
1994-09-19,2116
1994-09-20,1386
1994-09-21,2141
1994-09-22,4454
1994-09-23,4708
1994-09-24,2863
1994-09-25,4504
1994-09-26,3574
1994-09-27,3634
1994-09-28,2295
1994-09-29,1831
1994-09-30,2266
1994-10-01,1897
1994-10-02,2853
1994-10-03,2590
1994-10-04,2457
1994-10-05,1951
1994-10-06,2299
1994-10-07,4700
1994-10-08,2726
1994-10-09,2069
1994-10-10,1963
1994-10-11,1510
1994-10-12,2913
1994-10-13,3307
1994-10-14,5907
1994-10-15,4726
1994-10-16,5347
1994-10-17,4077
1994-10-18,5726
1994-10-19,2362
1994-10-20,5716
1994-10-21,5821
1994-10-22,2631
1994-10-23,3586
1994-10-24,3956
1994-10-25,2497
1994-10-26,2262
1994-10-27,2476
1994-10-28,2748
1994-10-29,1252
1994-10-30,2952
