DATE,num_of_arrival_delays
2005-01-01,5654
2005-01-02,13412
2005-01-03,16152
2005-01-04,12360
2005-01-05,14768
2005-01-06,14668
2005-01-07,10640
2005-01-08,9054
2005-01-09,8654
2005-01-10,7054
2005-01-11,7942
2005-01-12,10790
2005-01-13,12916
2005-01-14,12864
2005-01-15,4902
2005-01-16,7434
2005-01-17,8580
2005-01-18,5918
2005-01-19,10618
2005-01-20,10354
2005-01-21,9172
2005-01-22,9630
2005-01-23,6610
2005-01-24,9064
2005-01-25,4010
2005-01-26,8324
2005-01-27,7118
2005-01-28,6826
2005-01-29,5252
2005-01-30,9350
2005-01-31,6542
2005-03-01,5250
2005-03-02,3833
2005-03-03,2708
2005-03-04,3343
2005-03-05,1912
2005-03-06,2668
2005-03-07,3692
2005-03-08,4461
2005-03-09,4835
2005-03-10,4746
2005-03-11,6175
2005-03-12,3857
2005-03-13,2814
2005-03-14,2797
2005-03-15,2274
2005-03-16,5008
2005-03-17,6254
2005-03-18,4919
2005-03-19,3534
2005-03-20,4233
2005-03-21,4215
2005-03-22,4241
2005-03-23,5672
2005-03-24,4564
2005-03-25,5987
2005-03-26,4424
2005-03-27,4532
2005-03-28,6837
2005-03-29,3373
2005-03-30,2945
2005-03-31,5281
2005-04-01,4721
2005-04-02,4961
2005-04-03,5124
2005-04-04,2588
2005-04-05,2374
2005-04-06,2273
2005-04-07,3813
2005-04-08,3752
2005-04-09,1251
2005-04-10,1770
2005-04-11,4296
2005-04-12,2115
2005-04-13,2153
2005-04-14,2228
2005-04-15,2490
2005-04-16,1191
2005-04-17,1751
2005-04-18,1510
2005-04-19,1268
2005-04-20,3000
2005-04-21,2363
2005-04-22,5688
2005-04-23,3637
2005-04-24,3690
2005-04-25,3155
2005-04-26,2837
2005-04-27,3149
2005-04-28,3795
2005-04-29,2710
2005-04-30,4484
2005-05-01,2762
2005-05-02,2234
2005-05-03,1677
2005-05-04,2358
2005-05-05,3833
2005-05-06,3028
2005-05-07,1378
2005-05-08,3463
2005-05-09,2589
2005-05-10,1950
2005-05-11,4193
2005-05-12,3595
2005-05-13,3915
2005-05-14,2004
2005-05-15,3277
2005-05-16,2042
2005-05-17,1544
2005-05-18,3062
2005-05-19,5376
2005-05-20,6009
2005-05-21,1897
2005-05-22,2924
2005-05-23,3040
2005-05-24,3052
2005-05-25,4904
2005-05-26,4245
2005-05-27,3206
2005-05-28,2522
2005-05-29,1956
2005-05-30,2368
2005-05-31,3216
2005-06-01,3877
2005-06-02,3679
2005-06-03,5259
2005-06-04,2885
2005-06-05,5323
2005-06-06,5751
2005-06-07,4741
2005-06-08,4719
2005-06-09,5771
2005-06-10,7238
2005-06-11,4568
2005-06-12,5002
2005-06-13,4359
2005-06-14,4409
2005-06-15,3189
2005-06-16,4805
2005-06-17,4003
2005-06-18,2311
2005-06-19,2936
2005-06-20,3864
2005-06-21,3281
2005-06-22,4329
2005-06-23,3992
2005-06-24,3835
2005-06-25,2726
2005-06-26,4571
2005-06-27,6260
2005-06-28,6783
2005-06-29,6211
2005-06-30,9065
2005-07-01,8598
2005-07-02,3877
2005-07-03,2192
2005-07-04,2812
2005-07-05,6062
2005-07-06,3978
2005-07-07,5707
2005-07-08,5245
2005-07-09,3999
2005-07-10,3852
2005-07-11,5009
2005-07-12,4747
2005-07-13,7284
2005-07-14,8058
2005-07-15,8257
2005-07-16,6267
2005-07-17,7408
2005-07-18,6778
2005-07-19,5865
2005-07-20,5822
2005-07-21,6464
2005-07-22,5147
2005-07-23,3307
2005-07-24,3681
2005-07-25,7344
2005-07-26,5333
2005-07-27,5772
2005-07-28,4961
2005-07-29,4950
2005-07-30,3637
2005-07-31,4354
2005-08-01,4409
2005-08-02,3836
2005-08-03,3850
2005-08-04,6206
2005-08-05,6619
2005-08-06,3419
2005-08-07,5697
2005-08-08,7805
2005-08-09,6489
2005-08-10,4860
2005-08-11,5366
2005-08-12,5259
2005-08-13,4419
2005-08-14,5922
2005-08-15,5733
2005-08-16,6493
2005-08-17,4146
2005-08-18,5681
2005-08-19,5575
2005-08-20,3930
2005-08-21,3952
2005-08-22,3595
2005-08-23,3468
2005-08-24,3072
2005-08-25,3704
2005-08-26,3521
2005-08-27,1861
2005-08-28,2690
2005-08-29,3797
2005-08-30,2897
2005-08-31,3160
2005-09-01,2936
2005-09-02,3369
2005-09-03,1611
2005-09-04,1119
2005-09-05,1847
2005-09-06,2606
2005-09-07,1714
2005-09-08,2479
2005-09-09,3042
2005-09-10,1297
2005-09-11,2345
2005-09-12,2162
2005-09-13,2696
2005-09-14,3635
2005-09-15,5807
2005-09-16,5401
2005-09-17,1547
2005-09-18,2331
2005-09-19,3955
2005-09-20,2840
2005-09-21,2785
2005-09-22,5895
2005-09-23,3759
2005-09-24,1562
2005-09-25,3353
2005-09-26,3714
2005-09-27,1906
2005-09-28,3010
2005-09-29,3952
2005-09-30,2560
2005-10-01,1638
2005-10-02,3463
2005-10-03,2379
2005-10-04,2519
2005-10-05,3160
2005-10-06,4407
2005-10-07,5385
2005-10-08,2565
2005-10-09,4050
2005-10-10,5328
2005-10-11,3169
2005-10-12,3544
2005-10-13,4373
2005-10-14,5372
2005-10-15,1708
2005-10-16,3663
2005-10-17,3444
2005-10-18,2692
2005-10-19,2512
2005-10-20,2982
2005-10-21,4144
2005-10-22,2308
2005-10-23,3584
2005-10-24,3148
2005-10-25,3167
2005-10-26,2429
2005-10-27,2932
2005-10-28,3405
2005-10-29,1392
2005-10-30,1570
2005-10-31,3472
2005-11-01,2224
2005-11-02,1725
2005-11-03,2731
2005-11-04,2616
2005-11-05,1819
2005-11-06,4398
2005-11-07,2876
2005-11-08,1849
2005-11-09,4330
2005-11-10,2974
2005-11-11,2794
2005-11-12,1009
2005-11-13,3170
2005-11-14,3149
2005-11-15,5696
2005-11-16,5351
2005-11-17,3765
2005-11-18,3706
2005-11-19,1764
2005-11-20,3038
2005-11-21,4705
2005-11-22,5096
2005-11-23,5240
2005-11-24,1950
2005-11-25,2101
2005-11-26,2405
2005-11-27,6165
2005-11-28,8421
2005-11-29,6243
2005-11-30,3233
2005-12-01,5026
2005-12-02,4354
2005-12-03,2378
2005-12-04,6884
2005-12-05,5815
2005-12-06,3956
2005-12-07,3954
2005-12-08,6130
2005-12-09,8209
2005-12-10,2596
2005-12-11,3915
2005-12-12,2779
2005-12-13,2091
2005-12-14,4762
2005-12-15,7939
