DATE,num_of_arrival_and_departure_delays
2013-01-01,7253
2013-01-02,7896
2013-01-03,7485
2013-01-04,4752
2013-01-05,4369
2013-01-06,5327
2013-01-07,3712
2013-01-08,4438
2013-01-09,4259
2013-01-10,4368
2013-01-11,5605
2013-01-12,3633
2013-01-13,6948
2013-01-14,6126
2013-01-15,3993
2013-01-16,6684
2013-01-17,4656
2013-01-18,4472
2013-01-19,2086
2013-01-20,3975
2013-01-21,5031
2013-01-22,4237
2013-01-23,4826
2013-01-24,6812
2013-01-25,9176
2013-01-26,3648
2013-01-27,5235
2013-01-28,6589
2013-01-29,5832
2013-01-30,9559
2013-01-31,7944
2013-02-01,6265
2013-02-02,4641
2013-02-03,4129
2013-02-04,8514
2013-02-05,3617
2013-02-06,3603
2013-02-07,6307
2013-02-08,5100
2013-02-09,2508
2013-02-10,7638
2013-02-11,8469
2013-02-12,3511
2013-02-13,3704
2013-02-14,4823
2013-02-15,4551
2013-02-16,4392
2013-02-17,4407
2013-02-18,5398
2013-02-19,7092
2013-02-20,5639
2013-02-21,9298
2013-02-22,9900
2013-02-23,5487
2013-02-24,4940
2013-02-25,6329
2013-02-26,7307
2013-02-27,8280
2013-02-28,5585
2013-03-01,8303
2013-03-02,5575
2013-03-03,4762
2013-03-04,5131
2013-03-05,5684
2013-03-06,5747
2013-03-07,5621
2013-03-08,9506
2013-03-09,4816
2013-03-10,7680
2013-03-11,6944
2013-03-12,6434
2013-03-13,4939
2013-03-14,5861
2013-03-15,5998
2013-03-16,5601
2013-03-17,5416
2013-03-18,12543
2013-03-19,8770
2013-03-20,5750
2013-03-21,6212
2013-03-22,6950
2013-03-23,10453
2013-03-24,10853
2013-03-25,10899
2013-03-26,4330
2013-03-27,3493
2013-03-28,3884
2013-03-29,3303
2013-03-30,2938
2013-03-31,5869
2013-04-01,6594
2013-04-02,5332
2013-04-03,4606
2013-04-04,7082
2013-04-05,5833
2013-04-06,3337
2013-04-07,3649
2013-04-08,7169
2013-04-09,6907
2013-04-10,11106
2013-04-11,12335
2013-04-12,10102
2013-04-13,4396
2013-04-14,7430
2013-04-15,6742
2013-04-16,5828
2013-04-17,9720
2013-04-18,15118
2013-04-19,12927
2013-04-20,4501
