DATE,num_of_departure_delays
2006-01-01,4597
2006-01-02,9225
2006-01-03,8363
2006-01-04,4164
2006-01-05,3126
2006-01-06,2079
2006-01-07,1964
2006-01-08,2605
2006-01-09,1759
2006-01-10,1410
2006-01-11,3349
2006-01-12,2107
2006-01-13,5992
2006-01-14,2752
2006-01-15,3302
2006-01-16,3142
2006-01-17,3227
2006-01-18,3563
2006-01-19,2338
2006-01-20,2450
2006-01-21,2051
2006-01-22,4764
2006-01-23,4817
2006-01-24,1992
2006-01-25,1758
2006-01-26,1756
2006-01-27,2079
2006-01-28,1660
2006-01-29,3159
2006-01-30,2963
2006-01-31,1791
2006-02-01,1570
2006-02-02,2485
2006-02-03,5014
2006-02-04,2987
2006-02-05,2591
2006-02-06,3196
2006-02-07,1375
2006-02-08,2178
2006-02-09,2081
2006-02-10,3292
2006-02-11,2852
2006-02-12,2600
2006-02-13,3282
2006-02-14,1975
2006-02-15,2351
2006-02-16,5279
2006-02-17,7727
2006-02-18,6387
2006-02-19,6521
2006-02-20,5841
2006-02-21,4053
2006-02-22,4456
2006-02-23,4866
2006-02-24,4296
2006-02-25,3253
2006-02-26,3990
2006-02-27,3567
2006-02-28,2594
2006-03-01,2207
2006-03-02,5049
2006-03-03,3623
2006-03-04,2016
2006-03-05,4033
2006-03-06,3440
2006-03-07,2450
2006-03-08,2681
2006-03-09,5586
2006-03-10,4912
2006-03-11,3836
2006-03-12,5416
2006-03-13,6408
2006-03-14,3703
2006-03-15,3922
2006-03-16,4636
2006-03-17,3476
2006-03-18,3368
2006-03-19,5554
2006-03-20,7086
2006-03-21,4536
2006-03-22,2807
2006-03-23,3926
2006-03-24,4421
2006-03-25,2412
2006-03-26,3255
2006-03-27,2288
2006-03-28,5060
2006-03-29,2682
2006-03-30,2782
2006-03-31,4205
2006-04-01,2812
2006-04-02,5173
2006-04-03,5850
2006-04-04,4274
2006-04-05,3955
2006-04-06,4548
2006-04-07,6663
2006-04-08,3924
2006-04-09,3113
2006-04-10,2107
2006-04-11,2170
2006-04-12,2537
2006-04-13,3617
2006-04-14,3844
2006-04-15,1692
2006-04-16,2649
2006-04-17,3718
2006-04-18,2274
2006-04-19,3351
2006-04-20,3767
2006-04-21,5031
2006-04-22,2838
2006-04-23,3974
2006-04-24,4655
2006-04-25,2206
2006-04-26,2383
2006-04-27,2280
2006-04-28,3602
2006-04-29,2639
2006-04-30,3947
2006-05-01,2992
2006-05-02,2827
2006-05-03,2106
2006-05-04,2993
2006-05-05,4620
2006-05-06,2273
2006-05-07,3546
2006-05-08,3433
2006-05-09,2552
2006-05-10,4247
2006-05-11,5274
2006-05-12,4974
2006-05-13,2116
2006-05-14,3605
2006-05-15,4609
2006-05-16,3016
2006-05-17,3280
2006-05-18,4246
2006-05-19,4513
2006-05-20,2088
2006-05-21,3740
2006-05-22,3381
2006-05-23,2333
2006-05-24,4541
2006-05-25,4740
2006-05-26,5931
