DATE,num_of_arrival_delays
2018-01-01,5193
2018-01-02,5231
2018-01-03,4175
2018-01-04,2484
2018-01-05,4078
2018-01-06,3088
2018-01-07,4327
2018-01-08,5183
2018-01-09,3540
2018-01-10,2533
2018-01-11,3663
2018-01-12,6542
2018-01-13,2193
2018-01-14,2090
2018-01-15,5164
2018-01-16,3502
2018-01-17,5641
2018-01-18,3478
2018-01-19,2067
2018-01-20,1099
2018-01-21,2826
2018-01-22,2225
2018-01-23,2562
2018-01-24,2294
2018-01-25,1732
2018-01-26,1366
2018-01-27,947
2018-01-28,1823
2018-01-29,2945
2018-01-30,2468
2018-01-31,1266
2018-02-01,2120
2018-02-02,3228
2018-02-03,1245
2018-02-04,4020
2018-02-05,4004
2018-02-06,2415
2018-02-07,6017
2018-02-08,2503
2018-02-09,4159
2018-02-10,3164
2018-02-11,5118
2018-02-12,3126
2018-02-13,1547
2018-02-14,1947
2018-02-15,4356
2018-02-16,4283
2018-02-17,2804
2018-02-18,2739
2018-02-19,4965
2018-02-20,5069
2018-02-21,4086
2018-02-22,5458
2018-02-23,4481
2018-02-24,3015
2018-02-25,3545
2018-02-26,2603
2018-02-27,2349
2018-02-28,2892
2018-03-01,4348
2018-03-02,3815
2018-03-03,2531
2018-03-04,3095
2018-03-05,4106
2018-03-06,2736
2018-03-07,2163
2018-03-08,3322
2018-03-09,3061
2018-03-10,2365
2018-03-11,3328
2018-03-12,3259
2018-03-13,3111
2018-03-14,3457
2018-03-15,3303
2018-03-16,3810
2018-03-17,1942
2018-03-18,2639
2018-03-19,3189
2018-03-20,4824
2018-03-21,3403
2018-03-22,4929
2018-03-23,3369
2018-03-24,2257
2018-03-25,2295
2018-03-26,2794
2018-03-27,2892
2018-03-28,3395
2018-03-29,3896
2018-03-30,3137
2018-03-31,1924
2018-04-01,2098
2018-04-02,4516
2018-04-03,6174
2018-04-04,4752
2018-04-05,3182
2018-04-06,5204
2018-04-07,2943
2018-04-08,3173
2018-04-09,4130
2018-04-10,3195
2018-04-11,2184
2018-04-12,2720
2018-04-13,4124
2018-04-14,2766
2018-04-15,6649
2018-04-16,7103
2018-04-17,3210
2018-04-18,2589
2018-04-19,3697
2018-04-20,2889
2018-04-21,2079
2018-04-22,2825
2018-04-23,2997
2018-04-24,2296
2018-04-25,3558
2018-04-26,2784
2018-04-27,3721
2018-04-28,1616
2018-04-29,2147
2018-04-30,2437
2018-05-01,2003
2018-05-02,3072
2018-05-03,6392
2018-05-04,3550
2018-05-05,1448
2018-05-06,2747
2018-05-07,1942
2018-05-08,1957
2018-05-09,3952
2018-05-10,4929
2018-05-11,3159
2018-05-12,2246
2018-05-13,3178
2018-05-14,5842
2018-05-15,4972
2018-05-16,5406
2018-05-17,5499
2018-05-18,4614
2018-05-19,2962
2018-05-20,6178
2018-05-21,5241
2018-05-22,4551
2018-05-23,3637
2018-05-24,3340
2018-05-25,4079
2018-05-26,2237
2018-05-27,2863
2018-05-28,3188
2018-05-29,3523
2018-05-30,4439
2018-05-31,5203
2018-06-01,5236
2018-06-02,2991
2018-06-03,3773
2018-06-04,3750
2018-06-05,2625
2018-06-06,2802
2018-06-07,3938
2018-06-08,4752
2018-06-09,4652
2018-06-10,6074
2018-06-11,4953
